Date,Symbol,Series,Open,High,Low,Close
2016-03-23,ADANIPORTS,EQ,239.75,243.2,237.35,238.3
2016-03-28,ADANIPORTS,EQ,240.4,242.95,232.7,235.65
2016-03-29,ADANIPORTS,EQ,236.45,242.2,233.3,237.85
2016-03-30,ADANIPORTS,EQ,240.0,248.5,239.55,245.95
2016-03-31,ADANIPORTS,EQ,247.1,250.0,242.5,247.7
2016-04-01,ADANIPORTS,EQ,248.0,248.0,239.5,242.9
2016-04-04,ADANIPORTS,EQ,249.45,249.45,241.2,242.55
2016-04-05,ADANIPORTS,EQ,242.4,242.45,223.85,226.25
2016-04-06,ADANIPORTS,EQ,227.0,229.75,221.15,224.35
2016-04-07,ADANIPORTS,EQ,225.5,228.0,216.0,216.8
2016-04-08,ADANIPORTS,EQ,216.0,220.0,214.7,219.25
2016-04-11,ADANIPORTS,EQ,220.9,229.9,218.75,229.05
2016-04-12,ADANIPORTS,EQ,229.0,234.8,226.3,233.6
2016-04-13,ADANIPORTS,EQ,235.0,237.95,232.0,233.55
2016-04-18,ADANIPORTS,EQ,235.85,236.75,228.05,231.3
2016-04-20,ADANIPORTS,EQ,232.0,236.3,231.5,233.5
2016-04-21,ADANIPORTS,EQ,234.1,236.0,228.4,229.35
2016-04-22,ADANIPORTS,EQ,229.5,233.4,227.3,230.1
2016-04-25,ADANIPORTS,EQ,231.0,233.7,230.25,231.8
2016-04-26,ADANIPORTS,EQ,232.2,232.9,227.0,229.1
2016-04-27,ADANIPORTS,EQ,230.0,242.0,227.65,241.25
2016-04-28,ADANIPORTS,EQ,241.7,241.7,234.35,235.45
2016-04-29,ADANIPORTS,EQ,236.0,240.1,232.75,238.2
2016-05-02,ADANIPORTS,EQ,237.0,237.25,231.8,232.95
2016-05-03,ADANIPORTS,EQ,235.25,242.45,232.5,235.5
2016-05-04,ADANIPORTS,EQ,234.5,234.5,205.5,208.25
2016-05-05,ADANIPORTS,EQ,209.65,210.7,196.7,198.0
2016-05-06,ADANIPORTS,EQ,198.0,199.5,190.55,194.55
2016-05-09,ADANIPORTS,EQ,196.15,198.4,194.35,196.75
2016-05-10,ADANIPORTS,EQ,197.95,198.95,194.0,194.55
2016-05-11,ADANIPORTS,EQ,191.8,195.45,189.3,193.0
2016-05-12,ADANIPORTS,EQ,194.2,197.65,193.6,195.15
2016-05-13,ADANIPORTS,EQ,194.6,200.25,179.4,188.55
2016-05-16,ADANIPORTS,EQ,189.0,192.2,183.7,185.8
2016-05-17,ADANIPORTS,EQ,186.6,187.35,182.7,183.25
2016-05-18,ADANIPORTS,EQ,182.4,185.5,180.55,183.2
2016-05-19,ADANIPORTS,EQ,184.5,184.5,169.7,171.55
2016-05-20,ADANIPORTS,EQ,171.6,180.4,170.35,177.95
2016-05-23,ADANIPORTS,EQ,179.25,182.45,178.0,181.1
2016-05-24,ADANIPORTS,EQ,180.95,181.5,177.1,180.85
2016-05-25,ADANIPORTS,EQ,182.8,184.05,181.35,182.85
2016-05-26,ADANIPORTS,EQ,184.0,187.5,181.4,184.8
2016-05-27,ADANIPORTS,EQ,185.4,192.95,185.0,191.7
2016-05-30,ADANIPORTS,EQ,192.7,194.0,185.45,190.25
2016-05-31,ADANIPORTS,EQ,190.25,194.7,186.55,192.15
2016-06-01,ADANIPORTS,EQ,192.85,203.3,192.5,202.3
2016-06-02,ADANIPORTS,EQ,203.45,206.5,200.7,205.2
2016-06-03,ADANIPORTS,EQ,206.25,206.25,202.1,204.55
2016-06-06,ADANIPORTS,EQ,201.0,204.55,196.0,203.7
2016-06-07,ADANIPORTS,EQ,204.65,207.65,202.2,206.5
2016-06-08,ADANIPORTS,EQ,207.0,207.85,201.7,203.4
2016-06-09,ADANIPORTS,EQ,204.45,205.85,201.0,201.9
2016-06-10,ADANIPORTS,EQ,202.95,205.7,201.5,202.75
2016-06-13,ADANIPORTS,EQ,201.2,203.7,197.7,202.6
2016-06-14,ADANIPORTS,EQ,202.6,210.0,201.85,208.6
2016-06-15,ADANIPORTS,EQ,211.0,211.9,206.3,207.0
2016-06-16,ADANIPORTS,EQ,207.5,209.5,202.1,208.5
2016-06-17,ADANIPORTS,EQ,209.0,209.5,206.45,207.7
2016-06-20,ADANIPORTS,EQ,203.35,208.9,203.35,206.8
2016-06-21,ADANIPORTS,EQ,207.0,209.95,203.0,203.25
2016-06-22,ADANIPORTS,EQ,204.0,208.45,203.1,207.35
2016-06-23,ADANIPORTS,EQ,207.8,208.8,204.6,207.15
2016-06-24,ADANIPORTS,EQ,200.0,203.1,195.35,201.9
2016-06-27,ADANIPORTS,EQ,202.0,205.65,202.0,203.85
2016-06-28,ADANIPORTS,EQ,204.0,206.8,202.55,202.9
2016-06-29,ADANIPORTS,EQ,204.0,205.25,202.2,203.05
2016-06-30,ADANIPORTS,EQ,205.9,207.8,203.5,206.85
2016-07-01,ADANIPORTS,EQ,205.1,207.9,203.8,204.3
2016-07-04,ADANIPORTS,EQ,206.0,213.95,205.5,213.25
2016-07-05,ADANIPORTS,EQ,214.55,216.4,213.0,214.55
2016-07-07,ADANIPORTS,EQ,216.45,216.45,208.6,210.05
2016-07-08,ADANIPORTS,EQ,210.05,211.95,204.6,207.05
2016-07-11,ADANIPORTS,EQ,210.25,218.25,208.0,217.45
2016-07-12,ADANIPORTS,EQ,219.2,219.9,215.4,218.0
2016-07-13,ADANIPORTS,EQ,217.45,222.0,215.2,217.3
2016-07-14,ADANIPORTS,EQ,217.3,220.7,214.55,216.9
2016-07-15,ADANIPORTS,EQ,219.2,223.65,218.25,220.5
2016-07-18,ADANIPORTS,EQ,221.65,222.9,216.25,217.95
2016-07-19,ADANIPORTS,EQ,218.9,221.8,216.1,220.6
2016-07-20,ADANIPORTS,EQ,221.0,222.4,218.5,221.4
2016-07-21,ADANIPORTS,EQ,222.0,226.35,219.8,223.2
2016-07-22,ADANIPORTS,EQ,223.0,225.95,221.6,225.35
2016-07-25,ADANIPORTS,EQ,226.3,227.45,224.15,226.15
2016-07-26,ADANIPORTS,EQ,227.0,229.45,222.15,224.4
2016-07-27,ADANIPORTS,EQ,226.0,229.45,223.55,228.7
2016-07-28,ADANIPORTS,EQ,229.8,231.55,224.4,225.25
2016-07-29,ADANIPORTS,EQ,227.95,233.5,226.15,232.4
2016-08-01,ADANIPORTS,EQ,234.45,236.25,225.85,228.55
2016-08-02,ADANIPORTS,EQ,230.0,231.7,223.8,224.65
2016-08-03,ADANIPORTS,EQ,225.7,228.4,221.5,222.85
2016-08-04,ADANIPORTS,EQ,226.2,229.5,223.05,227.9
2016-08-05,ADANIPORTS,EQ,230.6,234.9,229.25,234.0
2016-08-08,ADANIPORTS,EQ,235.5,241.4,234.05,240.65
2016-08-09,ADANIPORTS,EQ,241.0,242.9,234.8,239.75
2016-08-10,ADANIPORTS,EQ,244.5,261.25,244.15,258.45
2016-08-11,ADANIPORTS,EQ,258.5,259.75,251.1,253.5
2016-08-12,ADANIPORTS,EQ,254.3,261.0,251.2,258.25
2016-08-16,ADANIPORTS,EQ,259.6,274.6,258.3,273.55
2016-08-17,ADANIPORTS,EQ,274.0,276.35,265.2,267.65
2016-08-18,ADANIPORTS,EQ,268.3,277.0,267.95,275.45
2016-08-19,ADANIPORTS,EQ,274.9,277.9,270.15,273.05
2016-08-22,ADANIPORTS,EQ,274.4,279.7,268.65,270.55
2016-08-23,ADANIPORTS,EQ,271.7,276.15,270.1,272.5
2016-08-24,ADANIPORTS,EQ,273.8,273.8,268.55,270.1
2016-08-25,ADANIPORTS,EQ,271.5,271.5,260.1,261.75
2016-08-26,ADANIPORTS,EQ,262.95,263.2,255.1,257.7
2016-08-29,ADANIPORTS,EQ,253.45,263.35,247.55,262.6
2016-08-30,ADANIPORTS,EQ,264.55,265.4,260.1,262.95
2016-08-31,ADANIPORTS,EQ,263.25,266.45,261.7,262.95
2016-09-01,ADANIPORTS,EQ,263.15,263.9,257.8,258.7
2016-09-02,ADANIPORTS,EQ,259.0,269.4,256.8,268.2
2016-09-06,ADANIPORTS,EQ,270.0,271.75,267.6,270.6
2016-09-07,ADANIPORTS,EQ,270.0,274.1,266.3,272.25
2016-09-08,ADANIPORTS,EQ,272.0,276.5,272.0,275.6
2016-09-09,ADANIPORTS,EQ,274.95,275.5,270.1,272.2
2016-09-12,ADANIPORTS,EQ,268.9,268.9,256.4,260.0
2016-09-14,ADANIPORTS,EQ,261.0,268.0,256.85,264.7
2016-09-15,ADANIPORTS,EQ,266.05,269.75,262.0,267.4
2016-09-16,ADANIPORTS,EQ,268.0,275.0,267.7,271.15
2016-09-19,ADANIPORTS,EQ,272.0,277.7,269.65,276.15
2016-09-20,ADANIPORTS,EQ,276.95,276.95,267.85,270.1
2016-09-21,ADANIPORTS,EQ,275.0,276.0,268.0,269.7
2016-09-22,ADANIPORTS,EQ,273.2,277.4,271.55,275.35
2016-09-23,ADANIPORTS,EQ,276.75,277.7,273.3,275.1
2016-09-26,ADANIPORTS,EQ,274.5,274.5,268.8,270.4
2016-09-27,ADANIPORTS,EQ,273.0,273.7,263.8,264.7
2016-09-28,ADANIPORTS,EQ,266.7,272.0,262.1,271.0
2016-09-29,ADANIPORTS,EQ,273.3,273.7,254.45,256.8
2016-09-30,ADANIPORTS,EQ,258.0,259.8,249.1,256.75
2016-10-03,ADANIPORTS,EQ,260.7,267.5,259.3,264.5
2016-10-04,ADANIPORTS,EQ,267.6,269.8,263.1,268.7
2016-10-05,ADANIPORTS,EQ,269.95,269.95,264.0,265.45
2016-10-06,ADANIPORTS,EQ,267.0,267.6,261.2,264.9
2016-10-07,ADANIPORTS,EQ,267.4,268.2,262.35,266.85
2016-10-10,ADANIPORTS,EQ,268.95,268.95,263.15,264.0
2016-10-13,ADANIPORTS,EQ,263.3,263.3,248.1,251.1
2016-10-14,ADANIPORTS,EQ,252.0,256.2,251.25,254.35
2016-10-17,ADANIPORTS,EQ,253.0,255.05,249.4,250.75
2016-10-18,ADANIPORTS,EQ,251.55,269.0,251.55,267.0
2016-10-19,ADANIPORTS,EQ,269.0,273.4,262.8,271.6
2016-10-20,ADANIPORTS,EQ,272.85,286.4,268.7,285.25
2016-10-21,ADANIPORTS,EQ,286.0,288.25,281.65,285.75
2016-10-24,ADANIPORTS,EQ,285.4,294.9,283.0,285.65
2016-10-25,ADANIPORTS,EQ,286.65,317.0,280.55,312.8
2016-10-26,ADANIPORTS,EQ,312.95,316.5,299.35,305.1
2016-10-27,ADANIPORTS,EQ,305.45,308.8,299.35,305.0
2016-10-28,ADANIPORTS,EQ,306.0,309.7,302.35,307.0
2016-10-30,ADANIPORTS,EQ,308.9,308.9,304.0,305.3
2016-11-01,ADANIPORTS,EQ,307.0,308.0,301.45,305.15
2016-11-02,ADANIPORTS,EQ,300.0,304.15,297.15,299.9
2016-11-03,ADANIPORTS,EQ,299.7,301.9,287.1,288.2
2016-11-04,ADANIPORTS,EQ,289.0,291.85,284.25,287.7
2016-11-07,ADANIPORTS,EQ,298.3,298.3,290.8,293.5
2016-11-08,ADANIPORTS,EQ,295.7,295.7,286.5,289.85
2016-11-09,ADANIPORTS,EQ,268.0,283.0,260.9,282.4
2016-11-10,ADANIPORTS,EQ,289.0,297.15,286.0,294.55
2016-11-11,ADANIPORTS,EQ,288.0,293.0,272.85,276.75
2016-11-15,ADANIPORTS,EQ,280.7,280.7,258.0,266.65
2016-11-16,ADANIPORTS,EQ,271.0,275.0,260.9,265.25
2016-11-17,ADANIPORTS,EQ,267.0,269.4,262.2,264.6
2016-11-18,ADANIPORTS,EQ,265.0,266.3,256.8,261.9
2016-11-21,ADANIPORTS,EQ,262.05,265.0,245.15,255.7
2016-11-22,ADANIPORTS,EQ,257.0,263.2,257.0,260.8
2016-11-23,ADANIPORTS,EQ,263.95,264.7,258.1,263.7
2016-11-24,ADANIPORTS,EQ,263.7,263.7,256.15,257.7
2016-11-25,ADANIPORTS,EQ,260.0,266.0,255.75,265.05
2016-11-28,ADANIPORTS,EQ,266.95,274.5,264.15,272.75
2016-11-29,ADANIPORTS,EQ,275.0,280.0,267.6,276.9
2016-11-30,ADANIPORTS,EQ,278.9,281.9,276.25,277.9
2016-12-01,ADANIPORTS,EQ,280.0,280.35,271.7,275.1
2016-12-02,ADANIPORTS,EQ,273.7,274.4,264.25,265.9
2016-12-05,ADANIPORTS,EQ,266.5,273.4,263.7,268.7
2016-12-06,ADANIPORTS,EQ,274.0,274.5,270.1,271.9
2016-12-07,ADANIPORTS,EQ,272.5,282.9,272.3,277.4
2016-12-08,ADANIPORTS,EQ,279.9,288.3,279.9,287.1
2016-12-09,ADANIPORTS,EQ,289.45,291.3,284.25,285.65
2016-12-12,ADANIPORTS,EQ,285.0,285.45,279.3,281.35
2016-12-13,ADANIPORTS,EQ,281.4,287.2,278.45,286.0
2016-12-14,ADANIPORTS,EQ,287.45,288.35,282.1,283.85
2016-12-15,ADANIPORTS,EQ,290.1,291.65,283.05,284.25
2016-12-16,ADANIPORTS,EQ,286.0,286.0,279.2,280.25
2016-12-19,ADANIPORTS,EQ,280.9,281.0,275.25,276.45
2016-12-20,ADANIPORTS,EQ,276.1,276.1,268.45,272.4
2016-12-21,ADANIPORTS,EQ,274.4,275.65,270.1,274.2
2016-12-22,ADANIPORTS,EQ,271.75,273.5,261.1,263.55
2016-12-23,ADANIPORTS,EQ,262.15,268.5,259.05,262.9
2016-12-26,ADANIPORTS,EQ,262.0,262.0,257.25,260.0
2016-12-27,ADANIPORTS,EQ,261.0,269.65,258.2,266.95
2016-12-28,ADANIPORTS,EQ,267.9,271.85,267.1,268.5
2016-12-29,ADANIPORTS,EQ,268.0,268.1,262.65,264.65
2016-12-30,ADANIPORTS,EQ,265.0,271.15,264.4,268.45
2017-01-02,ADANIPORTS,EQ,269.8,276.9,267.0,273.8
2017-01-03,ADANIPORTS,EQ,275.2,277.7,272.05,273.95
2017-01-04,ADANIPORTS,EQ,275.15,276.9,272.2,274.9
2017-01-05,ADANIPORTS,EQ,276.3,288.9,275.5,287.5
2017-01-06,ADANIPORTS,EQ,288.8,291.8,285.0,286.05
2017-01-09,ADANIPORTS,EQ,286.35,289.0,282.6,284.7
2017-01-10,ADANIPORTS,EQ,285.1,294.7,285.0,293.9
2017-01-11,ADANIPORTS,EQ,295.9,299.75,294.5,295.65
2017-01-12,ADANIPORTS,EQ,297.0,298.85,289.55,292.75
2017-01-13,ADANIPORTS,EQ,294.5,295.15,290.55,294.05
2017-01-16,ADANIPORTS,EQ,294.7,302.95,292.4,300.65
2017-01-17,ADANIPORTS,EQ,302.45,302.45,292.6,294.85
2017-01-18,ADANIPORTS,EQ,296.75,300.55,290.05,291.9
2017-01-19,ADANIPORTS,EQ,292.1,297.5,292.0,295.35
2017-01-20,ADANIPORTS,EQ,295.0,296.35,283.4,284.15
2017-01-23,ADANIPORTS,EQ,285.15,289.35,284.15,286.25
2017-01-24,ADANIPORTS,EQ,287.0,294.95,286.0,293.15
2017-01-25,ADANIPORTS,EQ,295.25,306.1,294.45,304.65
2017-01-27,ADANIPORTS,EQ,305.0,308.95,302.1,303.95
