Date,Symbol,Series,Open,High,Low,Close
2016-03-23,AXISBANK,EQ,439.25,441.25,435.1,437.5
2016-03-28,AXISBANK,EQ,437.85,438.6,419.8,422.9
2016-03-29,AXISBANK,EQ,423.9,432.9,422.4,429.45
2016-03-30,AXISBANK,EQ,433.3,445.7,432.1,444.25
2016-03-31,AXISBANK,EQ,443.7,449.0,438.2,444.15
2016-04-01,AXISBANK,EQ,440.9,452.0,440.05,449.9
2016-04-04,AXISBANK,EQ,451.5,451.55,442.1,444.75
2016-04-05,AXISBANK,EQ,443.4,449.5,431.0,432.6
2016-04-06,AXISBANK,EQ,433.3,436.3,423.1,424.65
2016-04-07,AXISBANK,EQ,427.75,431.8,424.9,426.65
2016-04-08,AXISBANK,EQ,426.7,427.35,420.05,421.6
2016-04-11,AXISBANK,EQ,423.9,431.9,417.5,429.8
2016-04-12,AXISBANK,EQ,430.5,436.45,429.4,434.05
2016-04-13,AXISBANK,EQ,440.05,445.3,438.1,440.5
2016-04-18,AXISBANK,EQ,444.95,446.05,437.4,445.25
2016-04-20,AXISBANK,EQ,446.1,460.65,444.35,459.1
2016-04-21,AXISBANK,EQ,463.8,472.75,463.0,467.95
2016-04-22,AXISBANK,EQ,465.6,478.5,462.1,475.85
2016-04-25,AXISBANK,EQ,474.0,477.35,465.0,469.9
2016-04-26,AXISBANK,EQ,470.1,484.9,463.65,480.2
2016-04-27,AXISBANK,EQ,461.3,473.5,458.05,465.5
2016-04-28,AXISBANK,EQ,463.0,471.85,461.55,468.05
2016-04-29,AXISBANK,EQ,466.75,477.45,465.05,472.4
2016-05-02,AXISBANK,EQ,474.35,479.0,468.45,471.8
2016-05-03,AXISBANK,EQ,473.9,475.0,466.3,470.55
2016-05-04,AXISBANK,EQ,466.0,470.0,460.25,462.45
2016-05-05,AXISBANK,EQ,463.0,467.3,458.45,461.05
2016-05-06,AXISBANK,EQ,461.0,464.05,459.0,461.45
2016-05-09,AXISBANK,EQ,465.8,478.0,461.65,477.1
2016-05-10,AXISBANK,EQ,479.0,489.0,478.15,487.95
2016-05-11,AXISBANK,EQ,482.6,499.35,480.25,498.2
2016-05-12,AXISBANK,EQ,498.6,506.9,490.6,492.55
2016-05-13,AXISBANK,EQ,493.7,496.2,486.5,490.65
2016-05-16,AXISBANK,EQ,492.0,493.65,477.25,486.45
2016-05-17,AXISBANK,EQ,490.7,505.5,490.3,503.35
2016-05-18,AXISBANK,EQ,498.5,503.0,495.25,501.1
2016-05-19,AXISBANK,EQ,501.75,501.75,489.0,490.5
2016-05-20,AXISBANK,EQ,493.95,495.7,488.1,490.6
2016-05-23,AXISBANK,EQ,495.4,495.4,485.0,486.5
2016-05-24,AXISBANK,EQ,483.25,490.95,482.0,488.95
2016-05-25,AXISBANK,EQ,494.0,503.0,493.35,502.15
2016-05-26,AXISBANK,EQ,502.5,523.0,500.25,519.0
2016-05-27,AXISBANK,EQ,520.25,525.0,509.0,512.4
2016-05-30,AXISBANK,EQ,513.95,522.05,512.5,513.7
2016-05-31,AXISBANK,EQ,515.0,518.7,510.7,515.2
2016-06-01,AXISBANK,EQ,524.85,529.45,510.0,511.95
2016-06-02,AXISBANK,EQ,510.5,525.0,506.75,524.35
2016-06-03,AXISBANK,EQ,527.15,544.95,527.0,542.65
2016-06-06,AXISBANK,EQ,542.1,545.0,530.3,532.85
2016-06-07,AXISBANK,EQ,539.1,539.1,526.75,534.4
2016-06-08,AXISBANK,EQ,536.4,541.45,530.8,539.0
2016-06-09,AXISBANK,EQ,542.95,545.9,537.1,542.6
2016-06-10,AXISBANK,EQ,540.0,549.15,538.3,541.05
2016-06-13,AXISBANK,EQ,529.8,534.6,524.0,531.15
2016-06-14,AXISBANK,EQ,535.8,535.8,525.5,529.65
2016-06-15,AXISBANK,EQ,531.9,533.4,522.65,528.8
2016-06-16,AXISBANK,EQ,528.0,528.3,516.0,523.45
2016-06-17,AXISBANK,EQ,526.9,533.9,524.7,526.9
2016-06-20,AXISBANK,EQ,515.0,523.9,514.0,522.45
2016-06-21,AXISBANK,EQ,524.5,524.5,515.45,517.4
2016-06-22,AXISBANK,EQ,517.9,521.0,513.6,516.2
2016-06-23,AXISBANK,EQ,518.0,528.0,514.8,526.4
2016-06-24,AXISBANK,EQ,502.0,511.6,492.8,510.5
2016-06-27,AXISBANK,EQ,507.4,517.6,507.15,514.45
2016-06-28,AXISBANK,EQ,515.0,520.5,512.75,514.0
2016-06-29,AXISBANK,EQ,518.5,518.95,514.25,517.85
2016-06-30,AXISBANK,EQ,522.0,535.25,521.0,533.5
2016-07-01,AXISBANK,EQ,535.8,545.7,535.5,542.9
2016-07-04,AXISBANK,EQ,545.5,546.95,539.5,543.85
2016-07-05,AXISBANK,EQ,541.2,546.25,535.25,539.7
2016-07-07,AXISBANK,EQ,539.2,545.9,535.3,542.25
2016-07-08,AXISBANK,EQ,541.0,548.5,540.0,546.45
2016-07-11,AXISBANK,EQ,551.65,553.0,541.55,544.4
2016-07-12,AXISBANK,EQ,550.0,562.1,549.15,561.0
2016-07-13,AXISBANK,EQ,563.7,563.7,551.1,556.85
2016-07-14,AXISBANK,EQ,555.75,561.7,553.6,560.25
2016-07-15,AXISBANK,EQ,556.15,570.45,556.0,565.05
2016-07-18,AXISBANK,EQ,570.0,576.8,569.0,571.0
2016-07-19,AXISBANK,EQ,570.7,573.85,563.85,565.45
2016-07-20,AXISBANK,EQ,563.3,567.85,555.85,558.25
2016-07-21,AXISBANK,EQ,557.9,557.9,535.55,538.05
2016-07-22,AXISBANK,EQ,537.95,545.3,532.9,537.7
2016-07-25,AXISBANK,EQ,518.5,540.0,518.5,538.1
2016-07-26,AXISBANK,EQ,539.7,559.2,535.45,553.8
2016-07-27,AXISBANK,EQ,553.85,558.1,543.45,548.85
2016-07-28,AXISBANK,EQ,548.1,553.35,538.05,543.85
2016-07-29,AXISBANK,EQ,542.5,551.8,542.5,546.15
2016-08-01,AXISBANK,EQ,546.25,557.7,546.25,550.55
2016-08-02,AXISBANK,EQ,552.0,555.6,547.1,549.65
2016-08-03,AXISBANK,EQ,549.65,552.95,540.85,549.35
2016-08-04,AXISBANK,EQ,551.9,556.0,544.65,547.5
2016-08-05,AXISBANK,EQ,552.4,569.0,550.55,567.25
2016-08-08,AXISBANK,EQ,568.45,572.4,565.25,571.15
2016-08-09,AXISBANK,EQ,570.5,576.0,566.7,574.1
2016-08-10,AXISBANK,EQ,574.05,575.3,563.0,567.9
2016-08-11,AXISBANK,EQ,564.25,574.9,564.25,569.75
2016-08-12,AXISBANK,EQ,569.85,593.2,569.8,591.0
2016-08-16,AXISBANK,EQ,593.95,593.95,580.0,583.3
2016-08-17,AXISBANK,EQ,588.2,598.0,585.2,589.5
2016-08-18,AXISBANK,EQ,591.1,597.3,590.8,593.15
2016-08-19,AXISBANK,EQ,595.4,597.6,586.1,588.55
2016-08-22,AXISBANK,EQ,589.9,589.95,579.4,580.25
2016-08-23,AXISBANK,EQ,581.25,585.0,580.1,582.5
2016-08-24,AXISBANK,EQ,584.85,584.85,578.65,583.4
2016-08-25,AXISBANK,EQ,586.8,594.0,585.0,586.55
2016-08-26,AXISBANK,EQ,586.5,589.0,580.3,586.4
2016-08-29,AXISBANK,EQ,586.4,597.0,586.0,589.15
2016-08-30,AXISBANK,EQ,592.0,599.25,588.55,591.15
2016-08-31,AXISBANK,EQ,591.5,603.85,580.7,596.85
2016-09-01,AXISBANK,EQ,597.05,603.0,592.0,596.65
2016-09-02,AXISBANK,EQ,597.7,602.0,594.25,599.2
2016-09-06,AXISBANK,EQ,602.5,637.8,602.5,635.9
2016-09-07,AXISBANK,EQ,637.75,638.3,622.5,625.1
2016-09-08,AXISBANK,EQ,626.0,634.0,619.75,629.35
2016-09-09,AXISBANK,EQ,615.1,624.7,611.7,613.1
2016-09-12,AXISBANK,EQ,597.8,601.85,588.4,592.1
2016-09-14,AXISBANK,EQ,593.0,604.65,590.45,601.8
2016-09-15,AXISBANK,EQ,601.05,603.0,583.3,588.75
2016-09-16,AXISBANK,EQ,592.25,612.4,592.25,602.2
2016-09-19,AXISBANK,EQ,603.0,606.0,592.85,594.35
2016-09-20,AXISBANK,EQ,598.8,599.0,589.15,592.95
2016-09-21,AXISBANK,EQ,596.5,600.35,594.5,598.9
2016-09-22,AXISBANK,EQ,610.0,612.0,590.0,591.8
2016-09-23,AXISBANK,EQ,595.6,596.1,555.7,557.45
2016-09-26,AXISBANK,EQ,559.1,560.0,545.3,547.4
2016-09-27,AXISBANK,EQ,551.0,554.25,538.7,541.0
2016-09-28,AXISBANK,EQ,543.15,550.65,540.5,549.1
2016-09-29,AXISBANK,EQ,554.45,554.85,523.45,539.3
2016-09-30,AXISBANK,EQ,535.0,547.15,530.6,541.35
2016-10-03,AXISBANK,EQ,542.95,552.3,542.9,550.9
2016-10-04,AXISBANK,EQ,553.0,553.35,541.0,546.6
2016-10-05,AXISBANK,EQ,550.0,550.65,533.25,535.7
2016-10-06,AXISBANK,EQ,531.7,535.0,524.05,530.8
2016-10-07,AXISBANK,EQ,530.0,539.4,530.0,533.85
2016-10-10,AXISBANK,EQ,538.0,538.75,530.3,531.55
2016-10-13,AXISBANK,EQ,529.0,529.9,513.2,518.8
2016-10-14,AXISBANK,EQ,521.0,525.0,516.8,520.65
2016-10-17,AXISBANK,EQ,524.15,533.8,517.1,519.0
2016-10-18,AXISBANK,EQ,523.9,534.05,518.4,532.45
2016-10-19,AXISBANK,EQ,535.65,542.0,529.1,535.55
2016-10-20,AXISBANK,EQ,537.1,544.85,536.0,540.05
2016-10-21,AXISBANK,EQ,538.7,539.2,524.2,526.1
2016-10-24,AXISBANK,EQ,529.45,530.0,517.55,521.55
2016-10-25,AXISBANK,EQ,520.9,531.5,520.1,529.1
2016-10-26,AXISBANK,EQ,499.0,502.0,484.5,487.55
2016-10-27,AXISBANK,EQ,485.0,489.6,477.3,485.65
2016-10-28,AXISBANK,EQ,486.9,494.0,484.55,486.9
2016-10-30,AXISBANK,EQ,490.0,491.0,486.2,487.7
2016-11-01,AXISBANK,EQ,488.05,488.05,474.45,475.8
2016-11-02,AXISBANK,EQ,469.8,480.5,468.1,476.8
2016-11-03,AXISBANK,EQ,475.5,479.8,473.65,475.85
2016-11-04,AXISBANK,EQ,474.4,485.7,474.2,478.7
2016-11-07,AXISBANK,EQ,484.75,489.45,482.05,485.4
2016-11-08,AXISBANK,EQ,487.05,492.45,483.25,490.85
2016-11-09,AXISBANK,EQ,459.0,493.95,458.95,487.55
2016-11-10,AXISBANK,EQ,494.0,513.6,494.0,506.95
2016-11-11,AXISBANK,EQ,505.0,512.7,495.0,498.75
2016-11-15,AXISBANK,EQ,498.0,503.0,476.75,479.3
2016-11-16,AXISBANK,EQ,486.85,487.35,470.1,472.7
2016-11-17,AXISBANK,EQ,474.35,484.4,471.35,474.1
2016-11-18,AXISBANK,EQ,478.0,478.9,472.0,473.45
2016-11-21,AXISBANK,EQ,475.9,476.5,463.05,465.7
2016-11-22,AXISBANK,EQ,468.05,475.5,458.05,470.75
2016-11-23,AXISBANK,EQ,475.0,482.55,469.15,480.5
2016-11-24,AXISBANK,EQ,479.7,479.7,466.05,468.2
2016-11-25,AXISBANK,EQ,472.25,473.0,465.3,471.2
2016-11-28,AXISBANK,EQ,464.0,477.6,461.15,472.9
2016-11-29,AXISBANK,EQ,473.0,475.6,463.0,464.65
2016-11-30,AXISBANK,EQ,465.0,471.0,462.05,469.85
2016-12-01,AXISBANK,EQ,474.0,474.45,464.3,466.05
2016-12-02,AXISBANK,EQ,466.9,466.9,458.0,459.95
2016-12-05,AXISBANK,EQ,457.7,464.7,455.8,460.75
2016-12-06,AXISBANK,EQ,461.8,463.2,454.35,455.95
2016-12-07,AXISBANK,EQ,457.85,457.85,441.25,447.1
2016-12-08,AXISBANK,EQ,449.9,452.85,447.4,449.35
2016-12-09,AXISBANK,EQ,451.7,458.0,445.55,456.4
2016-12-12,AXISBANK,EQ,445.0,452.0,444.1,445.1
2016-12-13,AXISBANK,EQ,445.8,454.45,442.3,452.95
2016-12-14,AXISBANK,EQ,454.65,469.8,454.0,467.2
2016-12-15,AXISBANK,EQ,459.1,479.4,459.1,478.1
2016-12-16,AXISBANK,EQ,479.5,480.7,468.7,472.8
2016-12-19,AXISBANK,EQ,469.5,472.75,466.45,467.6
2016-12-20,AXISBANK,EQ,469.0,469.7,460.45,461.65
2016-12-21,AXISBANK,EQ,463.55,465.8,455.1,457.7
2016-12-22,AXISBANK,EQ,455.8,455.8,445.05,447.55
2016-12-23,AXISBANK,EQ,448.0,449.35,436.0,438.1
2016-12-26,AXISBANK,EQ,435.1,435.85,427.0,432.0
