Date,Symbol,Series,Open,High,Low,Close
2016-03-23,BAJAJ-AUTO,EQ,2314.9,2364.0,2304.9,2356.4
2016-03-28,BAJAJ-AUTO,EQ,2375.5,2375.5,2332.75,2357.35
2016-03-29,BAJAJ-AUTO,EQ,2356.9,2374.0,2332.0,2351.95
2016-03-30,BAJAJ-AUTO,EQ,2364.0,2440.0,2363.0,2422.45
2016-03-31,BAJAJ-AUTO,EQ,2418.0,2457.0,2398.6,2405.95
2016-04-01,BAJAJ-AUTO,EQ,2410.0,2427.4,2378.0,2419.85
2016-04-04,BAJAJ-AUTO,EQ,2430.0,2477.7,2427.2,2448.25
2016-04-05,BAJAJ-AUTO,EQ,2449.9,2470.0,2386.3,2394.85
2016-04-06,BAJAJ-AUTO,EQ,2397.9,2425.0,2386.5,2395.2
2016-04-07,BAJAJ-AUTO,EQ,2387.0,2395.2,2354.3,2378.45
2016-04-08,BAJAJ-AUTO,EQ,2369.95,2404.85,2350.5,2389.45
2016-04-11,BAJAJ-AUTO,EQ,2397.95,2439.0,2373.0,2433.85
2016-04-12,BAJAJ-AUTO,EQ,2433.85,2468.05,2433.75,2459.7
2016-04-13,BAJAJ-AUTO,EQ,2474.7,2614.5,2473.0,2582.5
2016-04-18,BAJAJ-AUTO,EQ,2605.0,2609.9,2531.0,2544.45
2016-04-20,BAJAJ-AUTO,EQ,2546.7,2572.4,2512.3,2532.8
2016-04-21,BAJAJ-AUTO,EQ,2532.0,2548.0,2485.0,2496.45
2016-04-22,BAJAJ-AUTO,EQ,2489.65,2554.0,2479.0,2522.15
2016-04-25,BAJAJ-AUTO,EQ,2512.75,2559.9,2512.75,2543.75
2016-04-26,BAJAJ-AUTO,EQ,2541.0,2559.5,2506.55,2548.1
2016-04-27,BAJAJ-AUTO,EQ,2551.25,2583.15,2537.25,2548.25
2016-04-28,BAJAJ-AUTO,EQ,2536.05,2568.6,2481.0,2487.5
2016-04-29,BAJAJ-AUTO,EQ,2487.0,2500.75,2462.85,2491.95
2016-05-02,BAJAJ-AUTO,EQ,2484.0,2525.0,2450.1,2477.95
2016-05-03,BAJAJ-AUTO,EQ,2475.0,2498.9,2450.1,2462.85
2016-05-04,BAJAJ-AUTO,EQ,2454.5,2480.55,2451.0,2460.3
2016-05-05,BAJAJ-AUTO,EQ,2463.0,2488.3,2446.35,2453.3
2016-05-06,BAJAJ-AUTO,EQ,2446.55,2453.75,2430.1,2435.2
2016-05-09,BAJAJ-AUTO,EQ,2435.0,2537.0,2431.05,2527.15
2016-05-10,BAJAJ-AUTO,EQ,2529.8,2540.0,2500.0,2530.05
2016-05-11,BAJAJ-AUTO,EQ,2500.0,2554.8,2496.45,2517.25
2016-05-12,BAJAJ-AUTO,EQ,2512.3,2558.0,2512.3,2549.05
2016-05-13,BAJAJ-AUTO,EQ,2540.6,2545.0,2508.5,2517.7
2016-05-16,BAJAJ-AUTO,EQ,2520.1,2526.2,2455.0,2512.1
2016-05-17,BAJAJ-AUTO,EQ,2525.0,2535.0,2496.25,2506.55
2016-05-18,BAJAJ-AUTO,EQ,2488.0,2501.95,2455.0,2461.7
2016-05-19,BAJAJ-AUTO,EQ,2468.0,2471.6,2422.5,2435.45
2016-05-20,BAJAJ-AUTO,EQ,2437.0,2461.55,2427.0,2453.0
2016-05-23,BAJAJ-AUTO,EQ,2461.0,2464.0,2408.6,2421.8
2016-05-24,BAJAJ-AUTO,EQ,2421.0,2421.0,2364.35,2379.4
2016-05-25,BAJAJ-AUTO,EQ,2404.85,2504.95,2376.45,2475.3
2016-05-26,BAJAJ-AUTO,EQ,2494.0,2517.75,2475.0,2505.15
2016-05-27,BAJAJ-AUTO,EQ,2505.0,2581.95,2487.0,2563.7
2016-05-30,BAJAJ-AUTO,EQ,2583.0,2614.95,2570.6,2607.15
2016-05-31,BAJAJ-AUTO,EQ,2605.0,2642.0,2603.0,2618.35
2016-06-01,BAJAJ-AUTO,EQ,2635.0,2635.0,2600.0,2603.8
2016-06-02,BAJAJ-AUTO,EQ,2585.05,2602.05,2556.6,2594.95
2016-06-03,BAJAJ-AUTO,EQ,2595.6,2659.15,2595.0,2639.2
2016-06-06,BAJAJ-AUTO,EQ,2641.8,2650.0,2619.1,2630.0
2016-06-07,BAJAJ-AUTO,EQ,2649.85,2658.0,2625.2,2640.75
2016-06-08,BAJAJ-AUTO,EQ,2640.75,2655.75,2624.0,2632.35
2016-06-09,BAJAJ-AUTO,EQ,2634.3,2635.35,2577.1,2592.35
2016-06-10,BAJAJ-AUTO,EQ,2590.0,2623.6,2565.0,2579.95
2016-06-13,BAJAJ-AUTO,EQ,2566.0,2594.7,2554.0,2583.75
2016-06-14,BAJAJ-AUTO,EQ,2585.05,2586.05,2550.0,2560.75
2016-06-15,BAJAJ-AUTO,EQ,2570.5,2610.1,2565.15,2603.55
2016-06-16,BAJAJ-AUTO,EQ,2582.0,2589.55,2550.0,2567.1
2016-06-17,BAJAJ-AUTO,EQ,2573.0,2589.0,2555.6,2581.4
2016-06-20,BAJAJ-AUTO,EQ,2550.0,2624.45,2550.0,2617.9
2016-06-21,BAJAJ-AUTO,EQ,2620.0,2653.8,2612.25,2636.25
2016-06-22,BAJAJ-AUTO,EQ,2636.25,2639.55,2613.5,2632.15
2016-06-23,BAJAJ-AUTO,EQ,2630.0,2666.0,2601.0,2652.0
2016-06-24,BAJAJ-AUTO,EQ,2600.0,2684.75,2554.85,2678.8
2016-06-27,BAJAJ-AUTO,EQ,2690.0,2703.0,2643.6,2648.45
2016-06-28,BAJAJ-AUTO,EQ,2662.0,2669.7,2615.0,2624.4
2016-06-29,BAJAJ-AUTO,EQ,2647.8,2650.0,2632.0,2645.85
2016-06-30,BAJAJ-AUTO,EQ,2658.0,2700.0,2655.0,2689.95
2016-07-01,BAJAJ-AUTO,EQ,2697.5,2719.95,2665.05,2671.25
2016-07-04,BAJAJ-AUTO,EQ,2680.0,2690.0,2645.0,2652.8
2016-07-05,BAJAJ-AUTO,EQ,2645.0,2648.95,2602.65,2612.15
2016-07-07,BAJAJ-AUTO,EQ,2608.5,2625.0,2590.0,2610.55
2016-07-08,BAJAJ-AUTO,EQ,2620.0,2635.0,2600.0,2604.6
2016-07-11,BAJAJ-AUTO,EQ,2626.0,2658.0,2626.0,2649.05
2016-07-12,BAJAJ-AUTO,EQ,2657.0,2675.0,2635.1,2651.8
2016-07-13,BAJAJ-AUTO,EQ,2660.0,2668.0,2630.2,2657.1
2016-07-14,BAJAJ-AUTO,EQ,2643.0,2674.0,2641.0,2665.1
