Date,Symbol,Series,Open,High,Low,Close
2016-03-23,BAJAJFINSV,EQ,1658.3,1738.0,1653.0,1724.8
2016-03-28,BAJAJFINSV,EQ,1728.5,1745.0,1652.85,1684.85
2016-03-29,BAJAJFINSV,EQ,1675.0,1697.05,1652.5,1666.9
2016-03-30,BAJAJFINSV,EQ,1701.0,1729.0,1672.8,1696.55
2016-03-31,BAJAJFINSV,EQ,1710.05,1725.2,1685.6,1711.1
2016-04-01,BAJAJFINSV,EQ,1712.0,1764.95,1712.0,1746.75
2016-04-04,BAJAJFINSV,EQ,1762.0,1763.95,1747.5,1751.3
2016-04-05,BAJAJFINSV,EQ,1751.35,1755.0,1737.0,1748.8
2016-04-06,BAJAJFINSV,EQ,1741.2,1783.0,1741.2,1765.45
2016-04-07,BAJAJFINSV,EQ,1774.95,1776.8,1753.2,1763.85
2016-04-08,BAJAJFINSV,EQ,1763.0,1771.0,1740.05,1749.9
2016-04-11,BAJAJFINSV,EQ,1760.0,1806.35,1755.4,1778.0
2016-04-12,BAJAJFINSV,EQ,1782.0,1788.0,1765.0,1778.55
2016-04-13,BAJAJFINSV,EQ,1780.0,1846.0,1767.0,1821.2
2016-04-18,BAJAJFINSV,EQ,1812.0,1931.0,1812.0,1871.6
2016-04-20,BAJAJFINSV,EQ,1884.95,1921.0,1875.1,1881.75
2016-04-21,BAJAJFINSV,EQ,1881.75,1900.0,1824.95,1846.4
2016-04-22,BAJAJFINSV,EQ,1850.05,1862.85,1823.0,1847.5
2016-04-25,BAJAJFINSV,EQ,1859.9,1860.0,1834.05,1841.15
2016-04-26,BAJAJFINSV,EQ,1845.0,1878.0,1841.0,1869.0
2016-04-27,BAJAJFINSV,EQ,1869.0,1903.95,1849.0,1879.6
2016-04-28,BAJAJFINSV,EQ,1879.4,1906.0,1825.0,1842.4
2016-04-29,BAJAJFINSV,EQ,1842.0,1883.85,1842.0,1875.35
2016-05-02,BAJAJFINSV,EQ,1880.0,1955.0,1836.3,1940.9
