Date,Symbol,Series,Open,High,Low,Close
2016-03-23,BAJFINANCE,EQ,6630.0,6899.0,6609.1,6874.2
2016-03-28,BAJFINANCE,EQ,6899.0,6900.0,6690.0,6700.2
2016-03-29,BAJFINANCE,EQ,6645.0,6748.95,6639.9,6656.75
2016-03-30,BAJFINANCE,EQ,6672.9,6821.85,6670.1,6787.75
2016-03-31,BAJFINANCE,EQ,6755.5,6990.0,6735.0,6924.15
2016-04-01,BAJFINANCE,EQ,6939.0,7030.95,6800.05,6877.5
2016-04-04,BAJFINANCE,EQ,6900.0,6962.8,6832.3,6869.7
2016-04-05,BAJFINANCE,EQ,6850.0,6920.0,6800.1,6823.55
2016-04-06,BAJFINANCE,EQ,6890.0,6995.0,6846.05,6947.55
2016-04-07,BAJFINANCE,EQ,6978.95,7046.5,6945.45,6982.6
2016-04-08,BAJFINANCE,EQ,7025.0,7175.0,6960.0,7133.5
2016-04-11,BAJFINANCE,EQ,7150.0,7230.0,7100.0,7193.2
2016-04-12,BAJFINANCE,EQ,7220.0,7373.0,7195.0,7335.5
2016-04-13,BAJFINANCE,EQ,7390.0,7520.0,7380.1,7430.4
2016-04-18,BAJFINANCE,EQ,7433.0,7531.7,7285.5,7313.9
2016-04-20,BAJFINANCE,EQ,7397.0,7419.3,7200.0,7213.4
2016-04-21,BAJFINANCE,EQ,7210.0,7220.1,6945.45,6986.5
2016-04-22,BAJFINANCE,EQ,6986.5,7016.4,6891.0,6971.15
2016-04-25,BAJFINANCE,EQ,6998.9,7019.9,6829.45,6853.85
2016-04-26,BAJFINANCE,EQ,6875.0,7132.05,6840.05,7004.35
2016-04-27,BAJFINANCE,EQ,7000.0,7041.75,6915.55,6945.65
2016-04-28,BAJFINANCE,EQ,6930.0,7040.0,6925.0,6967.1
2016-04-29,BAJFINANCE,EQ,6960.0,6983.2,6795.2,6829.1
2016-05-02,BAJFINANCE,EQ,6874.0,7100.0,6750.0,7053.75
2016-05-03,BAJFINANCE,EQ,7100.0,7125.75,6940.0,6985.5
2016-05-04,BAJFINANCE,EQ,6980.5,7039.7,6913.8,6954.2
2016-05-05,BAJFINANCE,EQ,6996.5,7184.0,6961.5,7155.5
2016-05-06,BAJFINANCE,EQ,7223.5,7280.0,7113.05,7264.45
2016-05-09,BAJFINANCE,EQ,7300.0,7450.0,7236.5,7378.65
2016-05-10,BAJFINANCE,EQ,7425.0,7462.0,7344.5,7412.3
2016-05-11,BAJFINANCE,EQ,7396.9,7496.95,7275.45,7482.85
2016-05-12,BAJFINANCE,EQ,7520.0,7695.0,7453.6,7670.15
2016-05-13,BAJFINANCE,EQ,7715.0,7810.0,7590.0,7626.15
2016-05-16,BAJFINANCE,EQ,7640.0,7858.05,7615.85,7771.1
2016-05-17,BAJFINANCE,EQ,7824.0,7824.0,7730.0,7758.4
2016-05-18,BAJFINANCE,EQ,7734.25,7820.0,7685.0,7742.55
2016-05-19,BAJFINANCE,EQ,7759.9,7820.0,7705.6,7738.2
2016-05-20,BAJFINANCE,EQ,7746.0,7843.2,7669.65,7770.5
2016-05-23,BAJFINANCE,EQ,7801.0,7835.0,7502.65,7653.7
2016-05-24,BAJFINANCE,EQ,7745.0,7745.0,7215.45,7625.55
2016-05-25,BAJFINANCE,EQ,7600.0,7600.0,7255.0,7337.25
2016-05-26,BAJFINANCE,EQ,7390.0,7520.0,7380.0,7458.35
2016-05-27,BAJFINANCE,EQ,7543.0,7739.8,7467.25,7667.9
2016-05-30,BAJFINANCE,EQ,7700.0,7720.0,7559.4,7643.45
2016-05-31,BAJFINANCE,EQ,7668.1,7750.0,7470.0,7588.8
2016-06-01,BAJFINANCE,EQ,7528.0,7719.0,7480.0,7642.4
2016-06-02,BAJFINANCE,EQ,7661.8,8000.0,7590.0,7964.55
2016-06-03,BAJFINANCE,EQ,8000.0,8095.0,7882.0,7899.55
2016-06-06,BAJFINANCE,EQ,7949.0,7949.05,7751.0,7774.1
2016-06-07,BAJFINANCE,EQ,7800.0,7854.0,7650.0,7687.25
2016-06-08,BAJFINANCE,EQ,7738.0,7857.7,7662.65,7747.95
2016-06-09,BAJFINANCE,EQ,7789.8,7789.8,7690.0,7718.95
2016-06-10,BAJFINANCE,EQ,7746.8,7746.8,7575.0,7595.65
2016-06-13,BAJFINANCE,EQ,7550.0,7558.95,7450.0,7500.6
2016-06-14,BAJFINANCE,EQ,7501.0,7542.0,7420.0,7491.9
2016-06-15,BAJFINANCE,EQ,7490.0,7687.9,7489.95,7651.2
2016-06-16,BAJFINANCE,EQ,7625.0,7659.4,7559.45,7596.25
2016-06-17,BAJFINANCE,EQ,7617.45,7649.85,7475.0,7530.15
2016-06-20,BAJFINANCE,EQ,7530.0,7600.0,7445.0,7539.85
2016-06-21,BAJFINANCE,EQ,7579.8,7685.0,7525.0,7606.05
2016-06-22,BAJFINANCE,EQ,7560.05,7644.8,7560.05,7599.05
2016-06-23,BAJFINANCE,EQ,7575.0,7740.05,7575.0,7696.9
2016-06-24,BAJFINANCE,EQ,7594.0,7627.9,7416.4,7588.1
2016-06-27,BAJFINANCE,EQ,7531.5,7712.0,7531.5,7695.6
2016-06-28,BAJFINANCE,EQ,7764.95,7764.95,7651.0,7696.65
2016-06-29,BAJFINANCE,EQ,7700.0,7742.75,7671.0,7685.8
2016-06-30,BAJFINANCE,EQ,7714.95,8025.0,7680.05,7996.7
2016-07-01,BAJFINANCE,EQ,8050.0,8240.0,7995.0,8167.2
2016-07-04,BAJFINANCE,EQ,8175.5,8281.85,8100.0,8204.35
2016-07-05,BAJFINANCE,EQ,8204.35,8220.0,8111.0,8170.0
2016-07-07,BAJFINANCE,EQ,8141.0,8199.95,8080.45,8095.65
2016-07-08,BAJFINANCE,EQ,8100.0,8238.95,8068.1,8207.8
2016-07-11,BAJFINANCE,EQ,8299.55,8715.0,8250.05,8567.5
2016-07-12,BAJFINANCE,EQ,8680.0,8710.0,8570.0,8627.15
2016-07-13,BAJFINANCE,EQ,8639.9,8755.0,8523.55,8575.3
2016-07-14,BAJFINANCE,EQ,8619.85,8722.2,8575.0,8670.15
2016-07-15,BAJFINANCE,EQ,8699.95,8785.0,8660.05,8700.05
2016-07-18,BAJFINANCE,EQ,8790.0,8836.0,8750.0,8800.7
2016-07-19,BAJFINANCE,EQ,8809.9,8830.0,8600.0,8643.05
2016-07-20,BAJFINANCE,EQ,8666.0,8753.0,8587.4,8640.1
2016-07-21,BAJFINANCE,EQ,8729.0,8783.95,8651.7,8707.85
2016-07-22,BAJFINANCE,EQ,8707.0,8874.9,8683.2,8837.8
2016-07-25,BAJFINANCE,EQ,8882.0,9030.0,8853.5,8983.65
2016-07-26,BAJFINANCE,EQ,9099.9,9989.9,8900.0,9848.35
2016-07-27,BAJFINANCE,EQ,9900.0,9937.65,9515.4,9793.45
2016-07-28,BAJFINANCE,EQ,9790.0,10460.0,9677.45,10316.8
2016-07-29,BAJFINANCE,EQ,10389.95,10478.4,10250.0,10372.65
2016-08-01,BAJFINANCE,EQ,10460.0,11408.65,10429.95,11226.25
2016-08-02,BAJFINANCE,EQ,11300.0,11770.0,10800.0,10944.1
2016-08-03,BAJFINANCE,EQ,10950.0,10950.0,9940.0,10005.6
2016-08-04,BAJFINANCE,EQ,10125.0,10317.6,9723.45,9969.7
2016-08-05,BAJFINANCE,EQ,10200.0,10262.2,9815.15,10094.7
2016-08-08,BAJFINANCE,EQ,10267.0,10281.35,9973.0,10034.35
2016-08-09,BAJFINANCE,EQ,10100.0,10260.0,9910.0,10179.8
2016-08-10,BAJFINANCE,EQ,10150.0,10270.0,9900.0,9998.3
2016-08-11,BAJFINANCE,EQ,10049.9,10075.5,9849.0,10007.3
2016-08-12,BAJFINANCE,EQ,10021.0,10199.0,9981.6,10154.4
2016-08-16,BAJFINANCE,EQ,10160.1,10325.0,10020.45,10203.6
2016-08-17,BAJFINANCE,EQ,10200.0,10250.0,10134.25,10208.8
2016-08-18,BAJFINANCE,EQ,10234.35,10293.45,10069.0,10134.55
2016-08-19,BAJFINANCE,EQ,10200.0,10240.0,10125.1,10183.1
2016-08-22,BAJFINANCE,EQ,10167.9,10232.0,10121.1,10166.15
