Date,Symbol,Series,Open,High,Low,Close
2016-03-23,BPCL,EQ,874.9,880.0,864.2,868.5
2016-03-28,BPCL,EQ,871.5,887.2,863.55,873.6
2016-03-29,BPCL,EQ,877.55,889.35,869.7,874.0
2016-03-30,BPCL,EQ,878.35,907.5,872.05,901.15
2016-03-31,BPCL,EQ,903.9,921.9,898.95,904.3
2016-04-01,BPCL,EQ,900.0,900.0,885.2,887.25
2016-04-04,BPCL,EQ,895.0,897.4,880.6,887.0
2016-04-05,BPCL,EQ,899.0,909.9,884.0,890.4
2016-04-06,BPCL,EQ,897.0,898.0,878.55,890.15
2016-04-07,BPCL,EQ,897.85,903.8,883.4,885.05
2016-04-08,BPCL,EQ,887.0,901.5,880.2,899.65
2016-04-11,BPCL,EQ,893.1,919.85,893.1,917.2
2016-04-12,BPCL,EQ,928.6,939.8,917.95,920.85
2016-04-13,BPCL,EQ,925.0,933.0,916.0,925.65
2016-04-18,BPCL,EQ,925.0,979.7,925.0,969.9
2016-04-20,BPCL,EQ,968.05,969.7,951.05,954.25
2016-04-21,BPCL,EQ,954.25,984.95,954.25,970.75
2016-04-22,BPCL,EQ,962.0,977.95,960.3,965.9
2016-04-25,BPCL,EQ,960.1,982.0,958.75,978.3
2016-04-26,BPCL,EQ,972.1,983.85,970.8,975.8
2016-04-27,BPCL,EQ,971.0,994.75,971.0,982.35
2016-04-28,BPCL,EQ,982.0,989.25,958.4,962.75
2016-04-29,BPCL,EQ,960.0,981.5,960.0,978.0
2016-05-02,BPCL,EQ,982.0,987.2,966.0,969.55
2016-05-03,BPCL,EQ,974.9,976.0,951.2,953.9
2016-05-04,BPCL,EQ,947.25,962.0,943.3,947.05
2016-05-05,BPCL,EQ,949.0,951.2,929.15,938.8
2016-05-06,BPCL,EQ,933.0,945.0,927.7,939.2
2016-05-09,BPCL,EQ,943.0,950.0,932.6,937.0
2016-05-10,BPCL,EQ,941.2,942.9,925.1,927.35
2016-05-11,BPCL,EQ,918.55,927.55,908.5,919.55
2016-05-12,BPCL,EQ,917.1,933.35,917.1,926.45
2016-05-13,BPCL,EQ,924.25,935.0,919.45,927.8
2016-05-16,BPCL,EQ,928.0,930.9,915.55,922.7
