Date,Symbol,Series,Open,High,Low,Close
2016-03-23,BRITANNIA,EQ,2755.15,2762.1,2705.3,2725.3
2016-03-28,BRITANNIA,EQ,2745.55,2760.0,2601.25,2625.6
2016-03-29,BRITANNIA,EQ,2615.0,2625.0,2519.05,2583.15
2016-03-30,BRITANNIA,EQ,2619.5,2649.0,2590.15,2638.5
2016-03-31,BRITANNIA,EQ,2625.4,2704.9,2615.5,2686.5
2016-04-01,BRITANNIA,EQ,2661.5,2717.9,2661.5,2679.05
2016-04-04,BRITANNIA,EQ,2700.0,2703.55,2650.0,2659.2
2016-04-05,BRITANNIA,EQ,2650.0,2656.25,2607.15,2641.35
2016-04-06,BRITANNIA,EQ,2641.35,2723.95,2641.35,2707.2
2016-04-07,BRITANNIA,EQ,2710.1,2721.05,2679.1,2701.15
2016-04-08,BRITANNIA,EQ,2691.0,2715.5,2681.1,2686.8
2016-04-11,BRITANNIA,EQ,2696.8,2707.65,2645.0,2656.95
2016-04-12,BRITANNIA,EQ,2685.0,2738.4,2650.2,2705.75
2016-04-13,BRITANNIA,EQ,2708.6,2785.0,2708.6,2761.1
2016-04-18,BRITANNIA,EQ,2770.5,2856.0,2770.5,2850.65
2016-04-20,BRITANNIA,EQ,2845.0,2887.85,2827.5,2845.3
2016-04-21,BRITANNIA,EQ,2847.7,2870.0,2780.0,2787.85
2016-04-22,BRITANNIA,EQ,2793.0,2830.0,2788.75,2822.6
2016-04-25,BRITANNIA,EQ,2813.0,2837.0,2800.0,2817.1
2016-04-26,BRITANNIA,EQ,2820.05,2848.0,2796.2,2837.3
2016-04-27,BRITANNIA,EQ,2830.6,2875.95,2830.6,2861.4
2016-04-28,BRITANNIA,EQ,2875.0,2918.0,2812.0,2825.55
2016-04-29,BRITANNIA,EQ,2827.0,2896.0,2826.0,2862.6
2016-05-02,BRITANNIA,EQ,2856.0,2871.95,2835.0,2858.4
2016-05-03,BRITANNIA,EQ,2861.4,2899.9,2835.0,2847.1
2016-05-04,BRITANNIA,EQ,2847.0,2857.9,2803.95,2817.75
2016-05-05,BRITANNIA,EQ,2817.0,2852.0,2810.1,2821.45
2016-05-06,BRITANNIA,EQ,2828.0,2847.0,2812.0,2817.3
2016-05-09,BRITANNIA,EQ,2839.0,2839.0,2800.0,2813.75
2016-05-10,BRITANNIA,EQ,2815.1,2863.0,2815.1,2820.9
2016-05-11,BRITANNIA,EQ,2810.0,2858.9,2790.95,2847.45
2016-05-12,BRITANNIA,EQ,2867.0,2950.0,2840.0,2936.45
2016-05-13,BRITANNIA,EQ,2935.0,2977.0,2925.6,2954.0
2016-05-16,BRITANNIA,EQ,2964.0,2978.95,2903.2,2935.55
2016-05-17,BRITANNIA,EQ,2942.2,3017.9,2942.2,3005.65
2016-05-18,BRITANNIA,EQ,3003.95,3004.0,2968.0,2971.6
2016-05-19,BRITANNIA,EQ,2979.95,3015.0,2976.1,2995.95
2016-05-20,BRITANNIA,EQ,3009.9,3035.05,2910.0,2930.7
2016-05-23,BRITANNIA,EQ,2850.0,2850.0,2661.0,2682.5
2016-05-24,BRITANNIA,EQ,2682.5,2750.0,2610.0,2654.05
2016-05-25,BRITANNIA,EQ,2660.7,2765.0,2657.5,2751.45
2016-05-26,BRITANNIA,EQ,2756.8,2795.0,2728.05,2744.4
2016-05-27,BRITANNIA,EQ,2759.0,2761.85,2701.1,2719.3
2016-05-30,BRITANNIA,EQ,2720.0,2758.0,2720.0,2746.05
2016-05-31,BRITANNIA,EQ,2748.0,2759.0,2690.95,2706.2
2016-06-01,BRITANNIA,EQ,2740.0,2792.4,2725.2,2765.1
2016-06-02,BRITANNIA,EQ,2769.95,2822.3,2760.55,2799.5
2016-06-03,BRITANNIA,EQ,2800.0,2804.6,2756.05,2763.35
2016-06-06,BRITANNIA,EQ,2765.0,2788.5,2735.15,2773.85
2016-06-07,BRITANNIA,EQ,2777.0,2810.0,2777.0,2795.15
2016-06-08,BRITANNIA,EQ,2780.15,2807.0,2760.05,2770.4
2016-06-09,BRITANNIA,EQ,2770.0,2795.5,2752.05,2761.25
2016-06-10,BRITANNIA,EQ,2774.0,2774.0,2724.05,2729.25
2016-06-13,BRITANNIA,EQ,2716.0,2716.0,2660.0,2678.2
2016-06-14,BRITANNIA,EQ,2676.0,2696.5,2667.5,2681.15
2016-06-15,BRITANNIA,EQ,2699.0,2699.0,2671.25,2682.6
2016-06-16,BRITANNIA,EQ,2680.0,2696.2,2672.05,2686.9
2016-06-17,BRITANNIA,EQ,2690.0,2698.5,2636.8,2639.6
2016-06-20,BRITANNIA,EQ,2625.0,2632.0,2587.5,2622.2
2016-06-21,BRITANNIA,EQ,2595.0,2607.0,2560.3,2564.85
2016-06-22,BRITANNIA,EQ,2568.4,2620.0,2561.1,2613.7
2016-06-23,BRITANNIA,EQ,2618.0,2642.0,2609.3,2625.45
2016-06-24,BRITANNIA,EQ,2580.0,2644.4,2519.1,2632.95
2016-06-27,BRITANNIA,EQ,2635.0,2695.95,2625.3,2683.3
2016-06-28,BRITANNIA,EQ,2687.0,2753.6,2680.05,2748.15
2016-06-29,BRITANNIA,EQ,2749.8,2778.1,2706.75,2771.4
2016-06-30,BRITANNIA,EQ,2779.9,2789.45,2731.0,2758.95
2016-07-01,BRITANNIA,EQ,2753.75,2817.1,2751.55,2808.3
2016-07-04,BRITANNIA,EQ,2838.0,2850.0,2816.35,2840.9
2016-07-05,BRITANNIA,EQ,2835.0,2860.0,2810.0,2836.25
2016-07-07,BRITANNIA,EQ,2830.0,2840.0,2802.0,2809.15
2016-07-08,BRITANNIA,EQ,2809.15,2836.0,2792.4,2805.05
2016-07-11,BRITANNIA,EQ,2818.0,2868.45,2817.6,2859.25
2016-07-12,BRITANNIA,EQ,2874.0,2908.55,2843.75,2857.2
2016-07-13,BRITANNIA,EQ,2868.0,2885.8,2829.9,2867.6
2016-07-14,BRITANNIA,EQ,2890.0,2893.0,2854.95,2859.75
2016-07-15,BRITANNIA,EQ,2860.0,2876.65,2811.2,2820.6
2016-07-18,BRITANNIA,EQ,2837.05,2848.7,2808.95,2816.3
2016-07-19,BRITANNIA,EQ,2820.2,2827.95,2753.35,2760.05
2016-07-20,BRITANNIA,EQ,2774.9,2818.0,2760.0,2809.45
2016-07-21,BRITANNIA,EQ,2814.8,2840.0,2790.0,2814.75
2016-07-22,BRITANNIA,EQ,2816.0,2855.95,2808.0,2850.9
2016-07-25,BRITANNIA,EQ,2850.0,2873.7,2830.3,2850.4
2016-07-26,BRITANNIA,EQ,2850.4,2856.6,2811.0,2823.8
2016-07-27,BRITANNIA,EQ,2848.0,2848.0,2795.0,2812.8
2016-07-28,BRITANNIA,EQ,2815.0,2894.0,2810.2,2865.3
2016-07-29,BRITANNIA,EQ,2844.0,2944.2,2843.1,2933.8
2016-08-01,BRITANNIA,EQ,2947.9,2993.9,2851.0,2882.2
2016-08-02,BRITANNIA,EQ,2907.0,2912.0,2871.7,2880.7
2016-08-03,BRITANNIA,EQ,2898.0,2898.0,2820.05,2830.45
2016-08-04,BRITANNIA,EQ,2850.0,2893.0,2811.95,2880.85
2016-08-05,BRITANNIA,EQ,2880.0,2900.8,2848.95,2884.6
2016-08-08,BRITANNIA,EQ,2883.9,3317.25,2880.1,3152.15
2016-08-09,BRITANNIA,EQ,3150.0,3172.0,3088.2,3128.45
2016-08-10,BRITANNIA,EQ,3129.0,3131.65,3060.2,3103.35
2016-08-11,BRITANNIA,EQ,3120.0,3277.0,3114.8,3236.9
2016-08-12,BRITANNIA,EQ,3229.9,3315.0,3188.45,3285.1
2016-08-16,BRITANNIA,EQ,3298.1,3340.0,3250.0,3272.05
2016-08-17,BRITANNIA,EQ,3265.0,3358.25,3265.0,3336.7
2016-08-18,BRITANNIA,EQ,3340.0,3370.0,3305.05,3329.55
2016-08-19,BRITANNIA,EQ,3330.0,3370.0,3316.5,3350.45
2016-08-22,BRITANNIA,EQ,3350.0,3392.9,3344.25,3369.25
2016-08-23,BRITANNIA,EQ,3368.0,3378.0,3340.0,3361.35
2016-08-24,BRITANNIA,EQ,3369.0,3484.0,3340.0,3432.95
2016-08-25,BRITANNIA,EQ,3447.0,3499.0,3443.15,3464.3
