Date,Symbol,Series,Open,High,Low,Close
2016-03-23,CIPLA,EQ,534.8,536.3,525.55,532.8
2016-03-28,CIPLA,EQ,536.3,537.35,522.1,524.2
2016-03-29,CIPLA,EQ,521.05,525.0,494.55,503.5
2016-03-30,CIPLA,EQ,506.95,516.5,502.5,512.35
2016-03-31,CIPLA,EQ,513.0,518.0,507.9,511.95
2016-04-01,CIPLA,EQ,513.8,517.3,510.0,514.55
2016-04-04,CIPLA,EQ,519.0,519.0,512.15,514.3
2016-04-05,CIPLA,EQ,513.0,516.0,501.45,503.0
2016-04-06,CIPLA,EQ,503.35,507.5,497.0,504.95
2016-04-07,CIPLA,EQ,505.75,513.05,501.7,506.4
2016-04-08,CIPLA,EQ,509.8,510.6,503.25,504.45
2016-04-11,CIPLA,EQ,505.5,506.0,497.05,502.15
2016-04-12,CIPLA,EQ,502.7,508.85,499.7,501.95
2016-04-13,CIPLA,EQ,505.15,515.0,504.0,511.9
2016-04-18,CIPLA,EQ,515.0,525.7,507.1,524.1
2016-04-20,CIPLA,EQ,525.0,530.4,519.25,527.2
2016-04-21,CIPLA,EQ,530.0,534.0,526.6,532.0
2016-04-22,CIPLA,EQ,529.7,536.55,527.0,531.35
2016-04-25,CIPLA,EQ,532.5,533.85,523.5,526.5
2016-04-26,CIPLA,EQ,524.65,542.25,524.15,540.5
2016-04-27,CIPLA,EQ,539.5,544.3,534.5,540.2
2016-04-28,CIPLA,EQ,538.9,543.75,525.0,528.25
2016-04-29,CIPLA,EQ,527.2,538.4,527.1,537.0
2016-05-02,CIPLA,EQ,536.95,544.6,535.0,540.65
2016-05-03,CIPLA,EQ,540.0,547.0,526.55,536.85
2016-05-04,CIPLA,EQ,534.0,541.35,529.0,533.2
2016-05-05,CIPLA,EQ,535.5,544.0,533.5,541.8
2016-05-06,CIPLA,EQ,540.0,542.75,535.1,537.35
2016-05-09,CIPLA,EQ,538.3,540.2,533.25,536.55
2016-05-10,CIPLA,EQ,537.0,539.5,532.75,537.05
2016-05-11,CIPLA,EQ,532.0,539.5,530.75,536.6
2016-05-12,CIPLA,EQ,536.95,542.45,534.35,536.3
2016-05-13,CIPLA,EQ,534.45,538.7,530.05,531.7
2016-05-16,CIPLA,EQ,533.85,533.85,520.35,521.8
2016-05-17,CIPLA,EQ,523.0,528.65,522.5,523.75
2016-05-18,CIPLA,EQ,522.55,526.75,520.05,524.55
2016-05-19,CIPLA,EQ,524.1,525.9,510.2,512.7
2016-05-20,CIPLA,EQ,514.3,515.25,501.2,507.1
2016-05-23,CIPLA,EQ,510.0,510.0,494.8,497.4
2016-05-24,CIPLA,EQ,499.95,505.2,491.55,494.05
2016-05-25,CIPLA,EQ,480.0,480.0,457.45,469.8
2016-05-26,CIPLA,EQ,472.7,473.9,466.0,467.95
2016-05-27,CIPLA,EQ,470.9,478.5,469.1,473.45
2016-05-30,CIPLA,EQ,476.95,478.5,470.0,473.55
2016-05-31,CIPLA,EQ,475.4,479.25,471.0,472.65
2016-06-01,CIPLA,EQ,474.7,474.7,462.75,464.9
2016-06-02,CIPLA,EQ,464.45,470.0,459.0,468.1
2016-06-03,CIPLA,EQ,470.5,473.95,462.3,465.2
2016-06-06,CIPLA,EQ,468.95,471.5,465.4,466.65
2016-06-07,CIPLA,EQ,466.65,471.9,466.65,468.35
2016-06-08,CIPLA,EQ,471.85,474.0,468.0,472.15
2016-06-09,CIPLA,EQ,473.55,481.95,469.1,479.1
2016-06-10,CIPLA,EQ,475.0,486.6,474.5,476.45
2016-06-13,CIPLA,EQ,474.95,479.9,465.55,468.7
2016-06-14,CIPLA,EQ,470.1,484.0,469.55,482.7
2016-06-15,CIPLA,EQ,485.9,492.55,483.8,490.05
2016-06-16,CIPLA,EQ,487.8,488.85,479.35,486.65
2016-06-17,CIPLA,EQ,487.0,490.0,484.05,486.45
2016-06-20,CIPLA,EQ,486.65,490.9,482.55,488.25
2016-06-21,CIPLA,EQ,490.0,490.0,480.3,483.4
2016-06-22,CIPLA,EQ,483.85,486.5,480.0,482.45
2016-06-23,CIPLA,EQ,481.1,483.0,474.65,475.75
2016-06-24,CIPLA,EQ,468.0,478.0,459.6,476.55
2016-06-27,CIPLA,EQ,475.0,491.0,474.0,489.05
2016-06-28,CIPLA,EQ,490.0,499.0,486.55,497.35
2016-06-29,CIPLA,EQ,498.8,504.0,496.05,502.45
2016-06-30,CIPLA,EQ,505.0,506.8,499.45,501.0
2016-07-01,CIPLA,EQ,502.0,510.0,499.85,508.6
2016-07-04,CIPLA,EQ,510.7,513.4,508.1,510.2
2016-07-05,CIPLA,EQ,510.2,511.1,502.7,507.0
2016-07-07,CIPLA,EQ,505.5,517.35,504.05,514.3
2016-07-08,CIPLA,EQ,518.0,522.45,513.05,520.3
2016-07-11,CIPLA,EQ,525.4,528.25,520.0,522.0
2016-07-12,CIPLA,EQ,522.5,522.9,514.1,515.7
2016-07-13,CIPLA,EQ,516.0,519.45,511.2,514.6
2016-07-14,CIPLA,EQ,515.9,516.6,507.0,511.95
2016-07-15,CIPLA,EQ,513.95,518.9,510.2,516.4
2016-07-18,CIPLA,EQ,517.05,517.3,505.3,506.95
2016-07-19,CIPLA,EQ,507.0,510.4,500.55,505.8
2016-07-20,CIPLA,EQ,507.45,519.4,505.25,517.85
2016-07-21,CIPLA,EQ,522.5,526.95,514.0,515.85
2016-07-22,CIPLA,EQ,516.0,522.9,512.35,520.4
2016-07-25,CIPLA,EQ,514.05,526.5,513.0,524.6
2016-07-26,CIPLA,EQ,527.5,530.15,521.75,523.55
2016-07-27,CIPLA,EQ,523.0,529.15,516.95,523.15
2016-07-28,CIPLA,EQ,523.9,527.95,519.0,520.65
2016-07-29,CIPLA,EQ,522.4,535.5,520.0,527.4
2016-08-01,CIPLA,EQ,528.8,535.0,521.5,524.05
2016-08-02,CIPLA,EQ,525.1,529.95,516.2,517.9
2016-08-03,CIPLA,EQ,517.0,534.9,515.3,529.45
2016-08-04,CIPLA,EQ,531.2,534.0,523.0,526.95
2016-08-05,CIPLA,EQ,530.9,534.6,527.25,533.25
2016-08-08,CIPLA,EQ,533.9,541.2,531.95,535.4
2016-08-09,CIPLA,EQ,537.8,540.0,530.15,532.95
2016-08-10,CIPLA,EQ,532.5,533.95,519.5,521.25
2016-08-11,CIPLA,EQ,521.5,525.5,517.9,523.95
2016-08-12,CIPLA,EQ,524.0,526.4,512.1,515.95
2016-08-16,CIPLA,EQ,510.2,557.55,510.2,554.15
2016-08-17,CIPLA,EQ,552.0,564.0,547.2,549.85
2016-08-18,CIPLA,EQ,553.7,557.5,548.0,552.65
2016-08-19,CIPLA,EQ,552.85,560.55,552.5,556.8
2016-08-22,CIPLA,EQ,557.0,564.9,552.3,557.6
2016-08-23,CIPLA,EQ,557.6,557.75,552.05,555.65
2016-08-24,CIPLA,EQ,559.8,572.0,553.85,567.2
2016-08-25,CIPLA,EQ,570.0,574.55,560.0,562.9
2016-08-26,CIPLA,EQ,567.5,571.7,562.35,567.25
2016-08-29,CIPLA,EQ,568.3,570.35,562.9,568.0
2016-08-30,CIPLA,EQ,570.0,581.45,567.7,576.1
2016-08-31,CIPLA,EQ,581.05,587.5,570.0,572.95
2016-09-01,CIPLA,EQ,575.0,581.3,571.0,579.15
2016-09-02,CIPLA,EQ,580.3,581.1,571.5,577.95
2016-09-06,CIPLA,EQ,585.0,586.3,576.0,578.6
2016-09-07,CIPLA,EQ,580.05,585.95,575.1,580.75
2016-09-08,CIPLA,EQ,581.2,598.4,581.2,595.15
2016-09-09,CIPLA,EQ,595.1,595.6,578.0,580.5
2016-09-12,CIPLA,EQ,572.2,579.2,562.3,570.1
2016-09-14,CIPLA,EQ,570.0,583.7,569.8,577.5
2016-09-15,CIPLA,EQ,579.0,591.0,576.85,585.4
2016-09-16,CIPLA,EQ,587.1,596.0,586.1,593.55
2016-09-19,CIPLA,EQ,594.9,600.0,593.25,597.8
2016-09-20,CIPLA,EQ,598.7,607.5,596.0,602.85
2016-09-21,CIPLA,EQ,602.85,607.0,597.1,601.35
2016-09-22,CIPLA,EQ,605.0,610.95,603.9,609.1
2016-09-23,CIPLA,EQ,609.0,617.8,604.7,611.55
2016-09-26,CIPLA,EQ,609.0,615.0,603.0,604.5
2016-09-27,CIPLA,EQ,604.0,610.3,601.85,607.2
2016-09-28,CIPLA,EQ,608.7,612.4,602.25,605.8
2016-09-29,CIPLA,EQ,608.0,611.0,585.75,602.85
2016-09-30,CIPLA,EQ,601.85,603.9,562.25,580.05
2016-10-03,CIPLA,EQ,584.7,591.7,582.2,588.85
2016-10-04,CIPLA,EQ,590.3,603.85,590.3,597.8
2016-10-05,CIPLA,EQ,600.0,600.15,590.0,591.65
2016-10-06,CIPLA,EQ,592.5,596.8,576.85,578.8
2016-10-07,CIPLA,EQ,578.85,583.4,566.5,570.05
2016-10-10,CIPLA,EQ,570.25,584.4,570.25,580.65
2016-10-13,CIPLA,EQ,596.95,599.0,580.5,582.0
2016-10-14,CIPLA,EQ,584.75,590.0,583.0,587.0
2016-10-17,CIPLA,EQ,589.0,592.05,583.65,586.0
2016-10-18,CIPLA,EQ,587.0,594.0,582.25,592.75
2016-10-19,CIPLA,EQ,591.2,598.8,591.2,596.35
2016-10-20,CIPLA,EQ,596.5,600.5,593.8,596.6
2016-10-21,CIPLA,EQ,597.5,597.5,570.0,583.25
2016-10-24,CIPLA,EQ,585.0,594.4,582.0,584.7
2016-10-25,CIPLA,EQ,586.0,594.5,582.7,584.5
2016-10-26,CIPLA,EQ,583.0,584.9,575.15,577.65
2016-10-27,CIPLA,EQ,578.0,588.0,570.5,585.75
2016-10-28,CIPLA,EQ,585.5,586.85,573.7,575.15
2016-10-30,CIPLA,EQ,578.65,580.6,575.4,578.75
2016-11-01,CIPLA,EQ,579.45,579.45,570.1,571.75
2016-11-02,CIPLA,EQ,569.95,569.95,557.55,560.1
2016-11-03,CIPLA,EQ,556.0,563.8,556.0,560.0
2016-11-04,CIPLA,EQ,556.1,565.5,538.0,544.7
2016-11-07,CIPLA,EQ,549.5,555.75,544.0,545.75
2016-11-08,CIPLA,EQ,549.7,550.9,530.2,535.3
2016-11-09,CIPLA,EQ,512.1,532.0,486.55,526.3
2016-11-10,CIPLA,EQ,545.0,568.0,545.0,563.7
2016-11-11,CIPLA,EQ,559.7,564.0,545.25,547.95
2016-11-15,CIPLA,EQ,547.6,561.05,528.6,552.4
2016-11-16,CIPLA,EQ,562.0,564.85,535.5,538.15
2016-11-17,CIPLA,EQ,539.0,549.35,536.1,545.7
2016-11-18,CIPLA,EQ,541.2,555.65,541.2,550.95
2016-11-21,CIPLA,EQ,550.0,555.35,542.1,545.1
2016-11-22,CIPLA,EQ,547.1,559.35,543.5,550.5
2016-11-23,CIPLA,EQ,554.9,559.4,547.15,552.8
2016-11-24,CIPLA,EQ,551.4,558.3,545.05,553.65
2016-11-25,CIPLA,EQ,557.0,569.95,548.5,565.05
2016-11-28,CIPLA,EQ,569.3,577.0,568.05,570.55
2016-11-29,CIPLA,EQ,573.0,573.95,564.3,569.15
2016-11-30,CIPLA,EQ,570.0,573.25,563.5,566.6
2016-12-01,CIPLA,EQ,567.0,579.85,566.1,568.2
2016-12-02,CIPLA,EQ,566.0,573.9,566.0,571.2
2016-12-05,CIPLA,EQ,573.5,581.4,571.35,573.0
2016-12-06,CIPLA,EQ,575.0,580.45,570.95,574.85
2016-12-07,CIPLA,EQ,577.45,577.6,569.4,570.85
2016-12-08,CIPLA,EQ,573.5,583.9,570.2,582.75
2016-12-09,CIPLA,EQ,586.0,586.0,576.45,578.9
2016-12-12,CIPLA,EQ,576.4,582.0,572.6,574.8
2016-12-13,CIPLA,EQ,574.1,581.2,570.5,578.85
