Date,Symbol,Series,Open,High,Low,Close
2016-03-23,COALINDIA,EQ,295.95,298.5,294.9,298.0
2016-03-28,COALINDIA,EQ,298.5,298.5,292.2,293.5
2016-03-29,COALINDIA,EQ,293.95,297.4,293.05,295.15
2016-03-30,COALINDIA,EQ,295.6,297.55,295.4,296.85
2016-03-31,COALINDIA,EQ,297.85,297.85,291.0,291.95
2016-04-01,COALINDIA,EQ,292.0,293.75,285.65,287.0
2016-04-04,COALINDIA,EQ,288.4,288.95,284.0,285.0
2016-04-05,COALINDIA,EQ,284.5,284.95,274.1,275.25
2016-04-06,COALINDIA,EQ,276.0,279.9,274.0,275.6
2016-04-07,COALINDIA,EQ,277.2,281.75,276.3,281.25
2016-04-08,COALINDIA,EQ,281.75,283.0,278.4,279.6
2016-04-11,COALINDIA,EQ,280.2,282.6,277.2,280.45
2016-04-12,COALINDIA,EQ,280.45,280.5,271.65,274.4
2016-04-13,COALINDIA,EQ,276.25,278.3,275.0,277.45
2016-04-18,COALINDIA,EQ,276.7,278.55,274.2,275.8
2016-04-20,COALINDIA,EQ,277.8,282.0,276.15,278.65
2016-04-21,COALINDIA,EQ,280.0,288.75,279.8,287.75
2016-04-22,COALINDIA,EQ,288.65,288.65,285.0,287.8
2016-04-25,COALINDIA,EQ,288.6,290.9,286.8,287.95
2016-04-26,COALINDIA,EQ,287.1,289.9,286.5,288.3
2016-04-27,COALINDIA,EQ,289.0,293.5,288.05,290.9
2016-04-28,COALINDIA,EQ,291.55,293.65,283.65,285.05
2016-04-29,COALINDIA,EQ,285.0,289.65,284.25,288.05
2016-05-02,COALINDIA,EQ,288.7,289.0,286.6,288.65
2016-05-03,COALINDIA,EQ,289.0,289.25,277.5,279.15
2016-05-04,COALINDIA,EQ,277.8,281.45,272.4,279.95
2016-05-05,COALINDIA,EQ,280.5,283.15,280.0,281.8
2016-05-06,COALINDIA,EQ,281.25,282.45,277.5,281.9
2016-05-09,COALINDIA,EQ,282.15,286.5,282.15,285.6
2016-05-10,COALINDIA,EQ,286.7,286.7,283.0,284.9
2016-05-11,COALINDIA,EQ,281.7,284.4,276.65,283.8
2016-05-12,COALINDIA,EQ,284.05,284.85,282.0,283.85
2016-05-13,COALINDIA,EQ,283.6,283.6,278.55,281.45
2016-05-16,COALINDIA,EQ,281.9,283.9,279.65,282.85
2016-05-17,COALINDIA,EQ,283.75,284.9,281.8,283.85
2016-05-18,COALINDIA,EQ,285.3,285.3,281.2,283.95
2016-05-19,COALINDIA,EQ,284.0,284.4,279.4,280.3
2016-05-20,COALINDIA,EQ,280.6,281.1,278.05,279.0
2016-05-23,COALINDIA,EQ,281.0,281.5,278.2,280.5
2016-05-24,COALINDIA,EQ,281.4,281.4,278.0,279.55
2016-05-25,COALINDIA,EQ,280.4,281.5,277.7,281.0
2016-05-26,COALINDIA,EQ,281.0,281.7,278.75,280.85
2016-05-27,COALINDIA,EQ,282.25,284.5,280.2,281.3
2016-05-30,COALINDIA,EQ,289.25,295.95,288.5,292.55
2016-05-31,COALINDIA,EQ,293.9,295.25,287.9,291.4
2016-06-01,COALINDIA,EQ,292.05,299.5,289.05,297.2
2016-06-02,COALINDIA,EQ,297.8,309.5,296.7,307.35
2016-06-03,COALINDIA,EQ,310.0,311.9,308.05,308.95
2016-06-06,COALINDIA,EQ,308.1,308.5,304.0,305.8
2016-06-07,COALINDIA,EQ,307.1,309.5,305.05,307.8
