Date,Symbol,Series,Open,High,Low,Close
2016-03-23,DIVISLAB,EQ,979.45,980.0,958.0,969.4
2016-03-28,DIVISLAB,EQ,978.0,979.0,960.05,972.2
2016-03-29,DIVISLAB,EQ,970.0,981.25,935.1,977.0
2016-03-30,DIVISLAB,EQ,976.8,990.6,972.15,982.25
2016-03-31,DIVISLAB,EQ,986.0,989.9,968.75,987.25
2016-04-01,DIVISLAB,EQ,984.95,1011.45,977.95,1008.55
2016-04-04,DIVISLAB,EQ,1010.05,1013.9,990.75,1010.6
2016-04-05,DIVISLAB,EQ,1007.6,1028.0,1000.7,1013.35
2016-04-06,DIVISLAB,EQ,1012.8,1018.4,971.85,995.15
2016-04-07,DIVISLAB,EQ,1004.8,1024.6,985.5,1013.9
2016-04-08,DIVISLAB,EQ,1010.2,1020.0,999.6,1013.45
2016-04-11,DIVISLAB,EQ,1014.9,1037.0,1005.1,1020.1
2016-04-12,DIVISLAB,EQ,1027.0,1034.9,1012.0,1021.9
2016-04-13,DIVISLAB,EQ,1035.0,1035.0,1008.6,1023.05
2016-04-18,DIVISLAB,EQ,1009.0,1049.0,1009.0,1039.05
2016-04-20,DIVISLAB,EQ,1048.95,1053.45,1032.9,1048.55
2016-04-21,DIVISLAB,EQ,1060.0,1095.2,1048.0,1091.05
2016-04-22,DIVISLAB,EQ,1099.45,1106.4,1064.0,1069.45
2016-04-25,DIVISLAB,EQ,1067.95,1076.65,1056.85,1059.95
2016-04-26,DIVISLAB,EQ,1063.85,1068.7,1051.1,1058.45
2016-04-27,DIVISLAB,EQ,1071.0,1071.0,1038.2,1042.25
2016-04-28,DIVISLAB,EQ,1042.65,1058.75,1036.2,1050.15
2016-04-29,DIVISLAB,EQ,1059.0,1060.95,1041.0,1051.1
2016-05-02,DIVISLAB,EQ,1048.0,1059.75,1043.4,1055.8
2016-05-03,DIVISLAB,EQ,1060.1,1067.55,1036.95,1040.15
2016-05-04,DIVISLAB,EQ,1042.5,1055.0,1025.0,1051.0
2016-05-05,DIVISLAB,EQ,1060.0,1064.5,1038.4,1044.0
2016-05-06,DIVISLAB,EQ,1044.1,1044.1,1019.2,1022.2
2016-05-09,DIVISLAB,EQ,1026.0,1065.0,1019.4,1050.05
2016-05-10,DIVISLAB,EQ,1060.0,1074.9,1045.4,1071.2
2016-05-11,DIVISLAB,EQ,1068.0,1083.9,1048.0,1064.95
