Date,Symbol,Series,Open,High,Low,Close
2016-03-23,DRREDDY,EQ,3060.0,3078.75,3031.0,3047.9
2016-03-28,DRREDDY,EQ,3038.0,3074.55,3014.1,3035.65
2016-03-29,DRREDDY,EQ,3030.0,3030.0,2887.15,2941.3
2016-03-30,DRREDDY,EQ,2971.1,3026.3,2925.45,3015.65
2016-03-31,DRREDDY,EQ,3022.0,3063.0,3003.5,3035.2
2016-04-01,DRREDDY,EQ,3020.2,3026.15,2965.15,2979.95
2016-04-04,DRREDDY,EQ,3008.0,3044.3,2997.0,3011.75
2016-04-05,DRREDDY,EQ,3005.0,3040.0,2992.1,2999.9
2016-04-06,DRREDDY,EQ,3009.0,3040.0,2970.1,3001.45
2016-04-07,DRREDDY,EQ,3005.0,3075.0,3005.0,3035.75
2016-04-08,DRREDDY,EQ,3050.0,3089.45,3030.3,3039.15
2016-04-11,DRREDDY,EQ,3029.15,3035.0,2995.0,3029.25
2016-04-12,DRREDDY,EQ,3050.0,3098.0,3050.0,3082.75
2016-04-13,DRREDDY,EQ,3100.0,3122.7,3085.05,3099.5
2016-04-18,DRREDDY,EQ,3104.0,3109.0,3021.9,3091.05
2016-04-20,DRREDDY,EQ,3116.0,3130.0,3099.35,3108.75
2016-04-21,DRREDDY,EQ,3119.0,3139.9,3108.75,3131.2
2016-04-22,DRREDDY,EQ,3117.9,3160.0,3117.9,3141.95
2016-04-25,DRREDDY,EQ,3158.45,3168.9,3097.55,3116.15
2016-04-26,DRREDDY,EQ,3117.0,3134.85,3100.5,3120.25
2016-04-27,DRREDDY,EQ,3099.8,3135.0,3086.0,3130.75
2016-04-28,DRREDDY,EQ,3129.9,3144.0,3071.6,3083.35
2016-04-29,DRREDDY,EQ,3100.0,3108.0,3067.0,3088.7
2016-05-02,DRREDDY,EQ,3080.95,3080.95,3005.0,3011.8
2016-05-03,DRREDDY,EQ,3009.0,3028.0,2951.5,2959.35
2016-05-04,DRREDDY,EQ,2949.0,2959.0,2920.0,2933.3
2016-05-05,DRREDDY,EQ,2939.0,2952.0,2911.0,2929.55
2016-05-06,DRREDDY,EQ,2919.95,2919.95,2859.95,2866.3
2016-05-09,DRREDDY,EQ,2851.0,2869.85,2822.0,2840.05
2016-05-10,DRREDDY,EQ,2864.0,2962.0,2850.25,2924.45
2016-05-11,DRREDDY,EQ,2913.6,2913.6,2855.05,2868.7
2016-05-12,DRREDDY,EQ,2871.0,2988.0,2844.05,2971.45
2016-05-13,DRREDDY,EQ,2899.9,2943.7,2884.7,2917.2
2016-05-16,DRREDDY,EQ,2926.8,3028.0,2926.8,3002.4
2016-05-17,DRREDDY,EQ,3012.95,3037.0,3009.1,3017.75
2016-05-18,DRREDDY,EQ,3015.5,3045.0,3000.0,3025.3
2016-05-19,DRREDDY,EQ,3049.5,3049.5,3015.0,3025.6
2016-05-20,DRREDDY,EQ,3040.0,3045.0,3022.0,3033.8
2016-05-23,DRREDDY,EQ,3020.0,3047.3,3019.05,3029.8
2016-05-24,DRREDDY,EQ,3025.0,3040.0,3015.1,3025.15
2016-05-25,DRREDDY,EQ,3020.0,3075.0,3020.0,3051.55
2016-05-26,DRREDDY,EQ,3062.4,3110.0,3060.05,3090.7
2016-05-27,DRREDDY,EQ,3084.0,3138.0,3075.15,3116.05
2016-05-30,DRREDDY,EQ,3112.0,3176.35,3112.0,3170.25
2016-05-31,DRREDDY,EQ,3173.55,3198.7,3160.0,3183.1
2016-06-01,DRREDDY,EQ,3190.0,3219.9,3172.1,3183.15
2016-06-02,DRREDDY,EQ,3172.0,3198.75,3166.7,3177.05
2016-06-03,DRREDDY,EQ,3187.0,3196.95,3142.3,3160.1
2016-06-06,DRREDDY,EQ,3156.4,3169.0,3126.3,3151.2
2016-06-07,DRREDDY,EQ,3140.15,3183.0,3132.0,3155.95
2016-06-08,DRREDDY,EQ,3149.0,3165.8,3135.0,3137.95
2016-06-09,DRREDDY,EQ,3098.7,3099.0,3062.25,3070.95
2016-06-10,DRREDDY,EQ,3055.25,3093.05,3050.0,3065.8
2016-06-13,DRREDDY,EQ,3069.0,3102.25,3068.0,3088.25
2016-06-14,DRREDDY,EQ,3088.0,3109.2,3080.0,3097.3
2016-06-15,DRREDDY,EQ,3095.0,3095.0,3077.4,3086.75
2016-06-16,DRREDDY,EQ,3086.75,3089.0,3032.0,3048.25
2016-06-17,DRREDDY,EQ,3081.0,3094.9,2999.8,3002.95
2016-06-20,DRREDDY,EQ,3006.0,3064.0,3006.0,3056.95
2016-06-21,DRREDDY,EQ,3079.0,3094.0,3038.0,3049.05
2016-06-22,DRREDDY,EQ,3069.0,3134.0,3064.85,3105.1
2016-06-23,DRREDDY,EQ,3108.35,3178.95,3108.35,3171.55
2016-06-24,DRREDDY,EQ,3110.0,3166.95,3085.0,3153.25
2016-06-27,DRREDDY,EQ,3132.0,3268.0,3132.0,3246.6
2016-06-28,DRREDDY,EQ,3240.0,3285.0,3235.15,3273.05
