Date,Symbol,Series,Open,High,Low,Close
2016-03-23,EICHERMOT,EQ,18299.0,18699.8,18003.0,18554.05
2016-03-28,EICHERMOT,EQ,18597.0,18654.5,18330.0,18410.3
2016-03-29,EICHERMOT,EQ,18450.0,18750.0,18181.05,18633.45
2016-03-30,EICHERMOT,EQ,18799.85,18833.0,18533.45,18736.8
2016-03-31,EICHERMOT,EQ,18825.0,19350.0,18549.4,19180.6
2016-04-01,EICHERMOT,EQ,19080.6,19450.0,18910.85,19254.05
2016-04-04,EICHERMOT,EQ,19384.0,19571.0,19285.1,19503.9
2016-04-05,EICHERMOT,EQ,19400.0,19448.9,18642.1,18735.5
2016-04-06,EICHERMOT,EQ,18834.0,19225.4,18635.5,19179.85
2016-04-07,EICHERMOT,EQ,19150.0,19197.95,18779.85,18884.1
2016-04-08,EICHERMOT,EQ,18935.0,19290.85,18805.1,19181.2
2016-04-11,EICHERMOT,EQ,19160.0,19425.0,19000.0,19388.9
2016-04-12,EICHERMOT,EQ,19320.0,19600.0,19311.0,19557.85
2016-04-13,EICHERMOT,EQ,19657.85,19968.0,19557.85,19896.3
2016-04-18,EICHERMOT,EQ,19917.25,20600.0,19917.25,20268.35
2016-04-20,EICHERMOT,EQ,20330.1,20579.25,20250.05,20511.2
2016-04-21,EICHERMOT,EQ,20530.0,20699.8,20200.0,20328.8
2016-04-22,EICHERMOT,EQ,20229.0,20374.85,20101.0,20169.95
2016-04-25,EICHERMOT,EQ,20190.0,20190.0,19909.95,19945.4
2016-04-26,EICHERMOT,EQ,19945.0,20325.0,19850.0,20148.4
2016-04-27,EICHERMOT,EQ,20168.7,20200.75,20060.0,20114.3
2016-04-28,EICHERMOT,EQ,20199.0,20373.4,20070.0,20292.95
2016-04-29,EICHERMOT,EQ,20289.0,20289.9,19950.1,20035.0
2016-05-02,EICHERMOT,EQ,19984.95,20130.0,19800.0,19854.35
2016-05-03,EICHERMOT,EQ,19964.0,20279.95,19800.0,19981.5
2016-05-04,EICHERMOT,EQ,19999.9,20088.6,19608.1,19760.85
2016-05-05,EICHERMOT,EQ,19870.0,20000.0,19214.6,19686.65
2016-05-06,EICHERMOT,EQ,19768.7,20349.0,19620.0,20215.9
2016-05-09,EICHERMOT,EQ,20399.55,20500.0,20280.55,20483.25
2016-05-10,EICHERMOT,EQ,20499.0,20499.0,20079.2,20239.2
