Date,Symbol,Series,Open,High,Low,Close
2016-03-23,GAIL,EQ,361.65,364.0,354.75,356.1
2016-03-28,GAIL,EQ,356.0,362.0,356.0,357.75
2016-03-29,GAIL,EQ,357.4,361.9,345.3,347.8
2016-03-30,GAIL,EQ,352.4,360.4,350.4,359.45
2016-03-31,GAIL,EQ,359.45,361.7,352.4,356.4
2016-04-01,GAIL,EQ,354.65,355.7,346.3,347.7
2016-04-04,GAIL,EQ,350.4,352.0,346.0,348.2
2016-04-05,GAIL,EQ,345.05,348.5,338.1,339.55
2016-04-06,GAIL,EQ,340.5,345.0,334.9,341.4
2016-04-07,GAIL,EQ,344.1,344.75,339.3,341.05
2016-04-08,GAIL,EQ,341.0,349.5,336.75,347.35
2016-04-11,GAIL,EQ,349.95,353.7,343.55,351.95
2016-04-12,GAIL,EQ,351.95,367.5,350.15,366.35
2016-04-13,GAIL,EQ,371.9,372.55,361.5,369.55
2016-04-18,GAIL,EQ,365.45,368.3,357.6,359.45
2016-04-20,GAIL,EQ,359.45,370.5,358.25,367.65
2016-04-21,GAIL,EQ,369.0,374.4,365.4,369.4
2016-04-22,GAIL,EQ,368.55,370.95,365.0,366.7
2016-04-25,GAIL,EQ,369.0,369.4,357.7,360.15
2016-04-26,GAIL,EQ,357.2,368.1,353.8,363.0
2016-04-27,GAIL,EQ,362.15,374.25,356.45,373.2
2016-04-28,GAIL,EQ,375.5,376.7,361.6,363.2
2016-04-29,GAIL,EQ,363.2,366.5,355.45,360.35
2016-05-02,GAIL,EQ,360.0,369.7,356.55,367.6
2016-05-03,GAIL,EQ,368.0,369.9,362.0,364.3
2016-05-04,GAIL,EQ,363.0,371.6,361.45,365.95
2016-05-05,GAIL,EQ,365.95,370.0,363.0,365.75
2016-05-06,GAIL,EQ,363.75,386.9,362.25,383.85
2016-05-09,GAIL,EQ,386.95,389.4,384.6,385.95
2016-05-10,GAIL,EQ,387.0,394.4,380.4,391.5
2016-05-11,GAIL,EQ,387.9,390.0,383.25,387.0
2016-05-12,GAIL,EQ,385.0,394.6,385.0,387.85
2016-05-13,GAIL,EQ,386.0,387.3,375.3,379.6
2016-05-16,GAIL,EQ,380.1,382.4,371.1,377.35
2016-05-17,GAIL,EQ,380.0,387.0,377.9,383.9
2016-05-18,GAIL,EQ,382.0,388.0,378.0,382.35
2016-05-19,GAIL,EQ,381.9,382.3,370.0,372.4
2016-05-20,GAIL,EQ,374.0,377.1,370.0,371.55
2016-05-23,GAIL,EQ,374.65,380.0,368.0,370.75
2016-05-24,GAIL,EQ,370.75,376.0,365.7,370.9
2016-05-25,GAIL,EQ,373.0,384.0,373.0,381.55
2016-05-26,GAIL,EQ,385.4,389.85,378.3,380.2
2016-05-27,GAIL,EQ,381.7,385.95,377.8,379.3
2016-05-30,GAIL,EQ,382.45,384.8,377.1,379.85
2016-05-31,GAIL,EQ,380.05,380.5,367.45,370.45
2016-06-01,GAIL,EQ,370.45,375.0,368.6,372.5
2016-06-02,GAIL,EQ,369.5,377.35,366.15,375.7
2016-06-03,GAIL,EQ,374.95,377.7,368.8,370.25
2016-06-06,GAIL,EQ,368.25,377.7,368.25,374.45
2016-06-07,GAIL,EQ,375.35,377.55,372.4,374.45
2016-06-08,GAIL,EQ,374.45,378.8,371.15,374.7
2016-06-09,GAIL,EQ,374.95,379.45,372.95,375.95
2016-06-10,GAIL,EQ,376.45,380.6,366.8,368.95
2016-06-13,GAIL,EQ,365.45,376.2,364.05,371.45
2016-06-14,GAIL,EQ,376.0,378.0,370.85,373.1
2016-06-15,GAIL,EQ,375.15,379.5,373.65,377.25
2016-06-16,GAIL,EQ,376.5,383.6,375.05,382.35
2016-06-17,GAIL,EQ,385.5,388.1,383.5,387.25
2016-06-20,GAIL,EQ,387.25,391.35,383.35,386.05
2016-06-21,GAIL,EQ,389.0,392.1,377.1,382.55
2016-06-22,GAIL,EQ,384.5,384.8,373.45,374.8
2016-06-23,GAIL,EQ,374.0,376.8,370.7,375.55
2016-06-24,GAIL,EQ,371.0,378.75,361.6,377.15
2016-06-27,GAIL,EQ,376.85,382.75,374.1,379.95
2016-06-28,GAIL,EQ,380.35,382.7,375.35,376.9
2016-06-29,GAIL,EQ,376.0,386.95,374.55,385.25
2016-06-30,GAIL,EQ,389.25,390.05,381.8,385.15
2016-07-01,GAIL,EQ,388.0,396.85,386.0,395.35
2016-07-04,GAIL,EQ,398.0,402.7,392.85,396.8
2016-07-05,GAIL,EQ,397.0,397.9,385.6,386.55
2016-07-07,GAIL,EQ,387.45,391.0,383.8,384.8
2016-07-08,GAIL,EQ,383.5,384.9,374.55,375.5
2016-07-11,GAIL,EQ,379.25,384.7,378.0,378.65
2016-07-12,GAIL,EQ,378.1,382.4,376.55,378.25
2016-07-13,GAIL,EQ,385.0,393.0,378.85,391.85
2016-07-14,GAIL,EQ,395.8,399.0,393.35,396.1
2016-07-15,GAIL,EQ,395.1,397.5,390.0,393.75
2016-07-18,GAIL,EQ,393.0,399.2,385.5,386.15
2016-07-19,GAIL,EQ,387.05,391.3,380.35,385.75
2016-07-20,GAIL,EQ,388.0,396.3,387.35,395.4
