Date,Symbol,Series,Open,High,Low,Close
2016-03-23,GRASIM,EQ,3791.0,3827.0,3772.0,3781.0
2016-03-28,GRASIM,EQ,3778.95,3807.0,3733.4,3786.5
2016-03-29,GRASIM,EQ,3770.3,3799.9,3747.65,3767.0
2016-03-30,GRASIM,EQ,3789.0,3858.9,3777.15,3838.65
2016-03-31,GRASIM,EQ,3842.0,3863.8,3812.1,3844.15
2016-04-01,GRASIM,EQ,3811.0,3887.0,3811.0,3852.8
2016-04-04,GRASIM,EQ,3887.0,3890.0,3852.0,3878.2
2016-04-05,GRASIM,EQ,3868.9,3886.75,3822.95,3835.35
2016-04-06,GRASIM,EQ,3844.55,3920.0,3830.05,3912.6
2016-04-07,GRASIM,EQ,3934.95,3934.95,3900.0,3909.9
2016-04-08,GRASIM,EQ,3901.5,3992.0,3875.0,3982.55
2016-04-11,GRASIM,EQ,3992.8,4028.5,3914.4,4006.95
2016-04-12,GRASIM,EQ,4001.0,4050.9,3980.7,4041.95
2016-04-13,GRASIM,EQ,4045.0,4119.2,4032.85,4073.55
2016-04-18,GRASIM,EQ,4074.0,4110.0,4013.05,4090.65
2016-04-20,GRASIM,EQ,4095.0,4139.0,4058.75,4093.05
2016-04-21,GRASIM,EQ,4102.1,4122.2,3988.0,4002.5
2016-04-22,GRASIM,EQ,3983.0,4046.7,3967.65,4013.0
2016-04-25,GRASIM,EQ,4016.0,4055.0,3990.0,4038.7
2016-04-26,GRASIM,EQ,4030.0,4110.0,4020.0,4087.3
2016-04-27,GRASIM,EQ,4087.0,4147.0,4070.0,4131.4
2016-04-28,GRASIM,EQ,4120.0,4135.0,4085.0,4117.7
2016-04-29,GRASIM,EQ,4121.95,4132.0,4054.5,4086.75
2016-05-02,GRASIM,EQ,4075.0,4100.0,4050.0,4070.75
2016-05-03,GRASIM,EQ,4091.0,4178.9,4065.0,4142.45
2016-05-04,GRASIM,EQ,4138.0,4157.9,4098.15,4144.2
2016-05-05,GRASIM,EQ,4164.0,4164.0,4095.9,4115.25
2016-05-06,GRASIM,EQ,4104.9,4129.95,4081.35,4112.05
2016-05-09,GRASIM,EQ,4135.0,4167.8,4085.1,4134.15
2016-05-10,GRASIM,EQ,4134.15,4280.0,4100.0,4215.8
2016-05-11,GRASIM,EQ,4218.05,4299.95,4188.5,4264.5
2016-05-12,GRASIM,EQ,4270.0,4285.0,4220.2,4258.9
2016-05-13,GRASIM,EQ,4249.7,4262.9,4163.0,4251.75
2016-05-16,GRASIM,EQ,4259.7,4275.0,4222.1,4267.55
2016-05-17,GRASIM,EQ,4270.2,4310.0,4256.0,4282.45
2016-05-18,GRASIM,EQ,4275.0,4275.0,4249.7,4265.65
2016-05-19,GRASIM,EQ,4266.0,4278.05,4215.15,4252.25
2016-05-20,GRASIM,EQ,4245.0,4250.0,4200.0,4206.75
2016-05-23,GRASIM,EQ,4224.8,4259.0,4191.3,4211.15
2016-05-24,GRASIM,EQ,4211.0,4318.9,4192.9,4290.35
2016-05-25,GRASIM,EQ,4316.0,4354.95,4294.0,4343.45
2016-05-26,GRASIM,EQ,4343.45,4360.0,4295.0,4331.0
2016-05-27,GRASIM,EQ,4335.0,4385.0,4330.1,4361.25
2016-05-30,GRASIM,EQ,4372.25,4404.35,4341.0,4351.75
2016-05-31,GRASIM,EQ,4330.0,4380.0,4315.75,4356.95
2016-06-01,GRASIM,EQ,4357.1,4390.0,4332.05,4356.0
2016-06-02,GRASIM,EQ,4355.0,4357.65,4325.0,4341.4
2016-06-03,GRASIM,EQ,4341.0,4369.65,4310.15,4318.75
2016-06-06,GRASIM,EQ,4301.25,4344.0,4301.25,4318.65
2016-06-07,GRASIM,EQ,4326.2,4382.3,4315.15,4326.95
2016-06-08,GRASIM,EQ,4340.0,4359.0,4308.9,4332.1
2016-06-09,GRASIM,EQ,4336.0,4357.0,4285.0,4304.75
2016-06-10,GRASIM,EQ,4298.8,4345.45,4251.9,4311.2
2016-06-13,GRASIM,EQ,4305.0,4333.7,4280.75,4311.9
2016-06-14,GRASIM,EQ,4313.0,4313.0,4255.2,4271.7
2016-06-15,GRASIM,EQ,4287.25,4325.0,4282.85,4315.6
2016-06-16,GRASIM,EQ,4319.0,4319.0,4270.05,4289.45
2016-06-17,GRASIM,EQ,4302.0,4350.0,4302.0,4326.4
2016-06-20,GRASIM,EQ,4300.0,4340.0,4250.05,4320.85
2016-06-21,GRASIM,EQ,4328.8,4337.0,4294.05,4308.5
2016-06-22,GRASIM,EQ,4315.0,4324.75,4268.85,4276.9
2016-06-23,GRASIM,EQ,4280.0,4310.0,4270.3,4299.7
2016-06-24,GRASIM,EQ,4250.0,4321.0,4239.95,4291.2
2016-06-27,GRASIM,EQ,4287.8,4398.0,4280.0,4368.5
2016-06-28,GRASIM,EQ,4375.5,4473.5,4375.5,4459.0
2016-06-29,GRASIM,EQ,4462.55,4501.05,4450.0,4473.65
2016-06-30,GRASIM,EQ,4497.55,4697.8,4475.0,4665.65
2016-07-01,GRASIM,EQ,4656.0,4675.0,4627.4,4643.25
2016-07-04,GRASIM,EQ,4648.0,4670.0,4569.3,4579.9
2016-07-05,GRASIM,EQ,4586.0,4611.3,4524.95,4537.85
2016-07-07,GRASIM,EQ,4544.9,4570.0,4520.0,4550.4
2016-07-08,GRASIM,EQ,4542.0,4578.3,4523.75,4540.85
2016-07-11,GRASIM,EQ,4553.1,4607.75,4550.0,4564.15
2016-07-12,GRASIM,EQ,4570.1,4710.6,4556.05,4639.55
2016-07-13,GRASIM,EQ,4644.0,4652.95,4605.0,4628.5
2016-07-14,GRASIM,EQ,4627.7,4775.0,4616.05,4760.75
2016-07-15,GRASIM,EQ,4809.0,4845.55,4745.0,4821.6
2016-07-18,GRASIM,EQ,4828.9,4848.7,4772.0,4797.6
2016-07-19,GRASIM,EQ,4825.0,4825.0,4745.65,4760.05
2016-07-20,GRASIM,EQ,4785.0,4861.8,4773.2,4841.6
2016-07-21,GRASIM,EQ,4844.0,4935.0,4821.65,4901.2
2016-07-22,GRASIM,EQ,4903.0,4949.9,4851.0,4891.0
2016-07-25,GRASIM,EQ,4895.0,4912.7,4840.7,4861.0
2016-07-26,GRASIM,EQ,4861.0,4903.0,4847.0,4856.45
2016-07-27,GRASIM,EQ,4856.45,4919.0,4853.0,4870.1
2016-07-28,GRASIM,EQ,4870.1,4918.5,4820.8,4837.65
2016-07-29,GRASIM,EQ,4860.0,4917.0,4836.95,4894.5
2016-08-01,GRASIM,EQ,4912.0,5019.0,4912.0,4988.1
2016-08-02,GRASIM,EQ,5000.0,5046.05,4970.55,4991.6
2016-08-03,GRASIM,EQ,4995.0,5010.0,4928.45,4968.4
2016-08-04,GRASIM,EQ,4977.0,5016.85,4968.65,4995.5
2016-08-05,GRASIM,EQ,5010.0,5361.05,4999.0,5265.45
2016-08-08,GRASIM,EQ,5280.0,5344.0,5266.1,5286.1
2016-08-09,GRASIM,EQ,5286.0,5309.8,5155.0,5186.35
2016-08-10,GRASIM,EQ,5200.0,5200.0,4805.6,4843.5
