Date,Symbol,Series,Open,High,Low,Close
2016-03-23,HCLTECH,EQ,828.0,830.0,813.4,817.7
2016-03-28,HCLTECH,EQ,819.9,826.5,806.45,810.65
2016-03-29,HCLTECH,EQ,814.6,816.2,799.9,806.8
2016-03-30,HCLTECH,EQ,805.45,822.0,805.45,820.6
2016-03-31,HCLTECH,EQ,815.0,824.5,809.9,814.1
2016-04-01,HCLTECH,EQ,820.0,824.0,807.0,820.4
2016-04-04,HCLTECH,EQ,815.0,841.95,815.0,839.85
2016-04-05,HCLTECH,EQ,839.85,848.9,832.55,843.25
2016-04-06,HCLTECH,EQ,847.0,847.95,826.1,838.75
2016-04-07,HCLTECH,EQ,846.9,846.9,827.0,828.45
2016-04-08,HCLTECH,EQ,831.85,836.0,825.6,833.1
2016-04-11,HCLTECH,EQ,836.45,841.95,824.4,839.3
2016-04-12,HCLTECH,EQ,843.0,845.0,831.25,839.65
2016-04-13,HCLTECH,EQ,844.95,846.5,835.15,837.55
2016-04-18,HCLTECH,EQ,845.05,860.65,845.0,853.3
2016-04-20,HCLTECH,EQ,862.5,862.5,835.5,841.2
2016-04-21,HCLTECH,EQ,844.0,855.35,838.5,846.25
2016-04-22,HCLTECH,EQ,838.35,852.9,838.35,845.15
2016-04-25,HCLTECH,EQ,841.25,850.0,841.25,845.1
2016-04-26,HCLTECH,EQ,839.05,855.4,833.15,849.8
2016-04-27,HCLTECH,EQ,849.5,855.9,831.05,837.55
2016-04-28,HCLTECH,EQ,805.0,823.0,796.65,799.9
2016-04-29,HCLTECH,EQ,794.0,794.0,747.2,750.3
2016-05-02,HCLTECH,EQ,750.0,756.3,740.1,742.2
2016-05-03,HCLTECH,EQ,747.0,747.55,726.05,728.4
2016-05-04,HCLTECH,EQ,727.0,740.5,726.25,737.1
2016-05-05,HCLTECH,EQ,736.8,739.8,725.5,732.9
2016-05-06,HCLTECH,EQ,732.95,732.95,721.0,722.6
2016-05-09,HCLTECH,EQ,724.0,733.0,718.25,721.4
2016-05-10,HCLTECH,EQ,723.5,724.2,716.1,718.8
2016-05-11,HCLTECH,EQ,711.0,716.8,706.4,708.75
2016-05-12,HCLTECH,EQ,711.0,718.9,709.5,714.7
2016-05-13,HCLTECH,EQ,718.0,727.0,713.0,723.15
2016-05-16,HCLTECH,EQ,725.55,725.6,716.15,718.95
2016-05-17,HCLTECH,EQ,720.0,739.0,720.0,732.3
2016-05-18,HCLTECH,EQ,732.0,744.6,727.0,742.25
2016-05-19,HCLTECH,EQ,738.0,744.0,727.5,730.1
2016-05-20,HCLTECH,EQ,729.0,740.0,729.0,736.65
2016-05-23,HCLTECH,EQ,738.35,739.85,732.0,733.55
2016-05-24,HCLTECH,EQ,735.0,741.45,730.05,739.25
2016-05-25,HCLTECH,EQ,742.0,750.4,740.15,749.35
2016-05-26,HCLTECH,EQ,751.05,752.0,736.65,740.9
2016-05-27,HCLTECH,EQ,742.6,759.7,742.6,757.6
2016-05-30,HCLTECH,EQ,761.1,763.7,745.2,747.55
2016-05-31,HCLTECH,EQ,748.0,753.35,736.35,739.8
2016-06-01,HCLTECH,EQ,744.0,744.35,731.7,734.55
2016-06-02,HCLTECH,EQ,735.0,739.6,715.5,721.35
2016-06-03,HCLTECH,EQ,725.3,726.45,720.7,721.9
2016-06-06,HCLTECH,EQ,722.0,728.7,715.6,724.6
2016-06-07,HCLTECH,EQ,728.0,731.45,721.6,726.7
2016-06-08,HCLTECH,EQ,729.0,745.0,728.35,743.5
2016-06-09,HCLTECH,EQ,748.7,755.9,744.0,753.05
2016-06-10,HCLTECH,EQ,750.0,758.0,745.95,751.05
2016-06-13,HCLTECH,EQ,745.0,756.0,741.7,753.65
2016-06-14,HCLTECH,EQ,755.0,764.95,744.05,752.4
2016-06-15,HCLTECH,EQ,751.0,757.3,749.95,755.2
2016-06-16,HCLTECH,EQ,752.55,754.0,742.5,751.7
2016-06-17,HCLTECH,EQ,750.0,755.0,747.85,753.65
2016-06-20,HCLTECH,EQ,749.95,781.45,747.85,770.65
2016-06-21,HCLTECH,EQ,768.5,775.8,766.2,770.1
2016-06-22,HCLTECH,EQ,774.0,774.0,766.3,770.45
2016-06-23,HCLTECH,EQ,770.0,772.0,762.0,769.8
2016-06-24,HCLTECH,EQ,743.95,746.7,723.3,741.85
2016-06-27,HCLTECH,EQ,730.2,749.0,721.0,735.05
2016-06-28,HCLTECH,EQ,729.0,737.5,711.15,713.2
2016-06-29,HCLTECH,EQ,715.7,729.95,708.0,728.45
2016-06-30,HCLTECH,EQ,729.2,735.45,726.4,730.45
2016-07-01,HCLTECH,EQ,735.0,736.8,730.0,731.7
2016-07-04,HCLTECH,EQ,735.0,750.0,734.05,748.35
2016-07-05,HCLTECH,EQ,748.0,748.0,732.2,738.4
2016-07-07,HCLTECH,EQ,741.0,741.0,715.75,717.1
2016-07-08,HCLTECH,EQ,715.0,725.75,715.0,721.85
2016-07-11,HCLTECH,EQ,722.0,726.6,715.05,716.8
2016-07-12,HCLTECH,EQ,718.0,723.3,716.05,721.35
2016-07-13,HCLTECH,EQ,722.5,724.0,716.6,720.0
2016-07-14,HCLTECH,EQ,721.5,729.9,719.6,728.25
2016-07-15,HCLTECH,EQ,732.9,740.0,710.25,717.5
2016-07-18,HCLTECH,EQ,722.2,724.7,715.0,722.5
2016-07-19,HCLTECH,EQ,717.75,731.7,717.75,730.15
2016-07-20,HCLTECH,EQ,724.9,731.9,716.6,730.0
2016-07-21,HCLTECH,EQ,730.0,730.9,720.15,723.55
2016-07-22,HCLTECH,EQ,725.0,730.0,721.6,729.2
2016-07-25,HCLTECH,EQ,729.5,741.0,725.0,740.4
2016-07-26,HCLTECH,EQ,738.9,747.4,736.25,745.25
2016-07-27,HCLTECH,EQ,747.0,754.9,742.5,753.5
2016-07-28,HCLTECH,EQ,757.5,758.95,746.1,750.8
2016-07-29,HCLTECH,EQ,749.0,758.0,745.5,752.95
2016-08-01,HCLTECH,EQ,753.0,791.0,752.5,780.45
2016-08-02,HCLTECH,EQ,785.85,804.9,781.15,800.75
2016-08-03,HCLTECH,EQ,857.0,858.5,816.35,826.15
2016-08-04,HCLTECH,EQ,833.0,836.0,820.1,823.85
2016-08-05,HCLTECH,EQ,824.8,831.45,817.3,821.75
2016-08-08,HCLTECH,EQ,822.0,829.4,811.6,819.1
2016-08-09,HCLTECH,EQ,821.0,824.6,811.05,816.85
2016-08-10,HCLTECH,EQ,816.75,820.0,805.55,818.15
2016-08-11,HCLTECH,EQ,820.0,827.45,813.8,824.55
2016-08-12,HCLTECH,EQ,826.05,835.5,807.0,814.2
2016-08-16,HCLTECH,EQ,813.2,823.8,785.55,792.35
2016-08-17,HCLTECH,EQ,790.0,800.85,782.0,784.55
2016-08-18,HCLTECH,EQ,789.8,792.4,780.1,785.8
2016-08-19,HCLTECH,EQ,785.0,794.4,779.6,781.85
2016-08-22,HCLTECH,EQ,784.95,787.35,765.0,772.25
2016-08-23,HCLTECH,EQ,776.0,795.85,771.6,791.0
2016-08-24,HCLTECH,EQ,795.0,798.35,781.1,790.35
2016-08-25,HCLTECH,EQ,798.0,805.0,794.05,798.05
2016-08-26,HCLTECH,EQ,798.0,800.45,772.8,778.75
2016-08-29,HCLTECH,EQ,782.95,782.95,751.1,755.1
2016-08-30,HCLTECH,EQ,756.0,775.75,753.9,773.9
2016-08-31,HCLTECH,EQ,774.0,793.45,773.05,778.55
2016-09-01,HCLTECH,EQ,781.3,789.55,779.1,783.8
2016-09-02,HCLTECH,EQ,786.95,787.5,779.1,784.55
2016-09-06,HCLTECH,EQ,780.25,788.3,774.7,785.6
2016-09-07,HCLTECH,EQ,791.9,807.0,783.0,787.1
2016-09-08,HCLTECH,EQ,781.5,781.9,750.5,773.95
2016-09-09,HCLTECH,EQ,774.0,789.5,773.0,780.55
2016-09-12,HCLTECH,EQ,772.0,792.1,770.0,782.7
2016-09-14,HCLTECH,EQ,784.65,794.65,775.0,776.35
2016-09-15,HCLTECH,EQ,782.95,784.5,775.0,779.0
2016-09-16,HCLTECH,EQ,782.0,790.95,774.0,786.35
2016-09-19,HCLTECH,EQ,790.0,798.2,781.9,789.05
2016-09-20,HCLTECH,EQ,794.95,795.75,784.5,792.05
2016-09-21,HCLTECH,EQ,793.95,798.0,788.5,792.6
2016-09-22,HCLTECH,EQ,799.0,799.95,783.8,788.85
2016-09-23,HCLTECH,EQ,794.65,804.0,792.4,797.25
2016-09-26,HCLTECH,EQ,795.05,796.95,785.65,788.95
