Date,Symbol,Series,Open,High,Low,Close
2016-03-23,HDFC,EQ,1162.1,1167.7,1143.65,1162.75
2016-03-28,HDFC,EQ,1154.5,1170.25,1137.3,1143.35
2016-03-29,HDFC,EQ,1135.25,1142.0,1120.65,1125.75
2016-03-30,HDFC,EQ,1128.25,1131.35,1110.15,1115.3
2016-03-31,HDFC,EQ,1111.0,1118.95,1098.0,1105.6
2016-04-01,HDFC,EQ,1100.0,1117.8,1092.25,1113.4
2016-04-04,HDFC,EQ,1122.5,1124.25,1095.6,1103.7
2016-04-05,HDFC,EQ,1102.0,1111.0,1085.5,1103.45
2016-04-06,HDFC,EQ,1112.35,1112.35,1091.2,1102.05
2016-04-07,HDFC,EQ,1100.0,1100.0,1065.5,1070.85
2016-04-08,HDFC,EQ,1071.8,1082.85,1068.15,1079.55
2016-04-11,HDFC,EQ,1083.95,1084.7,1060.15,1079.8
2016-04-12,HDFC,EQ,1085.0,1091.95,1076.05,1090.5
2016-04-13,HDFC,EQ,1098.1,1117.45,1093.65,1114.95
2016-04-18,HDFC,EQ,1130.0,1139.4,1093.45,1132.4
2016-04-20,HDFC,EQ,1148.7,1158.65,1135.0,1140.0
2016-04-21,HDFC,EQ,1145.0,1157.45,1140.2,1150.1
2016-04-22,HDFC,EQ,1141.0,1152.05,1121.95,1131.9
2016-04-25,HDFC,EQ,1120.0,1127.5,1106.3,1112.0
2016-04-26,HDFC,EQ,1104.0,1131.85,1103.05,1127.3
2016-04-27,HDFC,EQ,1122.4,1128.5,1113.1,1121.5
2016-04-28,HDFC,EQ,1121.0,1126.4,1082.05,1085.55
2016-04-29,HDFC,EQ,1084.8,1102.25,1074.2,1088.45
2016-05-02,HDFC,EQ,1091.45,1097.0,1078.55,1091.9
2016-05-03,HDFC,EQ,1097.0,1116.55,1095.05,1099.6
2016-05-04,HDFC,EQ,1099.0,1138.0,1098.0,1129.9
2016-05-05,HDFC,EQ,1137.0,1176.2,1135.0,1162.65
