Date,Symbol,Series,Open,High,Low,Close
2016-03-23,HDFCBANK,EQ,1053.05,1053.05,1040.55,1049.35
2016-03-28,HDFCBANK,EQ,1045.0,1053.0,1041.65,1047.5
2016-03-29,HDFCBANK,EQ,1047.5,1059.5,1044.25,1053.8
2016-03-30,HDFCBANK,EQ,1058.0,1069.9,1053.9,1064.95
2016-03-31,HDFCBANK,EQ,1066.85,1078.9,1065.05,1071.15
2016-04-01,HDFCBANK,EQ,1068.8,1076.4,1056.8,1064.45
2016-04-04,HDFCBANK,EQ,1065.2,1072.8,1064.0,1069.05
2016-04-05,HDFCBANK,EQ,1069.0,1076.9,1055.65,1057.45
2016-04-06,HDFCBANK,EQ,1061.0,1066.95,1056.75,1061.5
2016-04-07,HDFCBANK,EQ,1064.0,1064.75,1047.05,1055.5
2016-04-08,HDFCBANK,EQ,1055.0,1063.35,1054.25,1059.35
2016-04-11,HDFCBANK,EQ,1060.3,1074.1,1042.85,1070.95
2016-04-12,HDFCBANK,EQ,1069.6,1071.0,1059.25,1063.0
2016-04-13,HDFCBANK,EQ,1072.0,1084.95,1069.5,1081.75
2016-04-18,HDFCBANK,EQ,1083.5,1092.0,1071.6,1087.8
2016-04-20,HDFCBANK,EQ,1091.9,1100.0,1083.55,1097.85
2016-04-21,HDFCBANK,EQ,1095.0,1105.15,1089.0,1091.15
2016-04-22,HDFCBANK,EQ,1089.5,1100.85,1085.2,1092.15
2016-04-25,HDFCBANK,EQ,1100.0,1100.0,1084.5,1093.25
2016-04-26,HDFCBANK,EQ,1095.0,1115.0,1092.5,1113.85
2016-04-27,HDFCBANK,EQ,1109.85,1125.0,1109.0,1124.2
2016-04-28,HDFCBANK,EQ,1124.2,1136.7,1110.35,1113.95
2016-04-29,HDFCBANK,EQ,1113.8,1136.0,1106.2,1132.35
2016-05-02,HDFCBANK,EQ,1127.75,1130.0,1116.0,1117.65
2016-05-03,HDFCBANK,EQ,1121.9,1135.0,1113.15,1118.0
2016-05-04,HDFCBANK,EQ,1117.5,1134.5,1114.25,1127.35
2016-05-05,HDFCBANK,EQ,1128.0,1134.75,1122.7,1132.3
2016-05-06,HDFCBANK,EQ,1132.0,1132.25,1117.25,1119.65
2016-05-09,HDFCBANK,EQ,1120.0,1144.95,1119.0,1141.4
2016-05-10,HDFCBANK,EQ,1143.5,1147.5,1136.1,1144.9
2016-05-11,HDFCBANK,EQ,1134.7,1145.0,1129.7,1138.8
2016-05-12,HDFCBANK,EQ,1144.0,1152.0,1132.5,1149.1
2016-05-13,HDFCBANK,EQ,1148.0,1148.0,1130.0,1140.9
2016-05-16,HDFCBANK,EQ,1145.0,1165.9,1132.55,1162.8
2016-05-17,HDFCBANK,EQ,1165.05,1169.25,1151.3,1153.45
2016-05-18,HDFCBANK,EQ,1151.0,1151.0,1131.5,1140.65
2016-05-19,HDFCBANK,EQ,1140.1,1142.7,1132.0,1139.3
2016-05-20,HDFCBANK,EQ,1139.95,1148.5,1133.6,1140.9
2016-05-23,HDFCBANK,EQ,1141.95,1149.95,1133.2,1136.75
2016-05-24,HDFCBANK,EQ,1138.4,1143.65,1135.55,1139.95
2016-05-25,HDFCBANK,EQ,1146.3,1175.95,1146.3,1173.3
2016-05-26,HDFCBANK,EQ,1176.1,1188.9,1166.25,1183.25
2016-05-27,HDFCBANK,EQ,1183.25,1190.0,1176.7,1186.8
2016-05-30,HDFCBANK,EQ,1187.0,1195.0,1178.1,1179.75
2016-05-31,HDFCBANK,EQ,1185.9,1185.9,1177.4,1181.9
2016-06-01,HDFCBANK,EQ,1182.95,1182.95,1171.0,1175.15
2016-06-02,HDFCBANK,EQ,1174.7,1180.6,1171.0,1174.95
2016-06-03,HDFCBANK,EQ,1180.1,1185.0,1169.05,1171.75
2016-06-06,HDFCBANK,EQ,1176.0,1182.4,1170.05,1171.1
2016-06-07,HDFCBANK,EQ,1176.95,1180.0,1167.65,1173.7
2016-06-08,HDFCBANK,EQ,1175.8,1178.0,1161.0,1162.6
2016-06-09,HDFCBANK,EQ,1162.5,1164.2,1152.5,1159.4
2016-06-10,HDFCBANK,EQ,1158.4,1172.7,1156.2,1161.35
2016-06-13,HDFCBANK,EQ,1154.75,1164.95,1151.05,1152.9
2016-06-14,HDFCBANK,EQ,1155.0,1157.0,1144.25,1151.85
2016-06-15,HDFCBANK,EQ,1155.0,1170.9,1153.2,1169.55
2016-06-16,HDFCBANK,EQ,1166.55,1168.85,1155.35,1162.15
2016-06-17,HDFCBANK,EQ,1167.0,1178.0,1165.55,1170.0
2016-06-20,HDFCBANK,EQ,1159.0,1179.25,1158.8,1172.05
2016-06-21,HDFCBANK,EQ,1175.0,1175.45,1161.2,1166.65
2016-06-22,HDFCBANK,EQ,1166.0,1175.0,1166.0,1171.5
2016-06-23,HDFCBANK,EQ,1169.8,1191.85,1167.5,1190.1
