Date,Symbol,Series,Open,High,Low,Close
2017-11-17,HDFCLIFE,EQ,310.0,369.0,307.0,344.6
2017-11-20,HDFCLIFE,EQ,344.7,358.9,344.0,355.35
2017-11-21,HDFCLIFE,EQ,356.4,418.9,352.5,385.3
2017-11-22,HDFCLIFE,EQ,388.0,408.0,386.9,395.2
2017-11-23,HDFCLIFE,EQ,390.0,392.0,371.1,374.85
2017-11-24,HDFCLIFE,EQ,376.05,383.0,366.1,370.7
2017-11-27,HDFCLIFE,EQ,371.0,384.5,371.0,380.35
2017-11-28,HDFCLIFE,EQ,383.0,386.4,378.1,382.2
2017-11-29,HDFCLIFE,EQ,382.4,384.7,376.1,377.8
2017-11-30,HDFCLIFE,EQ,379.8,379.8,370.8,371.5
2017-12-01,HDFCLIFE,EQ,373.7,379.55,368.0,372.75
2017-12-04,HDFCLIFE,EQ,374.05,374.9,362.0,362.8
2017-12-05,HDFCLIFE,EQ,361.0,365.9,357.15,362.35
2017-12-06,HDFCLIFE,EQ,360.9,371.7,358.55,368.35
2017-12-07,HDFCLIFE,EQ,370.05,389.9,370.05,388.3
2017-12-08,HDFCLIFE,EQ,390.0,395.8,385.6,389.3
2017-12-11,HDFCLIFE,EQ,387.0,392.25,379.05,380.8
2017-12-12,HDFCLIFE,EQ,380.9,387.0,377.05,383.8
2017-12-13,HDFCLIFE,EQ,386.45,389.25,378.5,380.8
2017-12-14,HDFCLIFE,EQ,382.85,386.0,377.0,384.3
2017-12-15,HDFCLIFE,EQ,388.0,390.75,380.1,381.4
2017-12-18,HDFCLIFE,EQ,380.0,383.3,372.25,377.45
2017-12-19,HDFCLIFE,EQ,378.0,380.95,372.25,374.9
2017-12-20,HDFCLIFE,EQ,377.45,377.7,371.5,375.15
2017-12-21,HDFCLIFE,EQ,379.25,381.8,375.0,376.05
2017-12-22,HDFCLIFE,EQ,376.25,380.4,374.2,374.55
2017-12-26,HDFCLIFE,EQ,376.0,378.6,373.4,376.55
2017-12-27,HDFCLIFE,EQ,375.1,377.95,373.8,374.85
2017-12-28,HDFCLIFE,EQ,375.0,380.0,372.4,377.95
2017-12-29,HDFCLIFE,EQ,379.0,390.8,375.65,386.0
2018-01-01,HDFCLIFE,EQ,388.5,399.8,386.55,389.65
2018-01-02,HDFCLIFE,EQ,391.7,398.0,384.35,395.5
2018-01-03,HDFCLIFE,EQ,398.0,398.3,384.1,385.65
2018-01-04,HDFCLIFE,EQ,390.0,401.95,387.25,399.0
2018-01-05,HDFCLIFE,EQ,401.0,412.0,398.0,407.0
2018-01-08,HDFCLIFE,EQ,410.0,428.3,409.55,422.1
2018-01-09,HDFCLIFE,EQ,424.0,447.65,422.65,435.5
2018-01-10,HDFCLIFE,EQ,438.0,441.9,427.0,429.25
2018-01-11,HDFCLIFE,EQ,424.0,449.8,424.0,446.7
2018-01-12,HDFCLIFE,EQ,449.75,458.7,444.3,455.95
