Date,Symbol,Series,Open,High,Low,Close
2016-03-23,HEROMOTOCO,EQ,2875.0,2914.7,2864.25,2871.4
2016-03-28,HEROMOTOCO,EQ,2855.0,2890.0,2832.0,2848.0
2016-03-29,HEROMOTOCO,EQ,2847.0,2880.0,2843.05,2856.85
2016-03-30,HEROMOTOCO,EQ,2869.95,2928.7,2869.95,2923.8
2016-03-31,HEROMOTOCO,EQ,2920.5,2985.95,2919.6,2945.7
2016-04-01,HEROMOTOCO,EQ,2931.1,2969.45,2923.0,2951.05
2016-04-04,HEROMOTOCO,EQ,2988.0,2988.0,2946.0,2983.7
2016-04-05,HEROMOTOCO,EQ,2960.25,3013.0,2949.95,2963.3
2016-04-06,HEROMOTOCO,EQ,2964.0,3009.0,2963.2,2991.25
2016-04-07,HEROMOTOCO,EQ,2980.4,2987.45,2941.0,2968.0
2016-04-08,HEROMOTOCO,EQ,2966.8,2966.8,2881.7,2915.7
2016-04-11,HEROMOTOCO,EQ,2923.0,2982.0,2908.4,2976.55
2016-04-12,HEROMOTOCO,EQ,2981.7,3065.0,2980.0,3051.45
2016-04-13,HEROMOTOCO,EQ,3041.45,3172.0,3036.5,3148.05
2016-04-18,HEROMOTOCO,EQ,3154.95,3159.8,3045.2,3054.5
2016-04-20,HEROMOTOCO,EQ,3060.0,3079.4,3002.5,3039.1
2016-04-21,HEROMOTOCO,EQ,3079.1,3079.1,2978.45,2986.3
2016-04-22,HEROMOTOCO,EQ,2970.0,3024.35,2952.0,2997.05
2016-04-25,HEROMOTOCO,EQ,2991.0,3023.5,2957.2,2961.8
2016-04-26,HEROMOTOCO,EQ,2950.0,2964.7,2915.9,2931.85
2016-04-27,HEROMOTOCO,EQ,2934.9,2964.3,2932.3,2949.9
2016-04-28,HEROMOTOCO,EQ,2952.8,2952.8,2887.35,2899.65
2016-04-29,HEROMOTOCO,EQ,2852.0,2915.0,2852.0,2897.4
2016-05-02,HEROMOTOCO,EQ,2893.0,2930.05,2886.0,2904.35
2016-05-03,HEROMOTOCO,EQ,2960.0,2960.05,2862.05,2885.45
2016-05-04,HEROMOTOCO,EQ,2887.5,2915.3,2880.05,2894.45
2016-05-05,HEROMOTOCO,EQ,2918.0,2950.0,2876.35,2893.75
2016-05-06,HEROMOTOCO,EQ,2905.0,2905.0,2820.35,2890.3
2016-05-09,HEROMOTOCO,EQ,2890.0,2950.0,2882.05,2943.65
2016-05-10,HEROMOTOCO,EQ,2942.0,2968.95,2931.0,2957.8
2016-05-11,HEROMOTOCO,EQ,2930.0,2980.0,2920.05,2961.55
2016-05-12,HEROMOTOCO,EQ,2967.95,2976.8,2947.45,2951.0
2016-05-13,HEROMOTOCO,EQ,2939.2,2947.9,2893.0,2912.6
2016-05-16,HEROMOTOCO,EQ,2910.0,2910.0,2868.55,2900.6
2016-05-17,HEROMOTOCO,EQ,2915.7,2959.0,2904.95,2932.45
2016-05-18,HEROMOTOCO,EQ,2912.05,2915.0,2859.55,2878.45
2016-05-19,HEROMOTOCO,EQ,2880.85,2912.3,2867.95,2891.3
2016-05-20,HEROMOTOCO,EQ,2897.0,2910.0,2871.35,2896.7
2016-05-23,HEROMOTOCO,EQ,2902.0,2904.7,2869.0,2887.55
2016-05-24,HEROMOTOCO,EQ,2884.7,2907.0,2876.25,2899.4
2016-05-25,HEROMOTOCO,EQ,2940.0,2940.0,2905.15,2927.25
2016-05-26,HEROMOTOCO,EQ,2929.95,2989.0,2916.0,2962.2
2016-05-27,HEROMOTOCO,EQ,2962.05,3010.05,2962.0,3002.5
2016-05-30,HEROMOTOCO,EQ,3011.0,3107.5,3003.0,3097.5
2016-05-31,HEROMOTOCO,EQ,3116.0,3129.0,3069.0,3098.9
2016-06-01,HEROMOTOCO,EQ,3123.7,3132.55,3070.7,3089.1
2016-06-02,HEROMOTOCO,EQ,3070.0,3149.0,3060.0,3144.3
2016-06-03,HEROMOTOCO,EQ,3147.95,3211.15,3100.7,3146.2
2016-06-06,HEROMOTOCO,EQ,3112.7,3154.0,3094.05,3113.25
2016-06-07,HEROMOTOCO,EQ,3121.0,3148.2,3110.0,3129.7
2016-06-08,HEROMOTOCO,EQ,3129.5,3179.5,3109.1,3170.1
2016-06-09,HEROMOTOCO,EQ,3165.0,3166.95,3074.0,3086.7
2016-06-10,HEROMOTOCO,EQ,3060.0,3114.05,3058.05,3069.5
2016-06-13,HEROMOTOCO,EQ,3040.0,3059.0,3017.0,3036.45
2016-06-14,HEROMOTOCO,EQ,3040.0,3040.0,2997.3,3005.8
2016-06-15,HEROMOTOCO,EQ,3016.25,3088.8,3016.25,3064.0
2016-06-16,HEROMOTOCO,EQ,3055.0,3059.95,3012.4,3020.75
2016-06-17,HEROMOTOCO,EQ,3032.9,3055.0,3016.25,3030.4
2016-06-20,HEROMOTOCO,EQ,3020.0,3092.0,3007.05,3045.65
2016-06-21,HEROMOTOCO,EQ,3045.65,3074.0,3035.05,3053.05
2016-06-22,HEROMOTOCO,EQ,3059.0,3079.0,3024.0,3074.6
2016-06-23,HEROMOTOCO,EQ,3074.0,3082.25,3036.1,3063.4
2016-06-24,HEROMOTOCO,EQ,3000.0,3076.4,2954.55,3058.75
2016-06-27,HEROMOTOCO,EQ,3023.0,3083.45,3023.0,3052.0
2016-06-28,HEROMOTOCO,EQ,3065.1,3074.0,3013.5,3020.4
2016-06-29,HEROMOTOCO,EQ,3034.95,3164.4,3034.95,3156.55
2016-06-30,HEROMOTOCO,EQ,3155.05,3226.0,3139.95,3178.25
2016-07-01,HEROMOTOCO,EQ,3188.7,3198.0,3160.0,3186.05
2016-07-04,HEROMOTOCO,EQ,3189.95,3189.95,3143.35,3159.8
2016-07-05,HEROMOTOCO,EQ,3154.15,3159.75,3104.05,3111.1
2016-07-07,HEROMOTOCO,EQ,3124.0,3136.55,3095.0,3102.7
2016-07-08,HEROMOTOCO,EQ,3115.0,3179.0,3113.1,3167.8
2016-07-11,HEROMOTOCO,EQ,3192.5,3250.0,3190.1,3244.55
