Date,Symbol,Series,Open,High,Low,Close
2016-03-23,HINDALCO,EQ,88.0,91.7,87.9,91.3
2016-03-28,HINDALCO,EQ,92.5,92.5,82.55,83.25
2016-03-29,HINDALCO,EQ,83.9,86.15,83.5,84.4
2016-03-30,HINDALCO,EQ,85.5,89.3,85.25,88.0
2016-03-31,HINDALCO,EQ,87.85,89.0,86.5,87.95
2016-04-01,HINDALCO,EQ,87.5,87.65,86.05,86.65
2016-04-04,HINDALCO,EQ,87.45,90.65,86.5,89.1
2016-04-05,HINDALCO,EQ,88.2,89.4,84.35,84.9
2016-04-06,HINDALCO,EQ,85.75,89.7,85.5,88.95
2016-04-07,HINDALCO,EQ,89.0,89.4,86.75,87.3
2016-04-08,HINDALCO,EQ,87.25,89.5,86.0,87.7
2016-04-11,HINDALCO,EQ,88.15,93.2,87.85,92.2
2016-04-12,HINDALCO,EQ,91.35,93.15,90.2,92.0
2016-04-13,HINDALCO,EQ,93.05,97.7,93.05,96.3
2016-04-18,HINDALCO,EQ,96.8,97.6,94.5,97.05
2016-04-20,HINDALCO,EQ,99.45,102.4,98.25,101.8
2016-04-21,HINDALCO,EQ,102.4,104.25,100.65,101.8
2016-04-22,HINDALCO,EQ,101.5,102.75,100.6,101.1
2016-04-25,HINDALCO,EQ,101.15,101.35,96.55,98.4
2016-04-26,HINDALCO,EQ,99.05,103.45,98.9,103.15
2016-04-27,HINDALCO,EQ,103.25,104.4,101.1,101.75
2016-04-28,HINDALCO,EQ,101.8,102.45,96.5,96.9
2016-04-29,HINDALCO,EQ,97.4,99.0,93.4,96.35
2016-05-02,HINDALCO,EQ,96.4,100.65,94.6,98.65
2016-05-03,HINDALCO,EQ,99.5,100.6,96.55,96.9
2016-05-04,HINDALCO,EQ,95.5,95.8,90.65,91.15
2016-05-05,HINDALCO,EQ,91.5,93.2,88.9,90.45
2016-05-06,HINDALCO,EQ,90.5,92.3,89.2,91.9
2016-05-09,HINDALCO,EQ,93.0,93.9,91.0,91.7
2016-05-10,HINDALCO,EQ,91.05,91.05,89.2,89.85
2016-05-11,HINDALCO,EQ,89.5,92.8,88.8,91.6
2016-05-12,HINDALCO,EQ,92.3,93.75,92.0,93.4
2016-05-13,HINDALCO,EQ,93.4,93.4,88.85,89.3
2016-05-16,HINDALCO,EQ,89.75,90.55,88.1,89.8
2016-05-17,HINDALCO,EQ,90.55,91.2,88.9,89.1
2016-05-18,HINDALCO,EQ,88.2,89.6,87.25,89.15
2016-05-19,HINDALCO,EQ,89.05,90.9,86.3,87.05
2016-05-20,HINDALCO,EQ,87.6,88.55,86.45,86.95
2016-05-23,HINDALCO,EQ,87.95,88.45,86.3,86.9
2016-05-24,HINDALCO,EQ,87.1,87.45,83.5,86.3
2016-05-25,HINDALCO,EQ,89.0,89.25,87.55,88.75
2016-05-26,HINDALCO,EQ,88.9,90.7,87.65,90.3
2016-05-27,HINDALCO,EQ,91.0,92.7,90.85,91.9
2016-05-30,HINDALCO,EQ,100.0,103.5,98.15,102.95
2016-05-31,HINDALCO,EQ,103.1,107.65,102.5,105.25
2016-06-01,HINDALCO,EQ,105.35,105.75,102.6,103.1
2016-06-02,HINDALCO,EQ,102.75,106.35,102.2,106.05
2016-06-03,HINDALCO,EQ,106.7,106.9,104.1,105.55
2016-06-06,HINDALCO,EQ,105.05,108.0,104.55,106.85
2016-06-07,HINDALCO,EQ,107.25,110.25,107.0,109.5
2016-06-08,HINDALCO,EQ,109.75,110.45,108.0,109.35
2016-06-09,HINDALCO,EQ,109.0,112.6,108.95,110.9
2016-06-10,HINDALCO,EQ,110.45,115.9,110.45,115.3
2016-06-13,HINDALCO,EQ,113.5,115.5,111.35,114.7
2016-06-14,HINDALCO,EQ,114.95,115.85,114.1,115.6
2016-06-15,HINDALCO,EQ,116.25,116.7,114.2,115.75
2016-06-16,HINDALCO,EQ,115.35,119.45,114.35,119.05
2016-06-17,HINDALCO,EQ,120.1,120.25,117.95,118.8
2016-06-20,HINDALCO,EQ,117.45,121.35,117.3,121.05
2016-06-21,HINDALCO,EQ,122.25,124.65,121.6,123.5
2016-06-22,HINDALCO,EQ,123.95,123.95,120.1,122.2
2016-06-23,HINDALCO,EQ,122.1,124.5,121.65,123.9
2016-06-24,HINDALCO,EQ,118.35,119.6,112.0,117.3
2016-06-27,HINDALCO,EQ,115.95,120.8,115.9,119.8
2016-06-28,HINDALCO,EQ,119.9,121.05,117.75,118.05
2016-06-29,HINDALCO,EQ,119.0,121.3,118.6,119.95
2016-06-30,HINDALCO,EQ,122.4,123.45,121.25,122.85
2016-07-01,HINDALCO,EQ,124.0,125.5,123.15,124.75
2016-07-04,HINDALCO,EQ,126.1,126.75,125.5,125.95
2016-07-05,HINDALCO,EQ,126.0,127.4,123.3,123.65
2016-07-07,HINDALCO,EQ,125.0,128.7,124.6,127.7
2016-07-08,HINDALCO,EQ,128.7,128.7,125.5,126.85
2016-07-11,HINDALCO,EQ,128.3,129.75,128.05,129.05
2016-07-12,HINDALCO,EQ,130.35,136.2,130.0,135.25
