Date,Symbol,Series,Open,High,Low,Close
2016-03-23,HINDUNILVR,EQ,870.0,877.35,860.55,873.6
2016-03-28,HINDUNILVR,EQ,876.0,876.1,860.2,863.65
2016-03-29,HINDUNILVR,EQ,860.3,871.35,858.6,861.15
2016-03-30,HINDUNILVR,EQ,862.0,878.95,858.9,861.65
2016-03-31,HINDUNILVR,EQ,855.5,875.7,855.5,869.5
2016-04-01,HINDUNILVR,EQ,867.1,874.9,856.0,867.8
2016-04-04,HINDUNILVR,EQ,863.1,874.95,861.3,872.2
2016-04-05,HINDUNILVR,EQ,870.2,882.85,862.3,868.5
2016-04-06,HINDUNILVR,EQ,869.0,872.9,863.0,871.7
2016-04-07,HINDUNILVR,EQ,870.0,874.85,855.05,860.0
2016-04-08,HINDUNILVR,EQ,861.0,863.0,845.8,850.4
2016-04-11,HINDUNILVR,EQ,853.0,867.85,845.1,864.3
2016-04-12,HINDUNILVR,EQ,866.9,874.4,860.2,872.5
2016-04-13,HINDUNILVR,EQ,875.0,899.6,873.5,897.7
2016-04-18,HINDUNILVR,EQ,900.2,904.95,886.5,899.15
2016-04-20,HINDUNILVR,EQ,899.1,906.0,893.15,904.1
2016-04-21,HINDUNILVR,EQ,905.0,906.9,896.0,904.05
2016-04-22,HINDUNILVR,EQ,897.8,904.3,883.0,884.2
2016-04-25,HINDUNILVR,EQ,880.5,889.0,875.5,884.15
2016-04-26,HINDUNILVR,EQ,881.6,896.0,880.7,885.75
2016-04-27,HINDUNILVR,EQ,884.4,894.0,880.9,892.2
2016-04-28,HINDUNILVR,EQ,893.2,896.8,871.0,876.25
2016-04-29,HINDUNILVR,EQ,876.0,879.35,859.2,867.9
2016-05-02,HINDUNILVR,EQ,867.0,867.0,855.0,863.95
2016-05-03,HINDUNILVR,EQ,863.95,869.0,848.0,851.0
2016-05-04,HINDUNILVR,EQ,850.0,855.9,844.0,853.4
2016-05-05,HINDUNILVR,EQ,859.0,861.9,846.8,850.15
2016-05-06,HINDUNILVR,EQ,848.0,856.5,846.75,853.4
2016-05-09,HINDUNILVR,EQ,851.0,869.7,839.2,845.5
2016-05-10,HINDUNILVR,EQ,848.8,867.9,845.6,862.45
2016-05-11,HINDUNILVR,EQ,855.0,866.8,851.1,862.55
2016-05-12,HINDUNILVR,EQ,858.4,862.0,849.35,853.0
2016-05-13,HINDUNILVR,EQ,852.95,852.95,821.95,831.8
2016-05-16,HINDUNILVR,EQ,833.0,848.5,817.0,846.25
2016-05-17,HINDUNILVR,EQ,850.0,850.35,831.0,834.05
2016-05-18,HINDUNILVR,EQ,833.7,834.55,823.0,825.5
2016-05-19,HINDUNILVR,EQ,826.1,829.85,810.35,815.1
