Date,Symbol,Series,Open,High,Low,Close
2016-03-23,ICICIBANK,EQ,231.45,235.0,230.8,234.2
2016-03-28,ICICIBANK,EQ,234.0,234.0,223.9,225.45
2016-03-29,ICICIBANK,EQ,223.3,226.95,222.4,223.4
2016-03-30,ICICIBANK,EQ,228.5,239.0,226.8,237.5
2016-03-31,ICICIBANK,EQ,238.2,241.35,233.7,236.65
2016-04-01,ICICIBANK,EQ,236.0,239.45,232.7,238.3
2016-04-04,ICICIBANK,EQ,240.25,241.05,234.65,238.75
2016-04-05,ICICIBANK,EQ,236.4,237.5,225.0,225.6
2016-04-06,ICICIBANK,EQ,227.3,228.0,220.1,222.55
2016-04-07,ICICIBANK,EQ,222.8,224.25,219.15,220.3
2016-04-08,ICICIBANK,EQ,220.55,223.8,219.55,221.25
2016-04-11,ICICIBANK,EQ,222.2,225.2,219.1,224.7
2016-04-12,ICICIBANK,EQ,224.3,230.9,223.8,228.75
2016-04-13,ICICIBANK,EQ,233.1,244.2,233.05,240.65
2016-04-18,ICICIBANK,EQ,243.5,243.95,234.6,237.15
2016-04-20,ICICIBANK,EQ,239.1,239.6,234.1,238.05
2016-04-21,ICICIBANK,EQ,246.25,257.8,246.25,253.05
2016-04-22,ICICIBANK,EQ,256.25,257.0,250.2,252.0
2016-04-25,ICICIBANK,EQ,253.1,255.35,251.15,252.95
2016-04-26,ICICIBANK,EQ,250.85,254.7,246.5,254.05
2016-04-27,ICICIBANK,EQ,250.9,251.0,243.25,244.6
2016-04-28,ICICIBANK,EQ,245.4,248.0,239.0,240.1
2016-04-29,ICICIBANK,EQ,240.75,244.4,231.3,236.95
2016-05-02,ICICIBANK,EQ,227.3,230.5,225.4,226.75
2016-05-03,ICICIBANK,EQ,225.75,230.0,220.0,221.1
2016-05-04,ICICIBANK,EQ,218.45,220.8,213.45,214.45
2016-05-05,ICICIBANK,EQ,214.3,219.9,213.75,214.65
2016-05-06,ICICIBANK,EQ,214.0,220.25,213.2,218.6
2016-05-09,ICICIBANK,EQ,219.6,226.0,219.1,225.3
