Date,Symbol,Series,Open,High,Low,Close
2016-03-23,INFY,EQ,1190.0,1210.7,1182.1,1207.8
2016-03-28,INFY,EQ,1232.4,1237.0,1195.75,1204.9
2016-03-29,INFY,EQ,1199.0,1218.9,1191.55,1197.25
2016-03-30,INFY,EQ,1197.6,1210.0,1195.55,1205.95
2016-03-31,INFY,EQ,1210.25,1229.9,1200.3,1218.3
2016-04-01,INFY,EQ,1216.0,1222.2,1195.1,1205.45
2016-04-04,INFY,EQ,1213.55,1248.0,1213.55,1243.7
2016-04-05,INFY,EQ,1242.0,1242.3,1214.0,1219.8
2016-04-06,INFY,EQ,1228.0,1228.0,1196.0,1200.7
2016-04-07,INFY,EQ,1208.4,1208.4,1175.0,1181.5
2016-04-08,INFY,EQ,1175.85,1177.5,1162.05,1165.75
2016-04-11,INFY,EQ,1165.8,1186.75,1151.1,1183.9
2016-04-12,INFY,EQ,1180.5,1194.9,1178.6,1182.2
2016-04-13,INFY,EQ,1194.95,1194.95,1166.35,1172.7
2016-04-18,INFY,EQ,1250.0,1267.9,1233.5,1238.7
2016-04-20,INFY,EQ,1244.0,1246.45,1225.8,1243.6
2016-04-21,INFY,EQ,1251.0,1251.0,1218.1,1226.3
2016-04-22,INFY,EQ,1226.3,1228.5,1207.0,1211.25
2016-04-25,INFY,EQ,1212.05,1224.8,1201.1,1215.85
2016-04-26,INFY,EQ,1215.45,1239.55,1208.6,1232.15
2016-04-27,INFY,EQ,1229.2,1242.35,1228.55,1240.15
2016-04-28,INFY,EQ,1231.0,1239.6,1207.0,1209.15
2016-04-29,INFY,EQ,1211.45,1223.55,1205.0,1208.1
2016-05-02,INFY,EQ,1210.0,1211.15,1196.15,1201.05
2016-05-03,INFY,EQ,1202.75,1212.2,1171.8,1177.8
2016-05-04,INFY,EQ,1181.0,1193.0,1170.65,1188.85
2016-05-05,INFY,EQ,1195.15,1199.0,1181.1,1192.45
2016-05-06,INFY,EQ,1189.8,1189.8,1177.05,1181.5
2016-05-09,INFY,EQ,1182.0,1201.55,1180.6,1199.05
2016-05-10,INFY,EQ,1202.5,1216.65,1196.6,1212.8
2016-05-11,INFY,EQ,1198.5,1214.7,1192.5,1201.85
2016-05-12,INFY,EQ,1203.9,1213.0,1196.8,1210.0
2016-05-13,INFY,EQ,1206.0,1210.0,1192.15,1207.25
2016-05-16,INFY,EQ,1210.2,1223.65,1205.0,1215.0
2016-05-17,INFY,EQ,1220.0,1225.75,1208.15,1214.25
2016-05-18,INFY,EQ,1199.0,1214.0,1197.9,1209.85
2016-05-19,INFY,EQ,1210.95,1216.15,1201.0,1205.75
2016-05-20,INFY,EQ,1205.0,1219.5,1200.0,1201.6
2016-05-23,INFY,EQ,1203.4,1205.15,1185.0,1188.0
2016-05-24,INFY,EQ,1191.05,1191.75,1177.6,1187.75
2016-05-25,INFY,EQ,1194.1,1213.1,1194.1,1208.65
2016-05-26,INFY,EQ,1210.1,1239.8,1210.1,1234.15
2016-05-27,INFY,EQ,1231.6,1259.5,1231.6,1247.5
2016-05-30,INFY,EQ,1241.5,1272.0,1241.5,1267.6
2016-05-31,INFY,EQ,1265.0,1266.75,1239.0,1248.65
2016-06-01,INFY,EQ,1246.05,1268.5,1246.0,1258.2
