Date,Symbol,Series,Open,High,Low,Close
2016-03-23,IOC,EQ,396.0,397.65,390.95,393.1
2016-03-28,IOC,EQ,392.05,396.55,390.8,392.0
2016-03-29,IOC,EQ,393.35,396.6,391.0,394.25
2016-03-30,IOC,EQ,394.75,403.65,394.0,400.0
2016-03-31,IOC,EQ,403.4,408.6,391.5,393.6
2016-04-01,IOC,EQ,395.65,396.8,391.6,393.05
2016-04-04,IOC,EQ,396.95,403.75,394.0,401.55
2016-04-05,IOC,EQ,408.0,412.0,399.0,402.15
2016-04-06,IOC,EQ,407.1,415.75,396.4,410.7
2016-04-07,IOC,EQ,412.0,415.75,407.2,411.15
2016-04-08,IOC,EQ,411.0,413.7,407.25,412.65
2016-04-11,IOC,EQ,412.0,417.5,405.75,416.0
2016-04-12,IOC,EQ,417.0,420.0,412.15,414.95
2016-04-13,IOC,EQ,417.0,419.45,414.3,416.4
2016-04-18,IOC,EQ,418.4,431.2,418.4,429.1
2016-04-20,IOC,EQ,429.65,429.65,418.1,423.6
2016-04-21,IOC,EQ,424.8,430.55,421.2,424.95
2016-04-22,IOC,EQ,423.6,429.9,423.6,428.5
2016-04-25,IOC,EQ,424.55,430.0,422.4,428.95
2016-04-26,IOC,EQ,430.0,435.0,427.05,434.15
2016-04-27,IOC,EQ,431.0,439.7,429.55,437.15
2016-04-28,IOC,EQ,435.6,437.8,421.65,424.0
2016-04-29,IOC,EQ,425.9,434.7,422.85,433.25
2016-05-02,IOC,EQ,434.5,436.0,425.1,426.25
2016-05-03,IOC,EQ,423.0,427.1,417.75,419.7
2016-05-04,IOC,EQ,417.5,422.0,410.3,412.75
2016-05-05,IOC,EQ,412.4,412.9,404.05,410.15
2016-05-06,IOC,EQ,410.0,418.35,408.35,416.0
2016-05-09,IOC,EQ,416.5,421.4,412.05,419.4
2016-05-10,IOC,EQ,420.05,422.45,412.3,413.7
2016-05-11,IOC,EQ,413.45,416.0,408.6,409.7
2016-05-12,IOC,EQ,409.5,416.4,406.7,414.8
2016-05-13,IOC,EQ,415.0,417.6,410.45,414.4
2016-05-16,IOC,EQ,414.95,420.0,408.0,409.5
2016-05-17,IOC,EQ,411.95,416.2,406.0,407.65
2016-05-18,IOC,EQ,408.2,412.4,404.05,406.6
2016-05-19,IOC,EQ,407.5,417.6,405.15,411.95
2016-05-20,IOC,EQ,413.35,415.0,408.5,409.5
2016-05-23,IOC,EQ,410.45,413.3,403.2,404.4
2016-05-24,IOC,EQ,404.5,406.0,392.55,396.85
2016-05-25,IOC,EQ,397.95,405.0,397.1,403.15
2016-05-26,IOC,EQ,404.45,405.5,398.0,402.15
2016-05-27,IOC,EQ,408.0,435.9,405.35,412.95
2016-05-30,IOC,EQ,412.0,412.8,402.05,403.0
2016-05-31,IOC,EQ,400.3,417.95,400.3,416.1
2016-06-01,IOC,EQ,418.0,424.8,417.2,420.6
2016-06-02,IOC,EQ,420.0,423.45,415.2,420.1
2016-06-03,IOC,EQ,421.1,427.0,421.1,424.0
2016-06-06,IOC,EQ,422.05,424.5,416.0,418.3
2016-06-07,IOC,EQ,420.35,421.7,415.35,418.85
2016-06-08,IOC,EQ,418.5,421.65,413.4,415.1
2016-06-09,IOC,EQ,414.95,419.55,413.55,415.4
2016-06-10,IOC,EQ,414.4,418.9,408.65,410.05
2016-06-13,IOC,EQ,409.65,417.95,407.55,416.1
2016-06-14,IOC,EQ,416.45,417.6,412.75,414.05
2016-06-15,IOC,EQ,415.0,419.3,415.0,417.4
2016-06-16,IOC,EQ,418.0,419.85,412.65,415.6
2016-06-17,IOC,EQ,416.95,419.25,411.65,413.15
2016-06-20,IOC,EQ,412.55,413.5,409.0,410.5
2016-06-21,IOC,EQ,411.95,414.25,409.6,412.7
2016-06-22,IOC,EQ,413.0,416.9,410.5,415.4
2016-06-23,IOC,EQ,417.0,423.0,414.05,421.8
