Date,Symbol,Series,Open,High,Low,Close
2016-03-23,ITC,EQ,325.0,325.1,320.35,324.25
2016-03-28,ITC,EQ,327.0,329.8,320.3,322.45
2016-03-29,ITC,EQ,321.15,327.05,319.0,320.0
2016-03-30,ITC,EQ,320.6,329.25,320.6,327.35
2016-03-31,ITC,EQ,325.8,332.5,324.9,328.25
2016-04-01,ITC,EQ,326.1,336.8,325.5,336.05
2016-04-04,ITC,EQ,327.0,333.0,326.05,330.7
2016-04-05,ITC,EQ,328.1,330.35,324.2,326.45
2016-04-06,ITC,EQ,326.85,328.9,325.0,325.9
2016-04-07,ITC,EQ,327.0,327.0,319.0,319.45
2016-04-08,ITC,EQ,319.5,322.45,319.0,321.2
2016-04-11,ITC,EQ,322.0,328.3,317.0,327.25
2016-04-12,ITC,EQ,325.0,325.65,321.0,322.4
2016-04-13,ITC,EQ,325.0,332.7,324.5,331.25
2016-04-18,ITC,EQ,335.0,338.35,331.05,335.4
2016-04-20,ITC,EQ,335.35,338.3,332.6,335.5
2016-04-21,ITC,EQ,335.6,336.5,327.6,329.95
2016-04-22,ITC,EQ,325.95,331.15,324.45,325.8
2016-04-25,ITC,EQ,321.3,325.5,320.4,320.95
2016-04-26,ITC,EQ,313.2,328.35,312.5,327.4
2016-04-27,ITC,EQ,326.05,334.5,326.05,333.55
2016-04-28,ITC,EQ,330.0,332.0,321.55,322.9
2016-04-29,ITC,EQ,323.15,326.1,320.1,324.95
2016-05-02,ITC,EQ,323.25,324.0,319.4,321.15
2016-05-03,ITC,EQ,321.6,323.45,314.0,316.05
2016-05-04,ITC,EQ,315.0,319.5,310.15,312.65
2016-05-05,ITC,EQ,312.0,320.3,311.6,317.65
2016-05-06,ITC,EQ,312.95,319.4,306.0,317.7
2016-05-09,ITC,EQ,320.0,325.9,319.5,324.8
2016-05-10,ITC,EQ,325.0,326.0,321.7,323.5
2016-05-11,ITC,EQ,320.0,321.75,316.1,318.0
2016-05-12,ITC,EQ,319.05,321.1,315.1,318.2
2016-05-13,ITC,EQ,318.0,321.7,315.15,319.35
2016-05-16,ITC,EQ,318.3,330.0,317.1,329.4
2016-05-17,ITC,EQ,330.0,333.45,328.7,330.5
2016-05-18,ITC,EQ,327.6,334.8,325.8,332.7
2016-05-19,ITC,EQ,334.0,334.0,322.5,324.85
2016-05-20,ITC,EQ,326.75,338.7,324.8,330.35
2016-05-23,ITC,EQ,349.65,354.5,339.5,346.85
2016-05-24,ITC,EQ,348.0,351.8,346.65,348.05
2016-05-25,ITC,EQ,350.4,357.45,349.85,356.05
