Date,Symbol,Series,Open,High,Low,Close
2016-03-23,JSWSTEEL,EQ,1235.0,1253.15,1226.75,1248.7
2016-03-28,JSWSTEEL,EQ,1240.0,1249.0,1217.7,1226.9
2016-03-29,JSWSTEEL,EQ,1230.0,1244.0,1221.65,1232.85
2016-03-30,JSWSTEEL,EQ,1250.0,1277.0,1236.5,1271.7
2016-03-31,JSWSTEEL,EQ,1262.0,1294.0,1258.0,1283.25
2016-04-01,JSWSTEEL,EQ,1271.35,1277.3,1251.0,1262.65
2016-04-04,JSWSTEEL,EQ,1266.0,1270.75,1246.1,1259.75
2016-04-05,JSWSTEEL,EQ,1252.1,1267.35,1240.0,1259.45
2016-04-06,JSWSTEEL,EQ,1260.0,1298.0,1256.0,1292.7
2016-04-07,JSWSTEEL,EQ,1295.0,1297.65,1275.15,1277.3
2016-04-08,JSWSTEEL,EQ,1272.0,1283.0,1265.15,1273.4
2016-04-11,JSWSTEEL,EQ,1277.4,1303.45,1270.0,1299.75
2016-04-12,JSWSTEEL,EQ,1299.2,1309.95,1288.2,1297.7
2016-04-13,JSWSTEEL,EQ,1305.1,1319.0,1295.75,1313.55
2016-04-18,JSWSTEEL,EQ,1312.2,1339.9,1307.3,1334.25
2016-04-20,JSWSTEEL,EQ,1346.65,1366.9,1338.1,1361.6
2016-04-21,JSWSTEEL,EQ,1362.0,1372.0,1346.7,1349.6
2016-04-22,JSWSTEEL,EQ,1355.0,1364.0,1341.0,1343.3
2016-04-25,JSWSTEEL,EQ,1342.1,1354.25,1325.2,1345.2
2016-04-26,JSWSTEEL,EQ,1346.0,1370.9,1343.95,1367.95
2016-04-27,JSWSTEEL,EQ,1360.0,1371.4,1352.1,1362.6
2016-04-28,JSWSTEEL,EQ,1368.0,1376.2,1353.55,1368.45
2016-04-29,JSWSTEEL,EQ,1360.0,1380.0,1352.3,1373.2
2016-05-02,JSWSTEEL,EQ,1370.0,1376.0,1360.6,1364.8
2016-05-03,JSWSTEEL,EQ,1365.05,1374.1,1353.1,1356.8
2016-05-04,JSWSTEEL,EQ,1345.0,1349.0,1316.0,1321.7
2016-05-05,JSWSTEEL,EQ,1325.1,1334.5,1309.5,1319.9
2016-05-06,JSWSTEEL,EQ,1314.15,1327.3,1309.1,1320.1
2016-05-09,JSWSTEEL,EQ,1326.55,1340.0,1315.0,1326.15
2016-05-10,JSWSTEEL,EQ,1320.0,1325.0,1275.5,1287.8
2016-05-11,JSWSTEEL,EQ,1270.0,1300.55,1263.55,1291.35
2016-05-12,JSWSTEEL,EQ,1288.9,1296.85,1276.65,1282.7
2016-05-13,JSWSTEEL,EQ,1277.05,1283.0,1263.0,1268.7
2016-05-16,JSWSTEEL,EQ,1267.4,1299.4,1253.55,1295.6
2016-05-17,JSWSTEEL,EQ,1300.0,1308.0,1283.0,1290.0
2016-05-18,JSWSTEEL,EQ,1285.0,1320.9,1280.0,1309.3
2016-05-19,JSWSTEEL,EQ,1324.5,1343.9,1312.25,1320.2
2016-05-20,JSWSTEEL,EQ,1318.0,1330.3,1301.0,1305.0
2016-05-23,JSWSTEEL,EQ,1314.9,1328.0,1294.0,1318.55
2016-05-24,JSWSTEEL,EQ,1320.0,1324.9,1309.0,1320.15
2016-05-25,JSWSTEEL,EQ,1324.0,1336.55,1297.15,1300.35
2016-05-26,JSWSTEEL,EQ,1307.0,1325.0,1301.0,1318.95
2016-05-27,JSWSTEEL,EQ,1323.0,1380.0,1313.1,1375.65
2016-05-30,JSWSTEEL,EQ,1378.0,1393.0,1357.8,1371.95
2016-05-31,JSWSTEEL,EQ,1371.0,1403.0,1361.7,1389.15
2016-06-01,JSWSTEEL,EQ,1396.0,1405.0,1370.4,1374.8
2016-06-02,JSWSTEEL,EQ,1370.4,1388.95,1358.1,1379.3
2016-06-03,JSWSTEEL,EQ,1379.25,1389.65,1362.3,1370.25
2016-06-06,JSWSTEEL,EQ,1370.0,1378.9,1350.65,1369.45
