Date,Symbol,Series,Open,High,Low,Close
2016-03-23,KOTAKBANK,EQ,666.0,675.8,655.1,659.95
2016-03-28,KOTAKBANK,EQ,664.45,677.9,660.55,669.6
2016-03-29,KOTAKBANK,EQ,670.05,682.0,668.95,671.5
2016-03-30,KOTAKBANK,EQ,675.05,686.5,665.5,683.85
2016-03-31,KOTAKBANK,EQ,677.1,694.9,677.1,680.65
2016-04-01,KOTAKBANK,EQ,682.0,686.65,677.15,679.9
2016-04-04,KOTAKBANK,EQ,681.5,689.3,674.25,687.3
2016-04-05,KOTAKBANK,EQ,684.0,684.75,664.75,668.75
2016-04-06,KOTAKBANK,EQ,669.0,674.3,664.3,668.0
2016-04-07,KOTAKBANK,EQ,667.0,668.0,655.5,662.5
2016-04-08,KOTAKBANK,EQ,658.1,670.4,658.1,665.35
2016-04-11,KOTAKBANK,EQ,670.9,674.95,660.3,671.3
2016-04-12,KOTAKBANK,EQ,669.85,682.05,669.75,677.35
2016-04-13,KOTAKBANK,EQ,687.0,699.95,683.2,692.35
2016-04-18,KOTAKBANK,EQ,691.1,691.1,657.7,683.35
2016-04-20,KOTAKBANK,EQ,687.4,692.0,680.2,687.15
2016-04-21,KOTAKBANK,EQ,689.0,689.6,683.15,686.7
2016-04-22,KOTAKBANK,EQ,680.05,683.75,672.95,676.1
2016-04-25,KOTAKBANK,EQ,671.1,682.85,671.1,680.45
2016-04-26,KOTAKBANK,EQ,679.95,705.0,678.85,700.85
2016-04-27,KOTAKBANK,EQ,702.4,719.8,701.0,712.5
2016-04-28,KOTAKBANK,EQ,715.0,718.4,698.5,701.45
2016-04-29,KOTAKBANK,EQ,699.0,719.35,695.5,717.15
2016-05-02,KOTAKBANK,EQ,714.2,724.75,712.1,718.2
2016-05-03,KOTAKBANK,EQ,719.0,722.95,699.0,707.45
2016-05-04,KOTAKBANK,EQ,706.05,720.6,704.8,712.65
2016-05-05,KOTAKBANK,EQ,713.9,715.25,704.05,709.15
2016-05-06,KOTAKBANK,EQ,706.05,710.0,696.1,702.95
2016-05-09,KOTAKBANK,EQ,703.0,716.0,702.9,713.85
2016-05-10,KOTAKBANK,EQ,717.75,730.0,711.4,722.85
2016-05-11,KOTAKBANK,EQ,717.8,737.0,714.0,731.55
2016-05-12,KOTAKBANK,EQ,735.7,743.75,721.0,726.75
2016-05-13,KOTAKBANK,EQ,727.0,728.9,707.0,708.25
2016-05-16,KOTAKBANK,EQ,708.1,720.0,703.0,718.25
