Date,Symbol,Series,Open,High,Low,Close
2016-03-23,LT,EQ,1240.0,1249.0,1230.3,1242.55
2016-03-28,LT,EQ,1241.0,1246.2,1198.05,1206.35
2016-03-29,LT,EQ,1208.0,1216.05,1190.0,1193.95
2016-03-30,LT,EQ,1208.0,1231.9,1201.5,1228.05
2016-03-31,LT,EQ,1225.95,1230.0,1211.5,1216.7
2016-04-01,LT,EQ,1212.0,1248.3,1212.0,1237.9
2016-04-04,LT,EQ,1239.9,1250.0,1221.6,1235.85
2016-04-05,LT,EQ,1228.4,1234.75,1190.05,1195.15
2016-04-06,LT,EQ,1199.1,1215.0,1182.5,1211.85
2016-04-07,LT,EQ,1208.0,1209.95,1177.8,1182.9
2016-04-08,LT,EQ,1184.0,1197.0,1181.0,1192.25
2016-04-11,LT,EQ,1196.0,1215.9,1185.6,1213.35
2016-04-12,LT,EQ,1215.0,1234.9,1207.05,1222.4
2016-04-13,LT,EQ,1236.0,1253.0,1229.1,1234.9
2016-04-18,LT,EQ,1233.1,1256.95,1209.05,1253.0
2016-04-20,LT,EQ,1257.0,1267.95,1248.0,1265.95
2016-04-21,LT,EQ,1269.7,1275.0,1246.05,1251.95
2016-04-22,LT,EQ,1250.0,1269.0,1241.5,1265.1
2016-04-25,LT,EQ,1270.0,1277.6,1257.1,1265.5
2016-04-26,LT,EQ,1261.1,1283.45,1260.35,1281.0
2016-04-27,LT,EQ,1281.0,1288.75,1271.05,1276.45
2016-04-28,LT,EQ,1277.0,1282.9,1253.4,1259.55
2016-04-29,LT,EQ,1260.15,1266.1,1245.5,1254.6
2016-05-02,LT,EQ,1246.0,1256.0,1236.0,1250.75
2016-05-03,LT,EQ,1256.0,1283.15,1245.0,1251.4
2016-05-04,LT,EQ,1247.05,1257.9,1240.0,1246.8
2016-05-05,LT,EQ,1244.5,1282.5,1244.2,1273.85
2016-05-06,LT,EQ,1271.0,1272.4,1254.0,1260.45
2016-05-09,LT,EQ,1264.0,1296.9,1263.2,1294.55
2016-05-10,LT,EQ,1295.0,1322.7,1288.0,1320.05
2016-05-11,LT,EQ,1299.85,1334.0,1295.0,1327.75
2016-05-12,LT,EQ,1325.1,1339.9,1311.25,1316.1
2016-05-13,LT,EQ,1310.0,1315.0,1280.45,1286.5
2016-05-16,LT,EQ,1291.8,1296.0,1268.75,1283.25
2016-05-17,LT,EQ,1289.0,1309.0,1284.65,1291.1
2016-05-18,LT,EQ,1285.4,1312.2,1277.05,1309.85
2016-05-19,LT,EQ,1304.0,1308.0,1260.05,1266.1
2016-05-20,LT,EQ,1272.0,1279.7,1251.1,1255.1
2016-05-23,LT,EQ,1263.65,1265.85,1238.0,1241.2
2016-05-24,LT,EQ,1241.2,1248.6,1223.3,1242.15
2016-05-25,LT,EQ,1260.0,1298.65,1251.05,1291.6
2016-05-26,LT,EQ,1404.0,1484.9,1390.0,1474.15
2016-05-27,LT,EQ,1474.0,1487.35,1452.0,1474.9
2016-05-30,LT,EQ,1469.9,1496.45,1466.15,1487.1
2016-05-31,LT,EQ,1486.2,1487.1,1467.2,1473.55
2016-06-01,LT,EQ,1470.05,1484.15,1461.1,1465.05
