Date,Symbol,Series,Open,High,Low,Close
2016-03-23,M&M,EQ,1255.0,1261.8,1242.3,1249.35
2016-03-28,M&M,EQ,1262.0,1266.0,1237.3,1243.85
2016-03-29,M&M,EQ,1240.2,1253.2,1227.35,1232.25
2016-03-30,M&M,EQ,1244.0,1248.85,1215.7,1219.75
2016-03-31,M&M,EQ,1219.0,1226.8,1204.0,1210.7
2016-04-01,M&M,EQ,1206.7,1207.4,1188.0,1195.2
2016-04-04,M&M,EQ,1197.45,1249.4,1186.7,1245.9
2016-04-05,M&M,EQ,1245.9,1247.75,1214.2,1215.7
2016-04-06,M&M,EQ,1220.0,1236.9,1214.6,1220.35
2016-04-07,M&M,EQ,1224.9,1234.0,1209.0,1212.65
2016-04-08,M&M,EQ,1214.9,1238.6,1208.7,1232.25
2016-04-11,M&M,EQ,1238.9,1239.4,1210.05,1236.0
2016-04-12,M&M,EQ,1237.0,1248.8,1229.1,1239.95
2016-04-13,M&M,EQ,1254.0,1349.75,1251.1,1332.45
2016-04-18,M&M,EQ,1330.0,1354.7,1316.1,1340.65
2016-04-20,M&M,EQ,1344.95,1344.95,1304.3,1326.05
2016-04-21,M&M,EQ,1334.95,1338.35,1302.15,1308.65
2016-04-22,M&M,EQ,1310.0,1335.1,1302.65,1326.0
2016-04-25,M&M,EQ,1325.3,1333.95,1317.25,1326.5
2016-04-26,M&M,EQ,1334.0,1366.0,1328.15,1353.85
2016-04-27,M&M,EQ,1354.0,1389.35,1349.2,1384.75
2016-04-28,M&M,EQ,1389.35,1397.0,1341.0,1344.5
2016-04-29,M&M,EQ,1344.0,1345.65,1318.3,1330.95
2016-05-02,M&M,EQ,1319.0,1345.0,1313.2,1336.55
2016-05-03,M&M,EQ,1337.0,1352.3,1316.0,1325.85
2016-05-04,M&M,EQ,1325.9,1329.9,1306.0,1321.0
2016-05-05,M&M,EQ,1325.0,1331.0,1306.25,1320.85
2016-05-06,M&M,EQ,1311.7,1334.0,1306.5,1330.8
2016-05-09,M&M,EQ,1331.0,1356.5,1330.9,1349.6
2016-05-10,M&M,EQ,1347.5,1354.95,1332.0,1349.9
2016-05-11,M&M,EQ,1338.0,1351.0,1312.15,1348.2
2016-05-12,M&M,EQ,1358.35,1363.2,1331.25,1334.4
2016-05-13,M&M,EQ,1331.0,1331.6,1302.0,1312.75
2016-05-16,M&M,EQ,1320.0,1320.0,1305.5,1316.3
2016-05-17,M&M,EQ,1323.0,1351.4,1318.5,1341.95
2016-05-18,M&M,EQ,1334.9,1334.9,1312.5,1326.0
2016-05-19,M&M,EQ,1326.0,1329.3,1305.5,1311.05
2016-05-20,M&M,EQ,1312.8,1322.05,1288.3,1293.1
2016-05-23,M&M,EQ,1301.0,1301.05,1280.15,1284.95
2016-05-24,M&M,EQ,1271.75,1302.9,1259.25,1294.8
2016-05-25,M&M,EQ,1301.9,1318.0,1300.0,1311.75
2016-05-26,M&M,EQ,1317.95,1349.95,1306.0,1339.1
2016-05-27,M&M,EQ,1339.0,1362.0,1327.55,1333.7
2016-05-30,M&M,EQ,1334.0,1351.7,1312.8,1330.85
2016-05-31,M&M,EQ,1334.7,1345.3,1314.25,1322.3
2016-06-01,M&M,EQ,1329.0,1349.0,1326.25,1333.75
2016-06-02,M&M,EQ,1342.0,1345.85,1330.6,1333.25
2016-06-03,M&M,EQ,1345.0,1358.6,1342.75,1354.2
2016-06-06,M&M,EQ,1362.5,1386.6,1361.05,1369.7
2016-06-07,M&M,EQ,1375.0,1386.95,1373.0,1377.95
2016-06-08,M&M,EQ,1379.95,1398.0,1379.95,1386.3
2016-06-09,M&M,EQ,1383.0,1393.2,1365.2,1373.4
2016-06-10,M&M,EQ,1368.75,1404.9,1363.55,1375.85
2016-06-13,M&M,EQ,1358.25,1376.5,1335.25,1357.35
2016-06-14,M&M,EQ,1361.0,1366.85,1349.1,1355.6
2016-06-15,M&M,EQ,1358.0,1368.8,1350.2,1355.55
2016-06-16,M&M,EQ,1357.0,1364.2,1339.2,1343.95
2016-06-17,M&M,EQ,1350.3,1359.8,1339.2,1344.0
2016-06-20,M&M,EQ,1340.05,1354.0,1330.05,1350.85
2016-06-21,M&M,EQ,1354.8,1371.6,1354.8,1366.85
2016-06-22,M&M,EQ,1365.8,1380.75,1349.1,1359.5
2016-06-23,M&M,EQ,1362.85,1380.05,1358.5,1374.75
2016-06-24,M&M,EQ,1338.0,1397.8,1315.0,1388.9
2016-06-27,M&M,EQ,1395.15,1401.3,1378.0,1391.8
2016-06-28,M&M,EQ,1390.1,1414.0,1386.9,1408.6
2016-06-29,M&M,EQ,1414.5,1425.85,1408.0,1417.75
2016-06-30,M&M,EQ,1431.0,1437.0,1415.5,1429.95
2016-07-01,M&M,EQ,1433.0,1474.9,1432.5,1463.1
2016-07-04,M&M,EQ,1472.7,1477.45,1452.45,1465.4
2016-07-05,M&M,EQ,1472.7,1484.0,1455.3,1459.7
2016-07-07,M&M,EQ,1455.0,1469.7,1450.0,1456.8
2016-07-08,M&M,EQ,1455.9,1465.5,1447.05,1453.45
2016-07-11,M&M,EQ,1467.95,1479.6,1461.0,1471.95
2016-07-12,M&M,EQ,1473.25,1480.3,1470.05,1475.15
2016-07-13,M&M,EQ,1474.0,1480.0,1460.25,1464.45
2016-07-14,M&M,EQ,1455.55,1461.05,1429.65,1447.25
2016-07-15,M&M,EQ,1457.9,1485.2,1449.1,1464.8
2016-07-18,M&M,EQ,1470.0,1481.7,1463.5,1468.7
2016-07-19,M&M,EQ,1468.2,1475.0,1443.2,1456.6
2016-07-20,M&M,EQ,1464.0,1471.75,1458.1,1461.4
2016-07-21,M&M,EQ,1452.0,1455.9,1429.05,1434.85
2016-07-22,M&M,EQ,1437.0,1446.65,1436.6,1440.55
2016-07-25,M&M,EQ,1440.0,1468.4,1438.25,1463.65
2016-07-26,M&M,EQ,1468.0,1469.7,1444.2,1448.95
2016-07-27,M&M,EQ,1450.55,1463.85,1436.0,1453.8
2016-07-28,M&M,EQ,1463.0,1463.0,1446.15,1452.5
2016-07-29,M&M,EQ,1454.0,1479.9,1452.5,1466.75
2016-08-01,M&M,EQ,1472.9,1493.75,1456.05,1470.15
2016-08-02,M&M,EQ,1480.0,1488.7,1451.9,1457.95
2016-08-03,M&M,EQ,1461.7,1469.9,1440.6,1446.5
2016-08-04,M&M,EQ,1459.8,1464.8,1431.1,1435.7
2016-08-05,M&M,EQ,1444.5,1490.0,1444.0,1484.0
2016-08-08,M&M,EQ,1495.0,1505.25,1473.75,1497.85
2016-08-09,M&M,EQ,1507.0,1508.95,1467.9,1480.75
2016-08-10,M&M,EQ,1489.0,1494.0,1435.0,1449.15
2016-08-11,M&M,EQ,1445.2,1452.7,1411.0,1421.6
2016-08-12,M&M,EQ,1428.0,1477.0,1424.05,1450.85
2016-08-16,M&M,EQ,1452.25,1461.35,1431.35,1443.65
2016-08-17,M&M,EQ,1443.65,1456.45,1435.65,1450.5
2016-08-18,M&M,EQ,1456.1,1467.45,1452.75,1460.25
2016-08-19,M&M,EQ,1462.0,1468.4,1451.6,1458.95
2016-08-22,M&M,EQ,1460.4,1461.95,1435.05,1443.55
2016-08-23,M&M,EQ,1447.9,1448.75,1431.0,1442.7
2016-08-24,M&M,EQ,1442.85,1451.6,1432.2,1434.85
2016-08-25,M&M,EQ,1445.0,1445.0,1408.0,1413.85
2016-08-26,M&M,EQ,1418.9,1432.25,1415.2,1424.85
2016-08-29,M&M,EQ,1428.0,1428.8,1413.5,1422.4
2016-08-30,M&M,EQ,1427.95,1438.95,1425.0,1436.0
2016-08-31,M&M,EQ,1442.0,1448.35,1430.45,1436.6
2016-09-01,M&M,EQ,1439.0,1465.0,1438.05,1453.55
2016-09-02,M&M,EQ,1460.0,1476.0,1435.6,1473.6
2016-09-06,M&M,EQ,1480.0,1495.0,1479.1,1489.85
2016-09-07,M&M,EQ,1495.0,1500.0,1480.75,1488.75
2016-09-08,M&M,EQ,1494.0,1500.0,1482.55,1492.1
2016-09-09,M&M,EQ,1494.05,1497.0,1460.9,1472.45
2016-09-12,M&M,EQ,1456.5,1458.0,1416.0,1425.95
2016-09-14,M&M,EQ,1432.4,1432.4,1405.8,1411.55
2016-09-15,M&M,EQ,1418.9,1423.1,1395.55,1406.25
2016-09-16,M&M,EQ,1412.0,1431.2,1401.05,1406.65
2016-09-19,M&M,EQ,1417.9,1429.5,1407.0,1417.0
2016-09-20,M&M,EQ,1423.0,1426.65,1405.5,1409.85
2016-09-21,M&M,EQ,1408.0,1425.95,1401.2,1406.9
2016-09-22,M&M,EQ,1420.0,1422.5,1408.2,1413.6
2016-09-23,M&M,EQ,1418.9,1427.0,1407.05,1410.1
2016-09-26,M&M,EQ,1410.1,1410.1,1376.0,1380.2
2016-09-27,M&M,EQ,1380.0,1390.75,1368.65,1371.7
2016-09-28,M&M,EQ,1375.65,1389.9,1370.0,1376.75
2016-09-29,M&M,EQ,1386.9,1415.95,1358.35,1364.4
2016-09-30,M&M,EQ,1370.5,1415.35,1350.0,1405.7
2016-10-03,M&M,EQ,1413.0,1452.0,1400.05,1443.85
2016-10-04,M&M,EQ,1450.5,1454.75,1411.0,1415.35
2016-10-05,M&M,EQ,1425.9,1425.9,1394.8,1399.2
2016-10-06,M&M,EQ,1407.9,1407.9,1365.5,1372.9
2016-10-07,M&M,EQ,1375.0,1388.0,1370.0,1374.0
2016-10-10,M&M,EQ,1378.1,1388.0,1374.95,1376.9
2016-10-13,M&M,EQ,1360.05,1384.9,1353.0,1369.75
2016-10-14,M&M,EQ,1377.0,1377.0,1353.1,1357.1
2016-10-17,M&M,EQ,1359.7,1360.4,1308.05,1313.1
2016-10-18,M&M,EQ,1320.4,1334.9,1317.55,1333.35
2016-10-19,M&M,EQ,1338.7,1338.7,1312.05,1327.9
2016-10-20,M&M,EQ,1330.0,1343.7,1323.0,1327.4
2016-10-21,M&M,EQ,1326.9,1330.0,1320.4,1326.75
2016-10-24,M&M,EQ,1328.5,1343.2,1320.35,1339.25
2016-10-25,M&M,EQ,1340.0,1340.85,1299.3,1303.9
2016-10-26,M&M,EQ,1300.1,1325.0,1292.65,1308.95
2016-10-27,M&M,EQ,1310.0,1316.1,1293.0,1299.75
2016-10-28,M&M,EQ,1298.0,1314.85,1290.0,1311.8
2016-10-30,M&M,EQ,1313.0,1325.0,1311.0,1317.0
2016-11-01,M&M,EQ,1320.9,1337.8,1304.0,1326.35
2016-11-02,M&M,EQ,1319.0,1386.5,1306.5,1369.3
2016-11-03,M&M,EQ,1361.05,1375.55,1353.0,1360.95
2016-11-04,M&M,EQ,1360.0,1392.0,1346.25,1372.35
2016-11-07,M&M,EQ,1384.0,1393.35,1370.6,1377.95
2016-11-08,M&M,EQ,1384.0,1388.6,1367.05,1384.6
2016-11-09,M&M,EQ,1314.0,1359.0,1253.85,1333.35
2016-11-10,M&M,EQ,1357.95,1378.45,1310.0,1321.3
2016-11-11,M&M,EQ,1300.0,1317.0,1231.6,1240.2
2016-11-15,M&M,EQ,1242.0,1257.95,1169.25,1238.3
2016-11-16,M&M,EQ,1252.0,1278.35,1219.55,1237.35
2016-11-17,M&M,EQ,1230.0,1245.0,1211.0,1219.65
2016-11-18,M&M,EQ,1222.25,1247.0,1221.0,1239.85
2016-11-21,M&M,EQ,1244.45,1245.7,1190.0,1199.4
2016-11-22,M&M,EQ,1210.0,1223.6,1185.0,1219.1
2016-11-23,M&M,EQ,1224.95,1226.5,1187.1,1191.8
2016-11-24,M&M,EQ,1188.0,1199.8,1158.0,1163.7
2016-11-25,M&M,EQ,1169.9,1178.5,1153.25,1173.0
2016-11-28,M&M,EQ,1175.0,1183.95,1156.0,1162.5
2016-11-29,M&M,EQ,1161.0,1201.0,1160.05,1185.85
2016-11-30,M&M,EQ,1192.0,1197.9,1180.55,1185.1
2016-12-01,M&M,EQ,1190.0,1194.0,1156.9,1160.1
2016-12-02,M&M,EQ,1158.0,1164.0,1141.65,1145.55
2016-12-05,M&M,EQ,1157.85,1185.6,1150.0,1181.3
2016-12-06,M&M,EQ,1186.0,1192.45,1172.05,1175.4
2016-12-07,M&M,EQ,1182.9,1195.9,1170.0,1182.0
2016-12-08,M&M,EQ,1187.0,1214.2,1187.0,1209.2
2016-12-09,M&M,EQ,1219.0,1219.0,1183.0,1188.35
2016-12-12,M&M,EQ,1187.2,1195.4,1162.2,1165.6
2016-12-13,M&M,EQ,1164.0,1174.5,1153.1,1167.4
2016-12-14,M&M,EQ,1174.8,1184.0,1159.05,1173.95
2016-12-15,M&M,EQ,1170.0,1196.8,1166.1,1186.55
2016-12-16,M&M,EQ,1185.0,1188.95,1167.9,1181.0
2016-12-19,M&M,EQ,1183.3,1189.8,1172.0,1177.05
2016-12-20,M&M,EQ,1178.1,1186.05,1170.0,1178.6
2016-12-21,M&M,EQ,1186.0,1204.7,1175.0,1190.45
2016-12-22,M&M,EQ,1187.0,1192.9,1173.05,1183.6
2016-12-23,M&M,EQ,1171.0,1181.8,1155.0,1171.6
2016-12-26,M&M,EQ,1172.0,1173.0,1145.75,1148.7
2016-12-27,M&M,EQ,1149.0,1171.45,1141.4,1167.25
2016-12-28,M&M,EQ,1171.1,1184.9,1170.0,1174.1
2016-12-29,M&M,EQ,1177.8,1179.0,1168.35,1174.95
2016-12-30,M&M,EQ,1178.25,1188.8,1172.0,1184.7
2017-01-02,M&M,EQ,1184.5,1233.0,1170.25,1229.8
2017-01-03,M&M,EQ,1230.0,1232.25,1215.0,1222.55
2017-01-04,M&M,EQ,1222.65,1230.75,1213.0,1221.95
2017-01-05,M&M,EQ,1224.0,1235.0,1207.4,1227.35
2017-01-06,M&M,EQ,1239.0,1239.0,1217.2,1220.45
2017-01-09,M&M,EQ,1219.3,1223.95,1201.0,1204.0
2017-01-10,M&M,EQ,1201.0,1216.6,1201.0,1213.5
2017-01-11,M&M,EQ,1217.25,1237.75,1213.65,1232.0
2017-01-12,M&M,EQ,1235.0,1235.15,1210.2,1213.4
2017-01-13,M&M,EQ,1221.8,1227.0,1215.65,1217.85
2017-01-16,M&M,EQ,1215.0,1226.8,1207.4,1211.0
2017-01-17,M&M,EQ,1210.0,1214.5,1200.75,1204.45
2017-01-18,M&M,EQ,1205.1,1220.4,1202.3,1214.6
2017-01-19,M&M,EQ,1212.0,1213.65,1202.75,1210.8
2017-01-20,M&M,EQ,1210.0,1216.8,1187.1,1192.05
2017-01-23,M&M,EQ,1196.0,1204.5,1177.35,1188.9
2017-01-24,M&M,EQ,1194.9,1224.2,1187.0,1220.7
2017-01-25,M&M,EQ,1233.0,1248.4,1212.0,1243.8
2017-01-27,M&M,EQ,1243.8,1269.85,1243.5,1251.7
2017-01-30,M&M,EQ,1251.7,1253.25,1234.05,1245.6
2017-01-31,M&M,EQ,1241.2,1248.55,1230.25,1240.1
2017-02-01,M&M,EQ,1242.0,1307.6,1228.0,1302.4
2017-02-02,M&M,EQ,1297.0,1297.6,1258.65,1264.95
2017-02-03,M&M,EQ,1265.95,1273.75,1252.3,1260.7
2017-02-06,M&M,EQ,1262.0,1271.0,1258.0,1265.9
