Date,Symbol,Series,Open,High,Low,Close
2016-03-23,MARUTI,EQ,3711.85,3744.0,3666.45,3736.0
2016-03-28,MARUTI,EQ,3759.0,3777.8,3629.95,3638.95
2016-03-29,MARUTI,EQ,3649.0,3769.0,3645.0,3729.95
2016-03-30,MARUTI,EQ,3745.0,3749.9,3684.0,3727.45
2016-03-31,MARUTI,EQ,3739.5,3748.75,3664.0,3716.3
2016-04-01,MARUTI,EQ,3700.45,3764.95,3682.0,3723.2
2016-04-04,MARUTI,EQ,3735.0,3751.5,3676.0,3683.25
2016-04-05,MARUTI,EQ,3676.0,3696.9,3536.5,3554.85
2016-04-06,MARUTI,EQ,3568.0,3607.3,3546.0,3573.05
2016-04-07,MARUTI,EQ,3556.5,3556.5,3450.0,3471.0
2016-04-08,MARUTI,EQ,3460.0,3474.0,3418.5,3430.65
2016-04-11,MARUTI,EQ,3437.0,3488.0,3423.0,3478.65
2016-04-12,MARUTI,EQ,3470.2,3609.85,3465.05,3573.7
2016-04-13,MARUTI,EQ,3613.0,3745.35,3606.6,3731.6
2016-04-18,MARUTI,EQ,3720.8,3750.0,3680.0,3718.95
2016-04-20,MARUTI,EQ,3724.35,3724.35,3651.0,3670.05
2016-04-21,MARUTI,EQ,3695.0,3737.25,3674.0,3705.3
2016-04-22,MARUTI,EQ,3703.0,3833.0,3680.1,3816.05
2016-04-25,MARUTI,EQ,3806.1,3842.0,3715.15,3727.95
2016-04-26,MARUTI,EQ,3704.05,3894.0,3691.9,3871.55
2016-04-27,MARUTI,EQ,3841.1,3932.75,3830.25,3859.4
2016-04-28,MARUTI,EQ,3819.0,3854.0,3735.1,3747.95
2016-04-29,MARUTI,EQ,3742.0,3820.0,3725.0,3794.65
2016-05-02,MARUTI,EQ,3799.9,3840.0,3751.6,3830.85
2016-05-03,MARUTI,EQ,3840.8,3879.0,3795.7,3819.95
2016-05-04,MARUTI,EQ,3800.0,3844.0,3796.05,3811.55
2016-05-05,MARUTI,EQ,3825.0,3850.0,3802.0,3836.85
2016-05-06,MARUTI,EQ,3829.95,3835.0,3802.0,3818.95
2016-05-09,MARUTI,EQ,3830.0,3878.0,3825.0,3846.5
2016-05-10,MARUTI,EQ,3850.5,3897.05,3835.1,3844.8
2016-05-11,MARUTI,EQ,3800.0,3898.0,3790.0,3890.05
2016-05-12,MARUTI,EQ,3884.85,3909.8,3841.5,3854.2
2016-05-13,MARUTI,EQ,3856.0,3877.9,3828.0,3846.25
2016-05-16,MARUTI,EQ,3870.0,3895.0,3840.0,3881.6
2016-05-17,MARUTI,EQ,3891.05,3969.0,3886.25,3950.7
2016-05-18,MARUTI,EQ,3928.8,3939.0,3805.05,3914.9
2016-05-19,MARUTI,EQ,3900.0,3940.0,3881.0,3926.6
2016-05-20,MARUTI,EQ,3883.8,3959.0,3881.1,3944.95
2016-05-23,MARUTI,EQ,3964.0,3968.3,3900.0,3913.85
2016-05-24,MARUTI,EQ,3913.8,3937.95,3893.15,3924.2
2016-05-25,MARUTI,EQ,3948.0,4072.0,3940.0,4060.95
2016-05-26,MARUTI,EQ,4064.0,4125.0,4027.2,4118.0
2016-05-27,MARUTI,EQ,4114.7,4162.0,4091.05,4146.6
2016-05-30,MARUTI,EQ,4132.0,4155.2,4054.0,4071.75
2016-05-31,MARUTI,EQ,4060.0,4180.0,4055.05,4161.6
2016-06-01,MARUTI,EQ,4170.7,4199.95,4150.0,4165.35
2016-06-02,MARUTI,EQ,4150.0,4194.95,4124.0,4186.65
2016-06-03,MARUTI,EQ,4192.15,4235.0,4180.0,4217.95
2016-06-06,MARUTI,EQ,4216.0,4217.0,4118.0,4142.0
2016-06-07,MARUTI,EQ,4175.0,4188.95,4118.0,4135.65
2016-06-08,MARUTI,EQ,4131.0,4169.8,4124.7,4160.1
2016-06-09,MARUTI,EQ,4152.05,4189.75,4140.0,4169.15
2016-06-10,MARUTI,EQ,4165.1,4197.0,4100.0,4111.5
2016-06-13,MARUTI,EQ,4074.0,4150.0,4062.0,4134.75
2016-06-14,MARUTI,EQ,4145.0,4155.9,4096.0,4104.5
2016-06-15,MARUTI,EQ,4125.0,4215.0,4112.1,4209.6
2016-06-16,MARUTI,EQ,4160.0,4164.0,4062.0,4084.1
2016-06-17,MARUTI,EQ,4115.0,4158.0,4093.45,4114.5
2016-06-20,MARUTI,EQ,4076.55,4144.8,4065.7,4133.2
2016-06-21,MARUTI,EQ,4146.0,4168.1,4109.0,4157.4
2016-06-22,MARUTI,EQ,4145.0,4180.5,4125.05,4151.35
2016-06-23,MARUTI,EQ,4151.9,4175.0,4120.45,4168.6
2016-06-24,MARUTI,EQ,4053.0,4092.1,3866.6,4070.05
2016-06-27,MARUTI,EQ,4061.0,4061.0,4004.1,4025.1
2016-06-28,MARUTI,EQ,4041.1,4081.95,4040.0,4078.7
2016-06-29,MARUTI,EQ,4100.0,4141.0,4089.2,4131.25
2016-06-30,MARUTI,EQ,4179.9,4200.0,4145.55,4187.2
2016-07-01,MARUTI,EQ,4188.6,4214.2,4132.0,4165.4
2016-07-04,MARUTI,EQ,4171.0,4190.5,4155.75,4173.8
2016-07-05,MARUTI,EQ,4180.0,4202.0,4150.0,4173.35
2016-07-07,MARUTI,EQ,4181.1,4189.9,4125.0,4141.1
2016-07-08,MARUTI,EQ,4142.0,4175.65,4126.0,4161.8
2016-07-11,MARUTI,EQ,4190.0,4285.9,4189.95,4272.05
2016-07-12,MARUTI,EQ,4300.0,4382.0,4291.0,4370.4
2016-07-13,MARUTI,EQ,4350.0,4360.0,4301.0,4321.4
2016-07-14,MARUTI,EQ,4326.0,4439.0,4326.0,4428.3
2016-07-15,MARUTI,EQ,4450.0,4493.55,4404.5,4472.05
2016-07-18,MARUTI,EQ,4477.0,4564.4,4432.4,4454.75
2016-07-19,MARUTI,EQ,4455.2,4499.0,4440.0,4485.7
2016-07-20,MARUTI,EQ,4471.85,4510.0,4452.05,4469.15
2016-07-21,MARUTI,EQ,4489.0,4493.05,4405.25,4413.7
2016-07-22,MARUTI,EQ,4421.0,4449.0,4405.0,4414.7
2016-07-25,MARUTI,EQ,4427.0,4565.0,4421.0,4550.55
2016-07-26,MARUTI,EQ,4575.15,4584.0,4451.15,4471.3
2016-07-27,MARUTI,EQ,4510.3,4628.0,4510.0,4558.15
2016-07-28,MARUTI,EQ,4579.0,4784.0,4570.55,4763.5
2016-07-29,MARUTI,EQ,4751.0,4824.0,4720.55,4757.6
2016-08-01,MARUTI,EQ,4798.95,4885.0,4772.25,4866.25
2016-08-02,MARUTI,EQ,4900.0,5039.0,4880.0,4986.05
2016-08-03,MARUTI,EQ,5014.9,5020.0,4853.15,4873.85
2016-08-04,MARUTI,EQ,4945.0,4945.0,4869.35,4889.65
2016-08-05,MARUTI,EQ,4919.0,4965.0,4900.0,4941.65
2016-08-08,MARUTI,EQ,4980.0,5010.0,4960.05,4991.75
2016-08-09,MARUTI,EQ,5009.9,5021.75,4915.4,4960.85
2016-08-10,MARUTI,EQ,4975.0,4980.0,4850.0,4861.6
2016-08-11,MARUTI,EQ,4862.1,4923.5,4805.0,4878.65
2016-08-12,MARUTI,EQ,4882.0,4940.0,4847.1,4898.6
2016-08-16,MARUTI,EQ,4948.0,4948.0,4852.0,4864.2
2016-08-17,MARUTI,EQ,4860.0,4911.3,4849.1,4889.85
2016-08-18,MARUTI,EQ,4920.85,4950.0,4901.0,4915.85
2016-08-19,MARUTI,EQ,4916.0,4933.2,4889.05,4900.1
2016-08-22,MARUTI,EQ,4896.0,4897.0,4828.0,4837.75
2016-08-23,MARUTI,EQ,4835.05,4855.2,4800.0,4833.8
2016-08-24,MARUTI,EQ,4890.0,4983.8,4886.45,4948.55
2016-08-25,MARUTI,EQ,4973.8,4982.8,4906.25,4933.7
2016-08-26,MARUTI,EQ,4934.8,4964.9,4910.1,4920.9
2016-08-29,MARUTI,EQ,4925.0,4955.0,4920.9,4927.4
2016-08-30,MARUTI,EQ,4955.0,5103.9,4951.0,5067.65
2016-08-31,MARUTI,EQ,5063.9,5103.85,5036.3,5053.65
2016-09-01,MARUTI,EQ,5074.0,5100.0,5019.3,5060.75
2016-09-02,MARUTI,EQ,5078.0,5188.65,5075.0,5160.45
2016-09-06,MARUTI,EQ,5201.0,5335.0,5201.0,5319.7
2016-09-07,MARUTI,EQ,5319.0,5362.0,5290.1,5336.05
2016-09-08,MARUTI,EQ,5321.0,5499.0,5319.0,5489.4
2016-09-09,MARUTI,EQ,5489.7,5489.95,5377.05,5403.0
2016-09-12,MARUTI,EQ,5305.0,5350.0,5251.0,5329.0
2016-09-14,MARUTI,EQ,5330.05,5384.75,5330.05,5363.9
2016-09-15,MARUTI,EQ,5356.0,5461.0,5349.55,5452.4
2016-09-16,MARUTI,EQ,5473.0,5619.9,5473.0,5573.3
2016-09-19,MARUTI,EQ,5569.0,5569.0,5485.0,5491.9
2016-09-20,MARUTI,EQ,5525.0,5560.0,5498.35,5514.85
2016-09-21,MARUTI,EQ,5526.0,5542.5,5462.1,5501.25
2016-09-22,MARUTI,EQ,5565.35,5634.1,5564.95,5597.1
2016-09-23,MARUTI,EQ,5630.0,5630.0,5565.6,5601.8
2016-09-26,MARUTI,EQ,5586.0,5625.0,5555.55,5568.9
2016-09-27,MARUTI,EQ,5598.95,5599.95,5500.0,5511.4
2016-09-28,MARUTI,EQ,5510.6,5555.0,5506.0,5521.8
2016-09-29,MARUTI,EQ,5575.0,5577.0,5395.0,5438.6
2016-09-30,MARUTI,EQ,5420.0,5497.5,5382.6,5477.3
2016-10-03,MARUTI,EQ,5661.0,5720.0,5631.8,5681.0
2016-10-04,MARUTI,EQ,5715.15,5717.95,5650.0,5680.0
2016-10-05,MARUTI,EQ,5707.0,5767.0,5673.0,5689.2
2016-10-06,MARUTI,EQ,5700.0,5745.6,5700.0,5710.45
2016-10-07,MARUTI,EQ,5709.45,5717.25,5667.3,5683.8
2016-10-10,MARUTI,EQ,5724.9,5734.4,5695.95,5712.35
2016-10-13,MARUTI,EQ,5690.0,5752.8,5652.6,5718.55
2016-10-14,MARUTI,EQ,5760.2,5766.95,5669.1,5690.45
2016-10-17,MARUTI,EQ,5699.0,5699.0,5574.6,5599.1
2016-10-18,MARUTI,EQ,5621.0,5645.35,5580.1,5626.7
2016-10-19,MARUTI,EQ,5633.7,5647.9,5593.05,5604.6
2016-10-20,MARUTI,EQ,5615.0,5683.5,5615.0,5644.5
2016-10-21,MARUTI,EQ,5650.5,5670.0,5616.0,5650.2
2016-10-24,MARUTI,EQ,5666.0,5748.0,5666.0,5713.9
2016-10-25,MARUTI,EQ,5734.0,5799.0,5725.65,5781.45
2016-10-26,MARUTI,EQ,5796.6,5898.0,5785.0,5869.1
2016-10-27,MARUTI,EQ,5897.0,5948.0,5789.1,5860.15
2016-10-28,MARUTI,EQ,5922.0,5928.55,5865.75,5876.15
2016-10-30,MARUTI,EQ,5900.0,5903.75,5880.0,5896.15
2016-11-01,MARUTI,EQ,5919.0,5974.0,5855.2,5878.1
2016-11-02,MARUTI,EQ,5805.0,5864.9,5785.0,5794.6
2016-11-03,MARUTI,EQ,5799.9,5859.9,5780.0,5805.55
2016-11-04,MARUTI,EQ,5789.0,5789.0,5667.3,5704.85
2016-11-07,MARUTI,EQ,5763.0,5784.85,5708.0,5715.95
2016-11-08,MARUTI,EQ,5727.8,5731.0,5581.5,5669.0
2016-11-09,MARUTI,EQ,5305.0,5553.0,5305.0,5392.95
2016-11-10,MARUTI,EQ,5505.5,5517.25,5305.0,5328.5
2016-11-11,MARUTI,EQ,5290.0,5292.95,5103.0,5134.25
2016-11-15,MARUTI,EQ,5101.9,5119.05,4806.4,4846.6
2016-11-16,MARUTI,EQ,4924.0,5009.4,4901.55,4990.8
2016-11-17,MARUTI,EQ,5030.0,5048.0,4916.3,4925.55
2016-11-18,MARUTI,EQ,4935.0,4989.9,4887.9,4950.9
2016-11-21,MARUTI,EQ,4990.0,4990.0,4765.3,4787.45
2016-11-22,MARUTI,EQ,4830.0,4956.0,4825.55,4934.55
2016-11-23,MARUTI,EQ,4945.0,4945.0,4860.0,4880.85
2016-11-24,MARUTI,EQ,4862.0,4883.9,4804.0,4830.15
2016-11-25,MARUTI,EQ,4849.0,4905.0,4792.45,4873.6
2016-11-28,MARUTI,EQ,4866.0,4913.0,4833.0,4893.75
2016-11-29,MARUTI,EQ,4898.0,5119.0,4896.0,5088.15
2016-11-30,MARUTI,EQ,5110.55,5282.0,5100.1,5266.0
2016-12-01,MARUTI,EQ,5266.0,5307.5,5204.25,5252.1
2016-12-02,MARUTI,EQ,5220.0,5236.2,5046.0,5068.1
2016-12-05,MARUTI,EQ,5063.9,5219.9,5055.0,5202.95
2016-12-06,MARUTI,EQ,5220.0,5261.0,5118.05,5135.2
2016-12-07,MARUTI,EQ,5150.95,5209.75,5035.05,5116.65
2016-12-08,MARUTI,EQ,5172.0,5269.9,5170.0,5234.6
2016-12-09,MARUTI,EQ,5290.0,5312.5,5201.2,5235.0
2016-12-12,MARUTI,EQ,5228.0,5228.0,5120.05,5144.4
2016-12-13,MARUTI,EQ,5178.75,5207.0,5134.05,5163.15
2016-12-14,MARUTI,EQ,5179.95,5214.75,5130.2,5141.05
2016-12-15,MARUTI,EQ,5099.95,5197.0,5080.0,5152.05
2016-12-16,MARUTI,EQ,5174.5,5207.0,5151.2,5188.65
2016-12-19,MARUTI,EQ,5175.0,5195.45,5104.05,5115.05
2016-12-20,MARUTI,EQ,5135.9,5147.5,5072.0,5108.0
2016-12-21,MARUTI,EQ,5119.4,5160.0,5073.55,5137.85
2016-12-22,MARUTI,EQ,5144.0,5144.0,5053.0,5084.4
2016-12-23,MARUTI,EQ,5050.0,5214.0,5041.0,5197.15
2016-12-26,MARUTI,EQ,5179.0,5257.8,5151.1,5167.35
2016-12-27,MARUTI,EQ,5185.0,5237.4,5117.2,5224.0
2016-12-28,MARUTI,EQ,5250.0,5278.0,5219.45,5231.25
2016-12-29,MARUTI,EQ,5217.2,5349.0,5217.2,5314.8
2016-12-30,MARUTI,EQ,5347.0,5377.9,5303.0,5319.55
2017-01-02,MARUTI,EQ,5320.05,5474.2,5267.8,5466.0
2017-01-03,MARUTI,EQ,5466.0,5524.2,5432.6,5508.4
2017-01-04,MARUTI,EQ,5530.0,5554.7,5494.0,5502.15
2017-01-05,MARUTI,EQ,5525.1,5649.9,5525.1,5634.95
2017-01-06,MARUTI,EQ,5650.0,5657.3,5597.0,5615.55
2017-01-09,MARUTI,EQ,5644.8,5680.0,5610.6,5658.5
2017-01-10,MARUTI,EQ,5680.0,5693.7,5641.0,5674.85
2017-01-11,MARUTI,EQ,5691.0,5772.9,5691.0,5762.35
2017-01-12,MARUTI,EQ,5770.0,5795.0,5742.0,5777.35
2017-01-13,MARUTI,EQ,5792.0,5794.0,5683.65,5699.5
2017-01-16,MARUTI,EQ,5697.95,5725.2,5661.0,5676.9
2017-01-17,MARUTI,EQ,5690.0,5718.9,5657.05,5669.4
2017-01-18,MARUTI,EQ,5685.0,5719.0,5665.0,5684.45
2017-01-19,MARUTI,EQ,5675.0,5728.0,5675.0,5718.35
2017-01-20,MARUTI,EQ,5717.0,5749.0,5642.0,5668.95
2017-01-23,MARUTI,EQ,5668.95,5712.75,5643.8,5700.0
2017-01-24,MARUTI,EQ,5704.0,5745.75,5688.95,5737.2
2017-01-25,MARUTI,EQ,5763.9,5834.0,5708.05,5802.55
2017-01-27,MARUTI,EQ,5842.0,5927.7,5825.05,5915.9
2017-01-30,MARUTI,EQ,5916.0,5939.0,5885.0,5894.95
2017-01-31,MARUTI,EQ,5889.0,5934.9,5875.5,5894.25
2017-02-01,MARUTI,EQ,5900.0,6203.5,5886.0,6179.2
2017-02-02,MARUTI,EQ,6170.0,6218.35,6130.0,6144.35
2017-02-03,MARUTI,EQ,6147.9,6156.65,6096.55,6115.45
2017-02-06,MARUTI,EQ,6157.0,6187.0,6125.0,6149.7
2017-02-07,MARUTI,EQ,6166.0,6231.5,6144.0,6213.2
2017-02-08,MARUTI,EQ,6219.7,6233.9,6165.15,6194.65
2017-02-09,MARUTI,EQ,6195.5,6204.0,6111.6,6157.1
2017-02-10,MARUTI,EQ,6170.0,6173.75,6096.4,6112.25
2017-02-13,MARUTI,EQ,6092.0,6139.9,6002.0,6022.0
2017-02-14,MARUTI,EQ,6045.0,6045.0,5928.1,5939.85
2017-02-15,MARUTI,EQ,5950.0,5961.8,5842.2,5862.7
2017-02-16,MARUTI,EQ,5860.0,6037.95,5860.0,6024.55
2017-02-17,MARUTI,EQ,6038.0,6055.85,5955.05,5989.75
2017-02-20,MARUTI,EQ,5989.75,6120.75,5912.3,6093.15
2017-02-21,MARUTI,EQ,6071.1,6090.65,6043.0,6063.15
2017-02-22,MARUTI,EQ,6073.0,6116.15,6040.0,6079.65
2017-02-23,MARUTI,EQ,6090.0,6092.1,6015.05,6031.0
2017-02-27,MARUTI,EQ,6005.0,6050.95,5940.0,5951.5
2017-02-28,MARUTI,EQ,5946.3,6000.0,5914.8,5922.5
2017-03-01,MARUTI,EQ,5960.0,5998.8,5885.15,5919.6
2017-03-02,MARUTI,EQ,5951.0,5998.8,5900.25,5918.75
2017-03-03,MARUTI,EQ,5924.0,5928.95,5875.0,5887.75
2017-03-06,MARUTI,EQ,5925.5,5974.8,5912.0,5934.85
2017-03-07,MARUTI,EQ,5931.0,5954.0,5881.0,5888.5
2017-03-08,MARUTI,EQ,5895.0,5904.9,5800.0,5864.15
2017-03-09,MARUTI,EQ,5884.0,5975.0,5864.15,5964.4
2017-03-10,MARUTI,EQ,5997.0,6008.4,5936.05,5955.6
2017-03-14,MARUTI,EQ,6060.0,6144.4,6010.0,6132.4
2017-03-15,MARUTI,EQ,6115.0,6168.8,6092.5,6137.35
2017-03-16,MARUTI,EQ,6159.6,6186.3,6131.7,6155.45
2017-03-17,MARUTI,EQ,6165.0,6226.8,6150.0,6192.6
2017-03-20,MARUTI,EQ,6220.0,6220.0,6151.1,6158.9
2017-03-21,MARUTI,EQ,6164.75,6200.55,6051.85,6076.3
2017-03-22,MARUTI,EQ,6046.4,6053.4,5977.4,6005.8
2017-03-23,MARUTI,EQ,6015.9,6069.0,6015.9,6034.8
2017-03-24,MARUTI,EQ,6047.0,6047.0,5992.1,6004.65
2017-03-27,MARUTI,EQ,5977.0,6020.0,5965.65,5985.8
2017-03-28,MARUTI,EQ,5971.2,6049.0,5962.55,5974.25
2017-03-29,MARUTI,EQ,6008.9,6008.9,5929.35,5944.15
2017-03-30,MARUTI,EQ,5965.0,6000.9,5935.05,5956.6
2017-03-31,MARUTI,EQ,5952.0,6041.0,5940.1,6015.7
2017-04-03,MARUTI,EQ,6095.0,6095.0,6030.0,6072.0
2017-04-05,MARUTI,EQ,6110.0,6359.0,6071.05,6342.4
2017-04-06,MARUTI,EQ,6335.0,6336.0,6260.0,6291.65
2017-04-07,MARUTI,EQ,6250.0,6336.0,6236.05,6259.35
2017-04-10,MARUTI,EQ,6282.0,6307.8,6245.05,6268.85
2017-04-11,MARUTI,EQ,6274.8,6305.0,6230.0,6247.8
2017-04-12,MARUTI,EQ,6263.9,6263.9,6126.7,6154.5
2017-04-13,MARUTI,EQ,6155.0,6175.0,6066.9,6077.95
2017-04-17,MARUTI,EQ,6070.6,6137.5,6021.0,6115.55
2017-04-18,MARUTI,EQ,6120.0,6234.35,6120.0,6137.15
2017-04-19,MARUTI,EQ,6131.9,6222.35,6113.8,6196.95
