Date,Symbol,Series,Open,High,Low,Close
2016-03-23,NESTLEIND,EQ,5311.1,5340.0,5210.0,5253.15
2016-03-28,NESTLEIND,EQ,5299.0,5375.0,5282.55,5353.5
2016-03-29,NESTLEIND,EQ,5340.0,5390.0,5310.0,5335.9
2016-03-30,NESTLEIND,EQ,5354.8,5501.65,5354.8,5479.8
2016-03-31,NESTLEIND,EQ,5445.05,5849.0,5400.0,5757.35
2016-04-01,NESTLEIND,EQ,5690.0,5749.0,5558.05,5638.2
2016-04-04,NESTLEIND,EQ,5630.0,5724.95,5607.0,5683.55
2016-04-05,NESTLEIND,EQ,5632.0,5777.0,5632.0,5738.95
2016-04-06,NESTLEIND,EQ,5738.0,5749.05,5704.0,5724.15
2016-04-07,NESTLEIND,EQ,5799.45,5950.05,5748.0,5888.55
2016-04-08,NESTLEIND,EQ,5924.95,6006.0,5851.0,5975.65
2016-04-11,NESTLEIND,EQ,5980.0,6008.95,5855.4,5870.75
2016-04-12,NESTLEIND,EQ,6099.0,6185.05,6050.55,6147.8
2016-04-13,NESTLEIND,EQ,6157.0,6175.0,6021.1,6116.5
2016-04-18,NESTLEIND,EQ,6120.0,6246.75,6057.0,6134.6
2016-04-20,NESTLEIND,EQ,6180.0,6196.0,6002.0,6036.0
2016-04-21,NESTLEIND,EQ,6036.0,6050.0,5947.0,5966.85
2016-04-22,NESTLEIND,EQ,5960.0,6039.6,5960.0,5969.75
2016-04-25,NESTLEIND,EQ,5970.0,6025.15,5850.0,5881.65
2016-04-26,NESTLEIND,EQ,5894.6,5899.9,5805.0,5830.65
2016-04-27,NESTLEIND,EQ,5830.65,5965.05,5802.6,5885.85
2016-04-28,NESTLEIND,EQ,5878.0,5954.9,5755.0,5908.05
2016-04-29,NESTLEIND,EQ,5930.0,5930.0,5703.05,5725.45
2016-05-02,NESTLEIND,EQ,5739.95,5800.0,5712.35,5754.25
2016-05-03,NESTLEIND,EQ,5769.95,5794.0,5575.0,5591.6
2016-05-04,NESTLEIND,EQ,5592.1,5649.4,5512.3,5542.25
2016-05-05,NESTLEIND,EQ,5551.0,5569.95,5500.1,5540.85
2016-05-06,NESTLEIND,EQ,5545.0,5640.0,5531.2,5610.9
2016-05-09,NESTLEIND,EQ,5610.9,5684.0,5482.05,5509.55
2016-05-10,NESTLEIND,EQ,5521.35,5560.6,5505.85,5520.4
2016-05-11,NESTLEIND,EQ,5520.0,5616.05,5496.2,5601.65
2016-05-12,NESTLEIND,EQ,5624.0,5731.0,5613.05,5710.3
2016-05-13,NESTLEIND,EQ,5695.05,6160.0,5691.0,6121.65
2016-05-16,NESTLEIND,EQ,6100.0,6348.0,6004.0,6284.45
2016-05-17,NESTLEIND,EQ,6280.0,6285.0,6152.0,6219.6
2016-05-18,NESTLEIND,EQ,6160.4,6234.9,6122.65,6200.15
2016-05-19,NESTLEIND,EQ,6190.1,6200.0,6060.0,6092.0
2016-05-20,NESTLEIND,EQ,6099.0,6170.05,5885.95,6005.7
2016-05-23,NESTLEIND,EQ,6003.0,6048.8,5933.0,5966.55
2016-05-24,NESTLEIND,EQ,5997.85,6084.85,5954.1,6003.9
2016-05-25,NESTLEIND,EQ,6009.95,6169.1,6006.05,6145.85
2016-05-26,NESTLEIND,EQ,5800.0,6197.0,5800.0,6142.0
2016-05-27,NESTLEIND,EQ,6135.0,6240.0,6120.05,6173.95
2016-05-30,NESTLEIND,EQ,6180.0,6359.0,6174.0,6307.95
2016-05-31,NESTLEIND,EQ,6280.0,6354.85,6002.0,6097.35
2016-06-01,NESTLEIND,EQ,6116.0,6449.0,6109.05,6390.8
2016-06-02,NESTLEIND,EQ,6348.9,6390.1,6256.0,6302.05
2016-06-03,NESTLEIND,EQ,6375.0,6375.0,6265.0,6305.2
2016-06-06,NESTLEIND,EQ,6275.3,6705.0,6156.15,6479.4
2016-06-07,NESTLEIND,EQ,6520.0,6699.0,6374.1,6450.25
2016-06-08,NESTLEIND,EQ,6473.9,6541.65,6381.1,6480.9
2016-06-09,NESTLEIND,EQ,6476.0,6545.0,6400.0,6431.05
2016-06-10,NESTLEIND,EQ,6453.3,6600.0,6433.0,6544.15
2016-06-13,NESTLEIND,EQ,6475.0,6589.0,6454.35,6538.0
