Date,Symbol,Series,Open,High,Low,Close
2016-03-23,NTPC,EQ,128.25,128.3,126.85,127.35
2016-03-28,NTPC,EQ,128.0,130.25,127.25,129.15
2016-03-29,NTPC,EQ,129.65,130.05,126.85,127.3
2016-03-30,NTPC,EQ,128.0,130.35,127.1,129.9
2016-03-31,NTPC,EQ,129.8,131.85,128.35,128.85
2016-04-01,NTPC,EQ,128.7,131.0,128.3,129.95
2016-04-04,NTPC,EQ,130.1,131.7,129.9,131.1
2016-04-05,NTPC,EQ,131.1,131.85,126.55,126.85
2016-04-06,NTPC,EQ,127.8,127.8,125.85,126.2
2016-04-07,NTPC,EQ,126.3,126.85,125.05,126.55
2016-04-08,NTPC,EQ,127.7,132.5,126.7,131.55
2016-04-11,NTPC,EQ,131.55,135.0,131.25,134.6
2016-04-12,NTPC,EQ,134.7,136.3,132.95,135.5
2016-04-13,NTPC,EQ,136.5,137.85,136.25,137.15
2016-04-18,NTPC,EQ,139.4,139.9,136.0,139.5
2016-04-20,NTPC,EQ,139.5,141.75,139.1,141.3
2016-04-21,NTPC,EQ,141.75,142.6,140.65,141.15
2016-04-22,NTPC,EQ,140.4,144.0,140.05,143.65
2016-04-25,NTPC,EQ,143.8,143.85,138.05,140.35
2016-04-26,NTPC,EQ,139.4,141.6,139.0,140.2
2016-04-27,NTPC,EQ,140.5,141.25,139.8,140.7
2016-04-28,NTPC,EQ,140.85,141.45,136.8,137.15
2016-04-29,NTPC,EQ,137.9,140.55,136.1,139.3
2016-05-02,NTPC,EQ,139.3,140.3,134.8,138.55
2016-05-03,NTPC,EQ,138.2,141.5,135.45,136.55
2016-05-04,NTPC,EQ,136.3,139.35,136.3,138.8
2016-05-05,NTPC,EQ,139.4,140.75,138.85,139.7
2016-05-06,NTPC,EQ,139.75,140.45,137.85,140.0
2016-05-09,NTPC,EQ,140.0,144.8,140.0,143.2
2016-05-10,NTPC,EQ,143.4,143.4,140.1,140.65
2016-05-11,NTPC,EQ,140.65,143.6,139.4,141.5
2016-05-12,NTPC,EQ,141.05,142.8,140.0,141.45
2016-05-13,NTPC,EQ,140.5,141.7,140.1,141.0
2016-05-16,NTPC,EQ,141.0,141.4,139.1,140.1
2016-05-17,NTPC,EQ,140.5,141.6,136.15,137.0
2016-05-18,NTPC,EQ,136.9,138.05,135.55,136.1
2016-05-19,NTPC,EQ,135.8,136.0,133.4,135.35
2016-05-20,NTPC,EQ,135.35,137.4,135.3,136.9
2016-05-23,NTPC,EQ,137.25,138.0,135.3,135.7
2016-05-24,NTPC,EQ,136.1,140.3,136.0,138.5
2016-05-25,NTPC,EQ,139.1,142.0,139.05,141.85
2016-05-26,NTPC,EQ,141.1,142.5,139.35,141.2
2016-05-27,NTPC,EQ,141.5,141.7,139.4,140.1
2016-05-30,NTPC,EQ,140.35,145.8,137.65,143.6
2016-05-31,NTPC,EQ,144.1,147.95,139.9,143.15
2016-06-01,NTPC,EQ,142.9,145.2,141.55,144.6
2016-06-02,NTPC,EQ,144.3,145.95,144.0,144.95
2016-06-03,NTPC,EQ,145.0,149.3,144.95,147.6
2016-06-06,NTPC,EQ,148.0,148.35,146.4,147.1
2016-06-07,NTPC,EQ,147.5,149.2,147.05,148.45
2016-06-08,NTPC,EQ,148.8,149.65,147.2,148.15
2016-06-09,NTPC,EQ,148.3,152.3,148.25,151.05
2016-06-10,NTPC,EQ,151.0,152.75,150.05,151.5
2016-06-13,NTPC,EQ,150.0,150.65,148.15,148.75
2016-06-14,NTPC,EQ,148.35,149.15,147.1,148.25
