Date,Symbol,Series,Open,High,Low,Close
2016-03-23,ONGC,EQ,216.4,217.75,211.9,214.6
2016-03-28,ONGC,EQ,216.5,218.7,212.4,213.95
2016-03-29,ONGC,EQ,215.95,216.0,210.7,212.25
2016-03-30,ONGC,EQ,213.0,219.0,212.3,217.9
2016-03-31,ONGC,EQ,214.7,217.55,212.15,214.1
2016-04-01,ONGC,EQ,214.5,214.95,208.1,208.8
2016-04-04,ONGC,EQ,208.45,208.65,204.55,207.3
2016-04-05,ONGC,EQ,206.0,208.5,204.05,205.5
2016-04-06,ONGC,EQ,206.7,208.0,204.0,206.1
2016-04-07,ONGC,EQ,209.05,209.5,206.7,207.75
2016-04-08,ONGC,EQ,207.8,209.45,205.65,206.15
2016-04-11,ONGC,EQ,208.6,209.25,205.2,207.6
2016-04-12,ONGC,EQ,207.85,212.65,207.15,211.35
2016-04-13,ONGC,EQ,215.0,215.4,212.8,213.35
2016-04-18,ONGC,EQ,211.75,211.75,206.1,207.55
2016-04-20,ONGC,EQ,208.9,210.7,208.05,209.85
2016-04-21,ONGC,EQ,212.15,214.45,211.75,212.95
2016-04-22,ONGC,EQ,215.9,217.35,212.65,216.1
2016-04-25,ONGC,EQ,216.45,216.45,211.7,212.3
2016-04-26,ONGC,EQ,212.2,215.6,210.95,214.3
2016-04-27,ONGC,EQ,216.0,223.75,215.9,221.8
2016-04-28,ONGC,EQ,222.3,225.4,215.25,216.85
2016-04-29,ONGC,EQ,218.05,220.75,215.6,217.25
2016-05-02,ONGC,EQ,218.0,220.9,216.0,217.75
2016-05-03,ONGC,EQ,219.05,219.7,213.0,215.3
2016-05-04,ONGC,EQ,214.8,215.3,210.0,210.65
2016-05-05,ONGC,EQ,211.95,213.25,210.0,210.5
2016-05-06,ONGC,EQ,210.55,210.65,207.1,208.45
2016-05-09,ONGC,EQ,209.9,212.5,209.1,211.6
2016-05-10,ONGC,EQ,211.95,211.95,206.3,207.9
2016-05-11,ONGC,EQ,206.95,206.95,203.1,205.25
2016-05-12,ONGC,EQ,208.1,208.45,204.75,206.3
2016-05-13,ONGC,EQ,205.95,205.95,202.0,203.75
2016-05-16,ONGC,EQ,204.4,204.9,200.0,202.6
2016-05-17,ONGC,EQ,205.6,212.0,205.1,210.25
2016-05-18,ONGC,EQ,210.3,215.3,209.6,214.25
2016-05-19,ONGC,EQ,213.0,213.25,209.2,210.05
2016-05-20,ONGC,EQ,211.8,214.65,210.45,213.1
2016-05-23,ONGC,EQ,214.2,214.5,207.5,208.15
2016-05-24,ONGC,EQ,208.5,208.7,204.55,206.65
2016-05-25,ONGC,EQ,208.7,210.75,208.15,210.15
2016-05-26,ONGC,EQ,211.0,221.15,210.7,216.05
2016-05-27,ONGC,EQ,218.0,218.9,211.8,213.0
2016-05-30,ONGC,EQ,214.0,215.7,213.0,213.45
2016-05-31,ONGC,EQ,215.0,215.5,209.8,210.75
2016-06-01,ONGC,EQ,211.4,213.3,210.1,210.65
2016-06-02,ONGC,EQ,210.5,213.85,209.15,212.8
2016-06-03,ONGC,EQ,213.8,214.5,211.1,211.85
2016-06-06,ONGC,EQ,212.7,213.35,210.3,210.8
2016-06-07,ONGC,EQ,212.0,213.95,211.75,212.95
2016-06-08,ONGC,EQ,214.5,217.25,214.0,215.75
2016-06-09,ONGC,EQ,217.05,222.3,217.0,220.65
2016-06-10,ONGC,EQ,220.0,222.7,217.0,218.2
2016-06-13,ONGC,EQ,216.0,216.4,212.5,213.25
2016-06-14,ONGC,EQ,213.95,214.8,211.2,212.8
2016-06-15,ONGC,EQ,213.3,214.5,212.55,213.7
2016-06-16,ONGC,EQ,213.0,213.05,210.55,211.7
2016-06-17,ONGC,EQ,212.65,212.75,210.2,210.75
2016-06-20,ONGC,EQ,210.65,215.25,210.35,213.85
2016-06-21,ONGC,EQ,215.8,218.2,215.0,217.55
2016-06-22,ONGC,EQ,217.45,219.4,216.0,218.35
2016-06-23,ONGC,EQ,218.0,219.55,214.2,218.5
2016-06-24,ONGC,EQ,213.6,213.9,207.0,209.4
2016-06-27,ONGC,EQ,208.0,212.35,207.7,210.15
2016-06-28,ONGC,EQ,210.0,211.85,209.5,211.35
2016-06-29,ONGC,EQ,212.75,215.15,212.1,214.75
2016-06-30,ONGC,EQ,215.8,219.5,215.0,216.3
2016-07-01,ONGC,EQ,216.9,229.8,216.45,225.0
2016-07-04,ONGC,EQ,229.5,235.3,229.5,232.05
2016-07-05,ONGC,EQ,230.6,236.4,228.55,230.75
2016-07-07,ONGC,EQ,230.75,231.85,226.15,226.6
2016-07-08,ONGC,EQ,225.0,225.3,222.25,223.3
2016-07-11,ONGC,EQ,225.0,227.6,223.55,225.0
2016-07-12,ONGC,EQ,225.1,229.45,225.1,227.9
2016-07-13,ONGC,EQ,233.65,241.55,232.15,234.15
2016-07-14,ONGC,EQ,234.4,234.75,229.1,230.55
2016-07-15,ONGC,EQ,231.1,232.3,228.55,230.25
2016-07-18,ONGC,EQ,229.0,229.0,217.1,218.6
2016-07-19,ONGC,EQ,217.5,222.5,217.0,221.0
2016-07-20,ONGC,EQ,221.0,224.4,219.75,223.9
2016-07-21,ONGC,EQ,224.8,226.75,222.0,222.6
2016-07-22,ONGC,EQ,222.9,223.65,220.8,222.45
2016-07-25,ONGC,EQ,221.8,227.2,221.7,226.8
2016-07-26,ONGC,EQ,226.9,229.6,223.1,224.35
2016-07-27,ONGC,EQ,224.2,227.5,220.05,223.25
2016-07-28,ONGC,EQ,223.25,225.3,220.6,221.35
2016-07-29,ONGC,EQ,222.0,223.85,219.65,220.1
2016-08-01,ONGC,EQ,222.3,223.45,218.0,218.8
2016-08-02,ONGC,EQ,218.75,221.9,217.6,221.1
2016-08-03,ONGC,EQ,222.0,222.9,218.0,218.75
2016-08-04,ONGC,EQ,223.9,223.9,218.65,219.85
2016-08-05,ONGC,EQ,221.0,226.7,220.3,225.95
2016-08-08,ONGC,EQ,226.4,227.0,224.15,226.1
2016-08-09,ONGC,EQ,228.8,229.85,227.1,229.0
2016-08-10,ONGC,EQ,229.0,231.0,226.5,229.05
2016-08-11,ONGC,EQ,228.75,231.9,227.25,231.4
2016-08-12,ONGC,EQ,232.3,234.4,229.8,233.6
2016-08-16,ONGC,EQ,235.0,236.35,232.3,235.2
2016-08-17,ONGC,EQ,235.4,238.4,234.25,237.8
2016-08-18,ONGC,EQ,238.3,242.15,237.5,241.35
2016-08-19,ONGC,EQ,242.3,243.5,240.55,241.6
2016-08-22,ONGC,EQ,241.6,243.9,238.3,239.35
2016-08-23,ONGC,EQ,237.5,239.7,236.6,238.4
2016-08-24,ONGC,EQ,239.8,243.0,239.25,241.0
2016-08-25,ONGC,EQ,241.5,242.75,237.0,237.8
2016-08-26,ONGC,EQ,238.1,238.85,236.0,238.4
2016-08-29,ONGC,EQ,238.4,239.5,236.75,237.3
2016-08-30,ONGC,EQ,238.55,242.5,237.2,241.7
2016-08-31,ONGC,EQ,239.0,241.2,235.15,236.3
2016-09-01,ONGC,EQ,237.0,239.15,235.1,236.6
2016-09-02,ONGC,EQ,237.0,240.15,235.15,238.75
2016-09-06,ONGC,EQ,239.75,241.7,238.0,238.55
2016-09-07,ONGC,EQ,239.2,246.3,238.3,244.95
2016-09-08,ONGC,EQ,250.0,254.9,244.1,246.3
2016-09-09,ONGC,EQ,247.0,257.5,247.0,254.95
2016-09-12,ONGC,EQ,250.0,252.85,248.2,251.0
2016-09-14,ONGC,EQ,250.05,252.6,245.2,248.2
