Date,Symbol,Series,Open,High,Low,Close
2016-03-23,POWERGRID,EQ,137.3,139.15,136.95,137.45
2016-03-28,POWERGRID,EQ,137.9,140.0,136.5,139.1
2016-03-29,POWERGRID,EQ,140.0,141.0,137.55,138.15
2016-03-30,POWERGRID,EQ,138.9,140.35,138.35,139.75
2016-03-31,POWERGRID,EQ,138.5,140.45,138.5,139.1
2016-04-01,POWERGRID,EQ,139.8,140.0,138.1,138.3
2016-04-04,POWERGRID,EQ,138.75,140.1,138.3,138.6
2016-04-05,POWERGRID,EQ,139.8,140.8,138.7,139.05
2016-04-06,POWERGRID,EQ,139.85,141.3,139.35,139.7
2016-04-07,POWERGRID,EQ,140.65,140.9,139.6,140.2
2016-04-08,POWERGRID,EQ,140.25,141.15,140.25,140.9
2016-04-11,POWERGRID,EQ,140.65,142.95,140.55,142.25
2016-04-12,POWERGRID,EQ,142.0,145.25,142.0,143.15
2016-04-13,POWERGRID,EQ,144.35,145.35,143.9,145.0
2016-04-18,POWERGRID,EQ,145.0,146.75,142.75,145.95
2016-04-20,POWERGRID,EQ,145.7,149.9,145.15,148.0
2016-04-21,POWERGRID,EQ,148.35,149.55,145.1,146.15
2016-04-22,POWERGRID,EQ,146.3,147.3,144.3,146.05
2016-04-25,POWERGRID,EQ,146.1,146.1,142.55,143.8
2016-04-26,POWERGRID,EQ,144.45,146.25,143.05,145.15
2016-04-27,POWERGRID,EQ,145.3,146.0,143.65,144.35
2016-04-28,POWERGRID,EQ,144.2,145.45,141.35,141.85
2016-04-29,POWERGRID,EQ,142.25,143.85,140.5,143.4
2016-05-02,POWERGRID,EQ,143.0,144.0,141.6,142.85
2016-05-03,POWERGRID,EQ,143.0,146.8,143.0,145.2
2016-05-04,POWERGRID,EQ,144.8,145.1,142.0,142.75
2016-05-05,POWERGRID,EQ,143.0,144.3,142.1,143.25
2016-05-06,POWERGRID,EQ,143.15,143.35,140.5,142.45
2016-05-09,POWERGRID,EQ,142.5,144.15,141.65,143.5
2016-05-10,POWERGRID,EQ,143.15,143.75,141.0,141.85
2016-05-11,POWERGRID,EQ,140.8,142.2,139.5,141.45
2016-05-12,POWERGRID,EQ,141.9,144.35,141.2,143.9
2016-05-13,POWERGRID,EQ,143.3,145.2,142.4,144.75
2016-05-16,POWERGRID,EQ,144.95,145.9,143.0,144.45
2016-05-17,POWERGRID,EQ,146.0,146.0,142.6,144.9
2016-05-18,POWERGRID,EQ,144.0,144.9,142.7,143.05
2016-05-19,POWERGRID,EQ,143.3,145.6,143.3,144.4
2016-05-20,POWERGRID,EQ,144.6,145.15,143.7,144.8
2016-05-23,POWERGRID,EQ,145.6,148.9,145.0,148.15
2016-05-24,POWERGRID,EQ,149.0,149.25,146.2,146.7
2016-05-25,POWERGRID,EQ,148.0,150.0,147.05,149.7
2016-05-26,POWERGRID,EQ,150.0,151.4,148.6,150.6
2016-05-27,POWERGRID,EQ,151.4,152.4,148.8,150.85
2016-05-30,POWERGRID,EQ,151.1,152.95,149.35,151.75
2016-05-31,POWERGRID,EQ,152.0,152.35,149.55,150.0
2016-06-01,POWERGRID,EQ,150.6,150.6,148.4,148.9
2016-06-02,POWERGRID,EQ,148.9,150.6,148.1,150.2
2016-06-03,POWERGRID,EQ,150.6,150.85,149.25,150.4
2016-06-06,POWERGRID,EQ,150.2,150.7,148.55,149.25
2016-06-07,POWERGRID,EQ,149.4,150.95,149.25,149.9
2016-06-08,POWERGRID,EQ,150.0,152.9,149.3,152.55
2016-06-09,POWERGRID,EQ,152.7,154.45,152.35,152.8
2016-06-10,POWERGRID,EQ,152.9,155.15,152.85,154.4
2016-06-13,POWERGRID,EQ,153.75,153.75,151.35,151.8
2016-06-14,POWERGRID,EQ,151.75,152.4,150.3,150.55
2016-06-15,POWERGRID,EQ,151.15,154.75,151.15,154.4
2016-06-16,POWERGRID,EQ,154.4,156.3,151.85,154.6
2016-06-17,POWERGRID,EQ,155.0,157.95,152.9,157.05
2016-06-20,POWERGRID,EQ,157.0,157.5,155.25,156.65
2016-06-21,POWERGRID,EQ,156.55,157.3,155.05,156.0
2016-06-22,POWERGRID,EQ,156.05,156.7,154.6,155.6
2016-06-23,POWERGRID,EQ,155.5,157.85,152.85,156.65
2016-06-24,POWERGRID,EQ,153.45,156.15,150.6,155.8
2016-06-27,POWERGRID,EQ,153.05,157.0,153.0,154.0
2016-06-28,POWERGRID,EQ,154.55,156.0,153.65,155.45
2016-06-29,POWERGRID,EQ,155.8,160.35,155.55,159.25
2016-06-30,POWERGRID,EQ,160.0,163.85,159.3,163.1
2016-07-01,POWERGRID,EQ,164.0,166.4,163.0,165.15
2016-07-04,POWERGRID,EQ,166.7,167.3,164.65,165.4
2016-07-05,POWERGRID,EQ,165.3,165.8,160.8,161.25
2016-07-07,POWERGRID,EQ,161.0,164.15,160.2,163.35
2016-07-08,POWERGRID,EQ,163.5,165.4,161.6,164.45
2016-07-11,POWERGRID,EQ,166.1,171.15,165.95,166.6
2016-07-12,POWERGRID,EQ,167.0,169.0,166.05,166.6
2016-07-13,POWERGRID,EQ,166.85,168.45,160.7,161.85
2016-07-14,POWERGRID,EQ,162.55,165.6,161.9,165.05
2016-07-15,POWERGRID,EQ,166.05,166.4,163.1,164.25
2016-07-18,POWERGRID,EQ,164.6,165.8,162.6,163.2
2016-07-19,POWERGRID,EQ,163.3,167.0,163.0,166.4
2016-07-20,POWERGRID,EQ,167.0,170.0,166.9,168.35
2016-07-21,POWERGRID,EQ,168.3,168.35,161.8,162.5
2016-07-22,POWERGRID,EQ,163.5,168.05,162.85,166.35
2016-07-25,POWERGRID,EQ,166.55,169.6,166.15,168.95
2016-07-26,POWERGRID,EQ,169.25,173.0,167.2,171.4
2016-07-27,POWERGRID,EQ,173.0,173.7,171.55,172.45
2016-07-28,POWERGRID,EQ,172.9,178.85,172.15,176.2
2016-07-29,POWERGRID,EQ,177.1,177.5,174.7,176.0
2016-08-01,POWERGRID,EQ,176.0,179.9,175.65,177.2
2016-08-02,POWERGRID,EQ,177.5,180.2,176.05,178.9
2016-08-03,POWERGRID,EQ,179.0,179.1,173.7,175.9
