Date,Symbol,Series,Open,High,Low,Close
2016-03-23,RELIANCE,EQ,1046.9,1046.9,1022.4,1029.2
2016-03-28,RELIANCE,EQ,1030.0,1031.7,1015.65,1020.4
2016-03-29,RELIANCE,EQ,1023.8,1042.0,1020.2,1036.25
2016-03-30,RELIANCE,EQ,1042.7,1051.75,1042.7,1047.05
2016-03-31,RELIANCE,EQ,1041.0,1056.0,1032.7,1045.2
2016-04-01,RELIANCE,EQ,1039.1,1046.3,1025.0,1034.45
2016-04-04,RELIANCE,EQ,1040.0,1042.2,1025.3,1035.05
2016-04-05,RELIANCE,EQ,1031.35,1042.4,1022.2,1026.95
2016-04-06,RELIANCE,EQ,1032.1,1036.7,1022.6,1033.75
2016-04-07,RELIANCE,EQ,1034.9,1048.0,1022.1,1037.25
2016-04-08,RELIANCE,EQ,1035.9,1054.45,1031.2,1036.35
2016-04-11,RELIANCE,EQ,1037.0,1045.5,1033.0,1040.3
2016-04-12,RELIANCE,EQ,1040.3,1057.45,1038.05,1047.4
2016-04-13,RELIANCE,EQ,1052.55,1069.9,1052.55,1066.05
2016-04-18,RELIANCE,EQ,1065.8,1066.8,1055.4,1064.75
2016-04-20,RELIANCE,EQ,1069.2,1069.2,1035.8,1037.3
2016-04-21,RELIANCE,EQ,1041.4,1052.0,1035.0,1041.15
2016-04-22,RELIANCE,EQ,1039.0,1047.5,1029.3,1038.95
2016-04-25,RELIANCE,EQ,1044.45,1044.45,1012.3,1016.9
2016-04-26,RELIANCE,EQ,1015.4,1023.9,1007.5,1016.95
2016-04-27,RELIANCE,EQ,1017.9,1025.95,1016.0,1019.4
2016-04-28,RELIANCE,EQ,1014.0,1019.2,990.95,996.7
2016-04-29,RELIANCE,EQ,993.45,998.55,978.85,982.7
2016-05-02,RELIANCE,EQ,979.0,992.4,978.0,986.95
2016-05-03,RELIANCE,EQ,988.0,994.95,972.75,975.8
2016-05-04,RELIANCE,EQ,974.05,983.7,973.0,978.1
2016-05-05,RELIANCE,EQ,980.0,983.45,970.9,975.25
2016-05-06,RELIANCE,EQ,973.0,976.8,967.0,968.95
2016-05-09,RELIANCE,EQ,975.0,986.0,972.8,983.1
2016-05-10,RELIANCE,EQ,983.1,984.7,978.0,982.55
2016-05-11,RELIANCE,EQ,971.8,980.75,970.0,975.4
2016-05-12,RELIANCE,EQ,976.0,994.2,975.05,992.8
2016-05-13,RELIANCE,EQ,988.95,990.55,975.0,978.15
2016-05-16,RELIANCE,EQ,977.0,982.5,971.1,975.95
2016-05-17,RELIANCE,EQ,980.25,983.1,966.35,969.15
2016-05-18,RELIANCE,EQ,965.9,972.5,964.1,970.55
2016-05-19,RELIANCE,EQ,971.7,971.9,945.6,951.2
2016-05-20,RELIANCE,EQ,952.0,954.5,931.35,934.2
2016-05-23,RELIANCE,EQ,937.35,940.7,925.65,930.0
2016-05-24,RELIANCE,EQ,928.05,944.0,928.05,940.45
2016-05-25,RELIANCE,EQ,949.85,952.8,941.15,951.2
2016-05-26,RELIANCE,EQ,950.0,952.4,944.1,946.85
2016-05-27,RELIANCE,EQ,949.05,976.9,948.75,974.7
2016-05-30,RELIANCE,EQ,976.4,981.5,965.0,968.7
2016-05-31,RELIANCE,EQ,969.0,973.0,956.5,957.85
2016-06-01,RELIANCE,EQ,957.95,966.1,951.8,953.6
2016-06-02,RELIANCE,EQ,954.5,957.15,945.1,956.25
2016-06-03,RELIANCE,EQ,960.0,962.9,955.85,959.65
2016-06-06,RELIANCE,EQ,961.0,963.0,952.55,954.8
2016-06-07,RELIANCE,EQ,957.25,960.95,951.6,955.05
2016-06-08,RELIANCE,EQ,958.0,958.0,949.15,954.1
2016-06-09,RELIANCE,EQ,960.0,976.45,956.2,971.15
2016-06-10,RELIANCE,EQ,974.0,984.4,968.3,976.7
2016-06-13,RELIANCE,EQ,969.9,983.45,963.05,981.1
2016-06-14,RELIANCE,EQ,980.95,985.4,969.3,976.25
2016-06-15,RELIANCE,EQ,980.0,986.5,973.75,984.6
2016-06-16,RELIANCE,EQ,981.0,983.65,967.05,976.3
2016-06-17,RELIANCE,EQ,977.0,978.65,970.1,974.9
2016-06-20,RELIANCE,EQ,972.15,992.6,968.0,990.2
2016-06-21,RELIANCE,EQ,994.1,994.15,979.7,987.1
2016-06-22,RELIANCE,EQ,985.0,985.9,977.1,980.5
