Date,Symbol,Series,Open,High,Low,Close
2017-10-03,SBILIFE,EQ,735.0,740.0,701.7,707.55
2017-10-04,SBILIFE,EQ,710.15,710.75,699.0,703.65
2017-10-05,SBILIFE,EQ,704.55,704.55,686.1,694.55
2017-10-06,SBILIFE,EQ,693.9,702.0,689.0,696.75
2017-10-09,SBILIFE,EQ,694.1,702.5,694.1,698.65
2017-10-10,SBILIFE,EQ,698.35,701.2,695.55,700.0
2017-10-11,SBILIFE,EQ,700.0,703.0,686.0,689.9
2017-10-12,SBILIFE,EQ,691.1,694.0,685.0,687.7
2017-10-13,SBILIFE,EQ,688.95,695.05,680.0,689.7
2017-10-16,SBILIFE,EQ,686.0,689.45,669.0,670.1
2017-10-17,SBILIFE,EQ,670.5,674.0,669.0,673.05
2017-10-18,SBILIFE,EQ,671.0,672.85,664.15,668.4
2017-10-19,SBILIFE,EQ,666.1,678.25,666.1,675.1
2017-10-23,SBILIFE,EQ,670.0,673.8,665.0,665.8
2017-10-24,SBILIFE,EQ,663.8,671.45,663.0,665.85
2017-10-25,SBILIFE,EQ,667.0,673.45,658.1,669.9
2017-10-26,SBILIFE,EQ,669.9,669.9,660.5,666.85
2017-10-27,SBILIFE,EQ,663.2,666.05,659.0,662.2
2017-10-30,SBILIFE,EQ,665.0,665.0,649.9,655.0
2017-10-31,SBILIFE,EQ,655.8,669.0,655.8,662.1
2017-11-01,SBILIFE,EQ,664.0,664.85,642.25,647.05
2017-11-02,SBILIFE,EQ,647.05,653.6,641.2,642.75
2017-11-03,SBILIFE,EQ,643.05,653.5,641.1,642.25
2017-11-06,SBILIFE,EQ,642.65,659.9,642.65,656.75
2017-11-07,SBILIFE,EQ,659.0,659.0,639.55,642.35
2017-11-08,SBILIFE,EQ,649.0,649.0,629.0,631.6
2017-11-09,SBILIFE,EQ,633.0,670.4,633.0,657.95
2017-11-10,SBILIFE,EQ,655.1,679.2,655.1,676.55
2017-11-13,SBILIFE,EQ,665.0,680.8,663.0,665.0
2017-11-14,SBILIFE,EQ,655.2,667.75,654.0,660.0
2017-11-15,SBILIFE,EQ,650.1,660.05,644.4,649.35
2017-11-16,SBILIFE,EQ,648.6,659.2,642.8,649.9
2017-11-17,SBILIFE,EQ,653.0,663.7,645.1,659.55
2017-11-20,SBILIFE,EQ,657.3,665.0,656.5,661.45
2017-11-21,SBILIFE,EQ,660.0,696.4,660.0,687.45
2017-11-22,SBILIFE,EQ,689.0,698.95,681.15,693.15
2017-11-23,SBILIFE,EQ,689.0,689.0,664.0,666.3
2017-11-24,SBILIFE,EQ,668.0,670.45,655.0,655.7
2017-11-27,SBILIFE,EQ,655.55,662.7,651.85,653.7
2017-11-28,SBILIFE,EQ,653.0,666.95,652.0,653.45
2017-11-29,SBILIFE,EQ,654.05,658.4,650.8,656.2
2017-11-30,SBILIFE,EQ,665.95,665.95,653.85,654.9
2017-12-01,SBILIFE,EQ,658.0,658.0,652.25,655.9
2017-12-04,SBILIFE,EQ,660.0,665.8,653.05,661.75
2017-12-05,SBILIFE,EQ,660.0,662.15,653.55,659.1
2017-12-06,SBILIFE,EQ,654.05,660.0,654.05,656.1
2017-12-07,SBILIFE,EQ,655.1,670.0,651.0,668.4
2017-12-08,SBILIFE,EQ,664.05,689.9,664.05,685.7
2017-12-11,SBILIFE,EQ,680.0,682.75,671.05,674.75
2017-12-12,SBILIFE,EQ,671.05,682.0,671.0,676.05
2017-12-13,SBILIFE,EQ,671.05,682.0,657.0,675.35
2017-12-14,SBILIFE,EQ,675.1,683.0,673.3,679.9
2017-12-15,SBILIFE,EQ,680.5,691.0,678.0,689.0
2017-12-18,SBILIFE,EQ,681.45,694.0,665.0,692.15
2017-12-19,SBILIFE,EQ,688.1,699.9,688.1,697.3
