Date,Symbol,Series,Open,High,Low,Close
2016-03-23,SBIN,EQ,196.9,197.6,195.3,196.6
2016-03-28,SBIN,EQ,195.8,198.25,187.65,188.3
2016-03-29,SBIN,EQ,188.5,191.25,186.65,189.5
2016-03-30,SBIN,EQ,192.25,198.3,190.5,197.55
2016-03-31,SBIN,EQ,197.85,198.75,192.35,194.25
2016-04-01,SBIN,EQ,193.7,197.25,192.0,195.65
2016-04-04,SBIN,EQ,197.3,197.45,192.55,194.7
2016-04-05,SBIN,EQ,193.9,194.55,183.3,184.35
2016-04-06,SBIN,EQ,185.0,185.5,182.2,183.85
2016-04-07,SBIN,EQ,183.8,185.65,181.0,181.95
2016-04-08,SBIN,EQ,181.65,183.95,180.2,183.1
2016-04-11,SBIN,EQ,183.85,188.9,182.0,188.25
2016-04-12,SBIN,EQ,188.5,190.25,186.3,187.8
2016-04-13,SBIN,EQ,191.55,193.8,190.8,191.9
2016-04-18,SBIN,EQ,191.45,191.5,185.6,186.75
2016-04-20,SBIN,EQ,188.35,188.65,184.1,187.3
2016-04-21,SBIN,EQ,190.5,197.4,190.0,194.35
2016-04-22,SBIN,EQ,193.6,201.5,191.55,200.15
2016-04-25,SBIN,EQ,200.95,202.55,195.8,197.05
2016-04-26,SBIN,EQ,195.95,201.4,194.55,200.95
2016-04-27,SBIN,EQ,200.9,200.9,195.5,196.15
2016-04-28,SBIN,EQ,196.75,198.2,191.2,192.05
2016-04-29,SBIN,EQ,191.9,194.0,186.45,189.0
2016-05-02,SBIN,EQ,187.6,188.45,185.5,186.0
2016-05-03,SBIN,EQ,187.0,189.35,183.65,184.05
2016-05-04,SBIN,EQ,183.5,184.4,179.15,179.95
2016-05-05,SBIN,EQ,180.25,182.7,178.5,180.35
2016-05-06,SBIN,EQ,180.95,184.95,180.1,184.35
2016-05-09,SBIN,EQ,186.5,189.4,185.05,188.7
2016-05-10,SBIN,EQ,187.6,190.3,186.7,189.5
2016-05-11,SBIN,EQ,185.4,188.5,184.1,185.0
2016-05-12,SBIN,EQ,187.1,189.5,185.4,188.5
2016-05-13,SBIN,EQ,187.95,187.95,184.3,184.85
2016-05-16,SBIN,EQ,185.0,185.0,175.15,176.8
2016-05-17,SBIN,EQ,178.5,178.6,175.25,176.85
2016-05-18,SBIN,EQ,176.9,180.45,173.55,179.95
2016-05-19,SBIN,EQ,181.0,181.0,171.9,172.7
2016-05-20,SBIN,EQ,173.5,174.7,170.55,171.35
2016-05-23,SBIN,EQ,172.3,172.7,168.2,168.4
2016-05-24,SBIN,EQ,168.8,170.4,166.4,169.5
2016-05-25,SBIN,EQ,171.5,175.8,171.45,175.1
2016-05-26,SBIN,EQ,175.1,185.5,173.5,184.15
2016-05-27,SBIN,EQ,184.0,202.4,181.5,195.9
2016-05-30,SBIN,EQ,200.2,203.9,194.6,198.85
2016-05-31,SBIN,EQ,198.8,205.7,196.2,204.95
2016-06-01,SBIN,EQ,205.95,208.3,196.6,198.25
2016-06-02,SBIN,EQ,197.85,202.3,195.55,200.55
2016-06-03,SBIN,EQ,201.0,202.15,195.4,196.6
2016-06-06,SBIN,EQ,197.45,202.6,197.1,198.9
2016-06-07,SBIN,EQ,200.45,211.15,200.15,210.15
2016-06-08,SBIN,EQ,210.15,211.9,207.55,210.7
2016-06-09,SBIN,EQ,210.0,212.8,208.3,209.95
2016-06-10,SBIN,EQ,209.35,211.5,205.3,205.95
2016-06-13,SBIN,EQ,201.5,202.6,200.2,201.8
2016-06-14,SBIN,EQ,204.35,208.6,203.8,207.7
2016-06-15,SBIN,EQ,209.75,217.55,208.55,216.05
2016-06-16,SBIN,EQ,216.0,218.5,213.05,216.0
2016-06-17,SBIN,EQ,216.75,217.5,211.6,213.45
2016-06-20,SBIN,EQ,208.0,216.7,207.9,215.9
2016-06-21,SBIN,EQ,215.0,217.5,213.15,214.0
2016-06-22,SBIN,EQ,214.0,215.25,211.45,212.9
2016-06-23,SBIN,EQ,213.0,218.0,212.75,217.55
2016-06-24,SBIN,EQ,205.9,212.35,202.5,211.25
2016-06-27,SBIN,EQ,210.8,218.85,210.55,217.15
2016-06-28,SBIN,EQ,216.75,218.65,215.4,215.9
2016-06-29,SBIN,EQ,217.9,218.8,216.1,217.2
2016-06-30,SBIN,EQ,220.0,221.9,217.9,218.8
2016-07-01,SBIN,EQ,220.8,221.0,218.9,219.6
2016-07-04,SBIN,EQ,222.35,224.35,222.0,223.0
2016-07-05,SBIN,EQ,223.25,225.15,221.55,223.5
2016-07-07,SBIN,EQ,223.9,224.6,219.35,220.05
2016-07-08,SBIN,EQ,220.15,220.85,216.5,218.3
2016-07-11,SBIN,EQ,223.6,225.45,222.0,224.7
2016-07-12,SBIN,EQ,225.0,227.2,224.15,226.7
2016-07-13,SBIN,EQ,227.0,228.5,223.95,227.7
2016-07-14,SBIN,EQ,227.0,232.85,226.0,232.0
2016-07-15,SBIN,EQ,232.9,234.4,230.8,231.5
2016-07-18,SBIN,EQ,232.4,233.85,228.2,228.75
2016-07-19,SBIN,EQ,230.0,232.15,227.0,229.6
2016-07-20,SBIN,EQ,230.65,232.75,229.2,231.15
2016-07-21,SBIN,EQ,231.65,232.1,224.4,225.65
2016-07-22,SBIN,EQ,225.4,225.9,222.1,223.5
2016-07-25,SBIN,EQ,223.0,231.0,222.7,229.9
2016-07-26,SBIN,EQ,230.0,232.2,225.9,226.7
2016-07-27,SBIN,EQ,227.75,231.0,226.8,229.25
2016-07-28,SBIN,EQ,230.15,235.15,229.3,231.0
2016-07-29,SBIN,EQ,230.0,232.7,228.4,229.4
2016-08-01,SBIN,EQ,230.8,232.65,225.3,227.3
2016-08-02,SBIN,EQ,229.3,230.9,227.3,228.05
2016-08-03,SBIN,EQ,228.5,230.5,225.8,226.65
