Date,Symbol,Series,Open,High,Low,Close
2016-03-23,SUNPHARMA,EQ,844.7,852.0,834.6,846.2
2016-03-28,SUNPHARMA,EQ,846.0,846.0,803.0,809.25
2016-03-29,SUNPHARMA,EQ,809.25,811.85,770.0,794.35
2016-03-30,SUNPHARMA,EQ,811.9,815.55,801.05,811.7
2016-03-31,SUNPHARMA,EQ,811.9,829.65,811.9,820.0
2016-04-01,SUNPHARMA,EQ,821.0,824.0,809.4,815.1
2016-04-04,SUNPHARMA,EQ,817.2,821.0,811.1,815.05
2016-04-05,SUNPHARMA,EQ,816.0,816.45,799.5,800.8
2016-04-06,SUNPHARMA,EQ,804.5,811.1,798.05,809.55
2016-04-07,SUNPHARMA,EQ,810.0,822.9,805.1,811.7
2016-04-08,SUNPHARMA,EQ,807.05,817.45,807.05,811.75
2016-04-11,SUNPHARMA,EQ,823.0,826.0,809.2,817.3
2016-04-12,SUNPHARMA,EQ,819.7,827.05,816.35,823.6
2016-04-13,SUNPHARMA,EQ,826.1,835.9,823.0,833.05
2016-04-18,SUNPHARMA,EQ,833.15,841.15,827.3,837.8
2016-04-20,SUNPHARMA,EQ,836.1,836.1,825.2,828.55
2016-04-21,SUNPHARMA,EQ,831.65,837.9,826.8,832.9
2016-04-22,SUNPHARMA,EQ,827.0,828.45,818.15,820.2
2016-04-25,SUNPHARMA,EQ,820.0,821.15,802.0,808.85
2016-04-26,SUNPHARMA,EQ,805.0,817.6,797.0,814.4
2016-04-27,SUNPHARMA,EQ,814.0,816.1,809.2,813.95
2016-04-28,SUNPHARMA,EQ,819.0,819.0,800.0,801.95
2016-04-29,SUNPHARMA,EQ,805.0,813.3,802.0,811.3
2016-05-02,SUNPHARMA,EQ,813.75,816.15,804.5,811.8
2016-05-03,SUNPHARMA,EQ,808.2,813.6,780.0,798.25
2016-05-04,SUNPHARMA,EQ,799.0,806.4,787.05,804.2
2016-05-05,SUNPHARMA,EQ,825.55,828.0,806.5,810.45
2016-05-06,SUNPHARMA,EQ,809.95,815.0,802.25,804.4
2016-05-09,SUNPHARMA,EQ,805.0,811.8,796.0,805.3
2016-05-10,SUNPHARMA,EQ,806.0,811.0,800.3,802.15
2016-05-11,SUNPHARMA,EQ,799.0,806.0,792.0,796.3
2016-05-12,SUNPHARMA,EQ,795.1,805.7,795.1,803.55
2016-05-13,SUNPHARMA,EQ,805.35,805.35,792.5,795.05
2016-05-16,SUNPHARMA,EQ,799.9,802.0,791.7,797.85
2016-05-17,SUNPHARMA,EQ,801.0,802.6,796.5,799.9
2016-05-18,SUNPHARMA,EQ,798.95,799.05,791.0,795.3
2016-05-19,SUNPHARMA,EQ,797.0,797.7,790.0,792.5
2016-05-20,SUNPHARMA,EQ,797.9,797.9,790.0,791.35
