Date,Symbol,Series,Open,High,Low,Close
2016-03-23,TATAMOTORS,EQ,378.0,379.45,374.05,377.0
2016-03-28,TATAMOTORS,EQ,375.5,375.5,361.5,363.3
2016-03-29,TATAMOTORS,EQ,364.0,378.95,363.05,372.45
2016-03-30,TATAMOTORS,EQ,380.5,391.5,376.8,388.6
2016-03-31,TATAMOTORS,EQ,387.9,393.6,380.5,386.6
2016-04-01,TATAMOTORS,EQ,386.4,386.4,377.7,379.65
2016-04-04,TATAMOTORS,EQ,385.95,391.0,382.4,388.4
2016-04-05,TATAMOTORS,EQ,386.0,386.0,369.0,370.5
2016-04-06,TATAMOTORS,EQ,373.7,382.4,372.05,376.7
2016-04-07,TATAMOTORS,EQ,375.95,384.8,370.3,375.2
2016-04-08,TATAMOTORS,EQ,375.5,380.05,370.5,371.45
2016-04-11,TATAMOTORS,EQ,373.95,387.8,373.9,386.65
2016-04-12,TATAMOTORS,EQ,387.95,397.4,387.15,395.8
2016-04-13,TATAMOTORS,EQ,400.0,411.75,398.15,408.75
2016-04-18,TATAMOTORS,EQ,407.65,409.9,402.5,407.35
2016-04-20,TATAMOTORS,EQ,407.0,410.35,400.65,404.1
2016-04-21,TATAMOTORS,EQ,408.7,417.2,406.0,411.5
2016-04-22,TATAMOTORS,EQ,412.1,420.5,408.0,417.0
2016-04-25,TATAMOTORS,EQ,417.6,417.6,410.0,412.2
2016-04-26,TATAMOTORS,EQ,408.65,423.65,405.05,419.05
2016-04-27,TATAMOTORS,EQ,418.95,425.25,414.65,418.55
2016-04-28,TATAMOTORS,EQ,418.8,420.95,409.7,411.35
2016-04-29,TATAMOTORS,EQ,410.0,413.7,403.05,408.35
2016-05-02,TATAMOTORS,EQ,407.95,410.45,402.5,407.7
2016-05-03,TATAMOTORS,EQ,410.9,422.0,407.8,409.65
2016-05-04,TATAMOTORS,EQ,405.5,405.5,380.1,381.8
2016-05-05,TATAMOTORS,EQ,384.0,396.05,383.15,391.15
2016-05-06,TATAMOTORS,EQ,388.6,400.9,384.5,398.7
2016-05-09,TATAMOTORS,EQ,400.35,405.2,395.15,403.35
2016-05-10,TATAMOTORS,EQ,400.8,400.8,387.15,388.95
2016-05-11,TATAMOTORS,EQ,384.8,391.95,376.1,379.85
2016-05-12,TATAMOTORS,EQ,379.0,388.6,379.0,387.05
2016-05-13,TATAMOTORS,EQ,391.25,394.0,385.5,389.95
