Date,Symbol,Series,Open,High,Low,Close
2016-03-23,TATASTEEL,EQ,311.8,317.9,310.55,317.2
2016-03-28,TATASTEEL,EQ,318.4,318.4,297.4,299.15
2016-03-29,TATASTEEL,EQ,300.0,307.75,300.0,303.85
2016-03-30,TATASTEEL,EQ,309.45,325.75,305.3,324.3
2016-03-31,TATASTEEL,EQ,324.9,324.9,314.4,319.7
2016-04-01,TATASTEEL,EQ,317.65,319.85,313.35,317.75
2016-04-04,TATASTEEL,EQ,315.8,323.1,314.7,320.35
2016-04-05,TATASTEEL,EQ,316.95,319.4,308.3,312.3
2016-04-06,TATASTEEL,EQ,315.0,332.0,313.55,328.55
2016-04-07,TATASTEEL,EQ,329.9,332.75,322.1,323.7
2016-04-08,TATASTEEL,EQ,323.05,324.8,319.05,322.1
2016-04-11,TATASTEEL,EQ,322.0,333.3,320.05,331.15
2016-04-12,TATASTEEL,EQ,323.9,330.9,318.0,324.5
2016-04-13,TATASTEEL,EQ,327.5,336.2,326.0,332.85
2016-04-18,TATASTEEL,EQ,331.9,337.25,327.65,335.55
2016-04-20,TATASTEEL,EQ,337.95,359.3,337.7,357.45
2016-04-21,TATASTEEL,EQ,358.8,364.05,353.1,354.55
2016-04-22,TATASTEEL,EQ,358.0,363.75,352.3,353.65
2016-04-25,TATASTEEL,EQ,352.5,353.7,344.55,347.45
2016-04-26,TATASTEEL,EQ,347.15,360.6,347.1,358.6
2016-04-27,TATASTEEL,EQ,358.9,362.4,354.15,356.75
2016-04-28,TATASTEEL,EQ,357.0,362.0,346.15,347.6
2016-04-29,TATASTEEL,EQ,347.7,353.9,342.7,351.1
2016-05-02,TATASTEEL,EQ,349.0,351.0,344.4,346.95
2016-05-03,TATASTEEL,EQ,348.75,355.65,347.0,348.9
2016-05-04,TATASTEEL,EQ,346.0,347.25,327.4,328.75
2016-05-05,TATASTEEL,EQ,329.0,334.8,324.15,331.8
2016-05-06,TATASTEEL,EQ,330.0,331.5,325.1,329.3
