Date,Symbol,Series,Open,High,Low,Close
2016-03-23,TCS,EQ,2487.9,2487.9,2457.3,2473.8
2016-03-28,TCS,EQ,2491.0,2517.15,2461.55,2473.4
2016-03-29,TCS,EQ,2478.0,2486.95,2455.0,2469.4
2016-03-30,TCS,EQ,2470.9,2505.0,2460.0,2489.5
2016-03-31,TCS,EQ,2478.3,2550.0,2472.15,2520.3
2016-04-01,TCS,EQ,2505.0,2520.85,2434.1,2453.9
2016-04-04,TCS,EQ,2456.0,2488.0,2447.0,2471.25
2016-04-05,TCS,EQ,2470.8,2484.9,2442.05,2462.75
2016-04-06,TCS,EQ,2470.0,2489.0,2459.35,2481.9
2016-04-07,TCS,EQ,2480.0,2484.7,2457.0,2470.8
2016-04-08,TCS,EQ,2466.0,2473.7,2427.0,2432.05
2016-04-11,TCS,EQ,2433.0,2517.0,2413.0,2506.65
2016-04-12,TCS,EQ,2498.0,2525.0,2488.1,2518.15
2016-04-13,TCS,EQ,2530.0,2545.0,2512.5,2526.2
2016-04-18,TCS,EQ,2453.0,2553.5,2440.0,2519.75
2016-04-20,TCS,EQ,2534.9,2534.9,2440.0,2450.35
2016-04-21,TCS,EQ,2451.0,2467.4,2412.2,2424.4
2016-04-22,TCS,EQ,2419.0,2435.4,2404.2,2417.05
2016-04-25,TCS,EQ,2402.3,2457.05,2402.3,2451.25
2016-04-26,TCS,EQ,2449.0,2493.5,2442.0,2489.8
2016-04-27,TCS,EQ,2480.0,2514.6,2475.9,2511.1
2016-04-28,TCS,EQ,2501.3,2540.0,2498.1,2527.75
2016-04-29,TCS,EQ,2517.0,2542.0,2510.0,2535.5
2016-05-02,TCS,EQ,2529.0,2530.0,2500.0,2526.7
2016-05-03,TCS,EQ,2525.0,2530.0,2472.0,2478.1
2016-05-04,TCS,EQ,2473.9,2494.05,2457.0,2478.0
2016-05-05,TCS,EQ,2478.0,2489.95,2463.55,2470.3
2016-05-06,TCS,EQ,2465.0,2484.3,2431.0,2473.4
2016-05-09,TCS,EQ,2473.4,2518.0,2456.4,2512.55
2016-05-10,TCS,EQ,2515.0,2533.95,2496.0,2522.9
2016-05-11,TCS,EQ,2500.0,2525.6,2490.0,2518.3
2016-05-12,TCS,EQ,2520.55,2569.9,2520.55,2566.2
2016-05-13,TCS,EQ,2565.0,2566.0,2510.15,2523.4
2016-05-16,TCS,EQ,2538.0,2564.8,2522.5,2551.15
2016-05-17,TCS,EQ,2564.2,2591.25,2552.0,2570.2
2016-05-18,TCS,EQ,2565.85,2565.85,2526.05,2551.1
2016-05-19,TCS,EQ,2555.0,2560.0,2526.1,2556.95
2016-05-20,TCS,EQ,2542.3,2565.8,2522.8,2529.3
2016-05-23,TCS,EQ,2544.0,2545.9,2480.2,2491.45
2016-05-24,TCS,EQ,2484.0,2488.25,2459.6,2467.7
2016-05-25,TCS,EQ,2481.0,2532.95,2481.0,2526.45
2016-05-26,TCS,EQ,2530.0,2564.9,2505.1,2548.7
2016-05-27,TCS,EQ,2553.15,2579.85,2550.6,2572.65
2016-05-30,TCS,EQ,2583.0,2641.95,2582.0,2636.4
2016-05-31,TCS,EQ,2640.0,2647.0,2562.0,2569.4
2016-06-01,TCS,EQ,2571.2,2645.0,2571.0,2633.55
2016-06-02,TCS,EQ,2600.0,2654.3,2600.0,2650.15
2016-06-03,TCS,EQ,2651.4,2658.0,2620.5,2629.55
2016-06-06,TCS,EQ,2620.5,2639.0,2603.2,2612.5
2016-06-07,TCS,EQ,2614.0,2639.0,2613.0,2631.15
2016-06-08,TCS,EQ,2617.25,2628.55,2605.5,2613.1
2016-06-09,TCS,EQ,2622.4,2622.4,2555.2,2577.25
2016-06-10,TCS,EQ,2566.0,2603.25,2553.2,2555.75
2016-06-13,TCS,EQ,2540.0,2553.35,2518.0,2547.0
2016-06-14,TCS,EQ,2558.95,2558.95,2518.25,2534.85
2016-06-15,TCS,EQ,2530.0,2564.9,2522.0,2556.85
2016-06-16,TCS,EQ,2545.55,2564.7,2516.45,2558.3
