Date,Symbol,Series,Open,High,Low,Close
2016-03-23,TECHM,EQ,484.0,484.65,474.65,479.9
2016-03-28,TECHM,EQ,482.0,485.25,464.0,474.7
2016-03-29,TECHM,EQ,475.1,479.85,464.0,467.6
2016-03-30,TECHM,EQ,471.0,478.8,465.75,472.85
2016-03-31,TECHM,EQ,475.0,483.0,473.2,474.95
2016-04-01,TECHM,EQ,476.0,476.05,460.0,463.1
2016-04-04,TECHM,EQ,468.0,474.0,466.2,470.55
2016-04-05,TECHM,EQ,472.5,473.0,460.1,462.25
2016-04-06,TECHM,EQ,463.5,465.35,448.4,453.0
2016-04-07,TECHM,EQ,454.8,459.0,442.9,444.45
2016-04-08,TECHM,EQ,444.4,457.8,444.0,455.85
2016-04-11,TECHM,EQ,455.85,471.4,451.0,469.6
2016-04-12,TECHM,EQ,469.75,472.7,460.1,464.45
2016-04-13,TECHM,EQ,469.5,472.6,465.9,471.4
2016-04-18,TECHM,EQ,475.0,482.0,472.25,476.7
2016-04-20,TECHM,EQ,480.0,488.5,476.0,483.55
2016-04-21,TECHM,EQ,484.0,486.5,474.1,476.35
2016-04-22,TECHM,EQ,477.05,487.75,474.6,479.9
2016-04-25,TECHM,EQ,481.8,484.7,469.1,472.0
2016-04-26,TECHM,EQ,472.2,477.0,465.7,475.5
2016-04-27,TECHM,EQ,477.0,484.1,473.4,479.25
2016-04-28,TECHM,EQ,480.0,483.8,468.2,480.15
2016-04-29,TECHM,EQ,477.0,489.0,476.0,486.15
2016-05-02,TECHM,EQ,485.0,485.0,475.6,477.2
2016-05-03,TECHM,EQ,477.2,483.4,465.0,467.2
2016-05-04,TECHM,EQ,464.0,471.1,459.7,466.95
2016-05-05,TECHM,EQ,466.8,482.0,465.0,479.35
2016-05-06,TECHM,EQ,475.2,479.0,470.4,473.05
2016-05-09,TECHM,EQ,475.1,480.65,474.0,478.6
2016-05-10,TECHM,EQ,479.45,485.6,475.65,482.7
2016-05-11,TECHM,EQ,477.9,483.6,471.5,473.9
2016-05-12,TECHM,EQ,471.5,484.4,471.5,481.2
2016-05-13,TECHM,EQ,482.0,483.5,476.2,479.8
2016-05-16,TECHM,EQ,479.0,494.9,477.85,486.95
2016-05-17,TECHM,EQ,489.0,493.9,481.8,483.8
2016-05-18,TECHM,EQ,481.05,486.25,480.0,484.75
2016-05-19,TECHM,EQ,484.2,487.5,481.15,484.0
2016-05-20,TECHM,EQ,482.3,489.45,474.85,475.85
2016-05-23,TECHM,EQ,478.1,481.0,472.8,476.45
2016-05-24,TECHM,EQ,476.0,485.7,464.6,480.25
2016-05-25,TECHM,EQ,499.1,532.0,494.5,528.5
2016-05-26,TECHM,EQ,530.0,547.0,520.25,542.3
2016-05-27,TECHM,EQ,539.0,541.0,533.6,535.9
2016-05-30,TECHM,EQ,535.8,564.0,535.0,543.55
2016-05-31,TECHM,EQ,544.1,548.0,536.65,540.35
2016-06-01,TECHM,EQ,541.0,543.2,537.3,540.0
2016-06-02,TECHM,EQ,537.0,552.5,537.0,546.15
2016-06-03,TECHM,EQ,551.45,557.55,546.15,551.7
2016-06-06,TECHM,EQ,550.8,551.9,534.25,539.6
2016-06-07,TECHM,EQ,544.9,544.9,533.45,536.3
2016-06-08,TECHM,EQ,540.0,540.0,533.0,535.65
2016-06-09,TECHM,EQ,537.9,537.9,528.3,534.45
2016-06-10,TECHM,EQ,535.7,540.45,530.75,537.55
2016-06-13,TECHM,EQ,534.2,536.4,528.55,534.1
2016-06-14,TECHM,EQ,531.05,537.4,528.5,533.3
2016-06-15,TECHM,EQ,535.0,542.0,530.0,540.9
2016-06-16,TECHM,EQ,537.05,543.35,530.5,533.1
2016-06-17,TECHM,EQ,533.1,542.0,532.3,535.25
2016-06-20,TECHM,EQ,534.0,548.85,532.1,544.3
2016-06-21,TECHM,EQ,543.9,544.3,533.0,535.0
2016-06-22,TECHM,EQ,540.8,542.0,530.55,532.75
2016-06-23,TECHM,EQ,533.1,535.0,526.65,531.35
2016-06-24,TECHM,EQ,513.0,516.95,493.55,507.05
2016-06-27,TECHM,EQ,499.0,509.0,499.0,504.65
2016-06-28,TECHM,EQ,505.0,512.6,500.1,501.0
2016-06-29,TECHM,EQ,504.5,507.25,499.3,504.95
2016-06-30,TECHM,EQ,509.1,509.7,502.35,505.75
2016-07-01,TECHM,EQ,508.2,516.55,506.3,511.4
2016-07-04,TECHM,EQ,511.0,524.0,510.55,519.1
2016-07-05,TECHM,EQ,516.8,519.0,513.05,515.25
2016-07-07,TECHM,EQ,512.8,515.0,503.5,504.55
2016-07-08,TECHM,EQ,501.0,507.45,499.0,502.95
2016-07-11,TECHM,EQ,505.95,512.4,504.45,508.4
2016-07-12,TECHM,EQ,509.15,511.9,505.0,507.2
2016-07-13,TECHM,EQ,509.0,511.5,504.95,506.55
2016-07-14,TECHM,EQ,506.95,519.5,506.5,518.15
2016-07-15,TECHM,EQ,520.7,523.8,501.9,504.05
2016-07-18,TECHM,EQ,505.1,509.9,503.0,506.6
2016-07-19,TECHM,EQ,506.8,511.9,504.05,507.6
2016-07-20,TECHM,EQ,504.25,509.6,504.1,505.35
2016-07-21,TECHM,EQ,506.0,508.5,503.2,505.3
2016-07-22,TECHM,EQ,507.0,508.5,504.4,504.9
2016-07-25,TECHM,EQ,505.0,511.4,502.8,508.4
2016-07-26,TECHM,EQ,508.0,512.75,500.0,502.5
2016-07-27,TECHM,EQ,502.1,506.45,501.1,504.25
2016-07-28,TECHM,EQ,498.0,499.0,482.1,485.55
2016-07-29,TECHM,EQ,488.95,490.9,482.55,487.95
2016-08-01,TECHM,EQ,485.2,493.0,476.1,490.15
2016-08-02,TECHM,EQ,486.0,509.7,485.1,499.2
2016-08-03,TECHM,EQ,501.2,503.95,493.1,496.9
2016-08-04,TECHM,EQ,498.9,503.9,494.2,499.95
2016-08-05,TECHM,EQ,502.0,507.5,493.3,495.05
2016-08-08,TECHM,EQ,496.0,504.5,496.0,503.65
2016-08-09,TECHM,EQ,505.0,505.8,495.55,502.5
2016-08-10,TECHM,EQ,504.0,504.0,491.5,497.2
2016-08-11,TECHM,EQ,501.0,501.9,495.3,500.1
2016-08-12,TECHM,EQ,504.0,504.0,488.4,493.35
2016-08-16,TECHM,EQ,490.55,491.75,478.25,482.95
2016-08-17,TECHM,EQ,483.1,487.0,472.2,474.65
2016-08-18,TECHM,EQ,477.65,478.7,468.25,469.5
2016-08-19,TECHM,EQ,470.0,477.2,470.0,473.2
2016-08-22,TECHM,EQ,472.0,474.3,465.0,466.35
2016-08-23,TECHM,EQ,466.7,474.5,461.5,465.8
2016-08-24,TECHM,EQ,467.0,471.7,463.5,467.05
2016-08-25,TECHM,EQ,470.2,470.95,455.9,458.1
2016-08-26,TECHM,EQ,460.0,463.7,457.0,459.95
2016-08-29,TECHM,EQ,462.7,462.7,448.55,449.55
2016-08-30,TECHM,EQ,451.5,464.7,451.2,462.95
2016-08-31,TECHM,EQ,462.0,473.8,461.55,468.8
2016-09-01,TECHM,EQ,470.0,476.4,466.3,469.15
2016-09-02,TECHM,EQ,469.95,474.2,465.95,471.85
2016-09-06,TECHM,EQ,470.0,481.25,467.4,480.05
2016-09-07,TECHM,EQ,481.2,483.5,470.15,471.85
