Date,Symbol,Series,Open,High,Low,Close
2016-03-23,TITAN,EQ,358.6,358.9,351.5,352.7
2016-03-28,TITAN,EQ,356.7,357.0,325.0,327.4
2016-03-29,TITAN,EQ,325.0,331.0,320.3,329.75
2016-03-30,TITAN,EQ,331.4,339.55,331.4,338.25
2016-03-31,TITAN,EQ,338.5,340.15,334.25,339.1
2016-04-01,TITAN,EQ,339.0,343.0,335.4,339.45
2016-04-04,TITAN,EQ,338.2,345.85,336.5,344.55
2016-04-05,TITAN,EQ,343.9,348.0,341.3,345.6
2016-04-06,TITAN,EQ,346.8,350.0,345.15,348.1
2016-04-07,TITAN,EQ,346.0,348.4,338.45,339.3
2016-04-08,TITAN,EQ,339.0,339.0,333.8,335.85
2016-04-11,TITAN,EQ,336.9,347.9,336.85,344.55
2016-04-12,TITAN,EQ,349.65,354.0,346.05,350.4
2016-04-13,TITAN,EQ,353.0,360.3,348.4,352.85
2016-04-18,TITAN,EQ,352.1,364.45,349.05,361.8
2016-04-20,TITAN,EQ,365.8,379.0,363.25,373.8
2016-04-21,TITAN,EQ,379.95,384.6,366.75,369.35
2016-04-22,TITAN,EQ,369.0,374.65,363.6,371.65
2016-04-25,TITAN,EQ,374.9,375.0,369.25,373.6
2016-04-26,TITAN,EQ,372.5,373.95,366.4,371.85
2016-04-27,TITAN,EQ,371.7,377.0,367.3,371.5
2016-04-28,TITAN,EQ,371.5,372.9,366.1,369.55
2016-04-29,TITAN,EQ,366.0,368.3,355.0,355.9
2016-05-02,TITAN,EQ,357.7,368.95,355.95,367.65
2016-05-03,TITAN,EQ,367.1,369.0,357.4,360.1
2016-05-04,TITAN,EQ,358.0,364.05,357.25,360.05
2016-05-05,TITAN,EQ,358.7,364.5,353.2,359.2
2016-05-06,TITAN,EQ,357.6,368.1,353.8,365.45
2016-05-09,TITAN,EQ,354.2,369.55,354.2,365.5
2016-05-10,TITAN,EQ,362.7,372.65,361.0,371.85
2016-05-11,TITAN,EQ,367.5,374.15,366.95,372.0
2016-05-12,TITAN,EQ,372.0,378.45,370.6,374.0
2016-05-13,TITAN,EQ,375.1,384.85,363.65,364.7
2016-05-16,TITAN,EQ,366.0,369.0,363.5,364.85
2016-05-17,TITAN,EQ,367.0,371.4,363.25,364.75
2016-05-18,TITAN,EQ,364.1,368.75,362.1,365.25
2016-05-19,TITAN,EQ,365.75,368.3,362.8,363.95
2016-05-20,TITAN,EQ,366.95,369.45,363.8,366.05
2016-05-23,TITAN,EQ,366.4,368.85,361.0,362.6
2016-05-24,TITAN,EQ,364.9,367.5,358.7,362.6
2016-05-25,TITAN,EQ,363.15,366.4,358.65,364.55
2016-05-26,TITAN,EQ,363.25,366.95,359.0,361.9
2016-05-27,TITAN,EQ,363.9,363.9,359.1,360.45
2016-05-30,TITAN,EQ,361.1,365.6,354.25,363.55
2016-05-31,TITAN,EQ,372.5,381.95,355.35,360.5
2016-06-01,TITAN,EQ,359.0,364.25,356.4,359.25
2016-06-02,TITAN,EQ,358.75,363.0,354.6,358.05
2016-06-03,TITAN,EQ,359.4,361.65,353.2,355.35
2016-06-06,TITAN,EQ,354.9,357.05,351.7,353.0
2016-06-07,TITAN,EQ,354.3,361.8,353.95,360.6
2016-06-08,TITAN,EQ,361.75,365.5,357.5,362.05
