Date,Symbol,Series,Open,High,Low,Close
2016-03-23,ULTRACEMCO,EQ,3216.9,3265.0,3186.95,3198.45
2016-03-28,ULTRACEMCO,EQ,3205.0,3231.2,3155.05,3176.95
2016-03-29,ULTRACEMCO,EQ,3174.0,3194.85,3116.1,3136.25
2016-03-30,ULTRACEMCO,EQ,3179.9,3223.8,3165.0,3184.1
2016-03-31,ULTRACEMCO,EQ,3221.8,3254.9,3182.1,3228.75
2016-04-01,ULTRACEMCO,EQ,3249.0,3260.0,3190.0,3203.7
2016-04-04,ULTRACEMCO,EQ,3229.7,3229.7,3159.5,3170.85
2016-04-05,ULTRACEMCO,EQ,3151.85,3174.95,3097.0,3100.4
2016-04-06,ULTRACEMCO,EQ,3123.7,3200.0,3092.5,3188.6
2016-04-07,ULTRACEMCO,EQ,3200.0,3228.0,3126.05,3137.45
2016-04-08,ULTRACEMCO,EQ,3150.0,3200.0,3130.05,3158.85
2016-04-11,ULTRACEMCO,EQ,3159.0,3190.0,3140.4,3152.2
2016-04-12,ULTRACEMCO,EQ,3140.0,3198.7,3140.0,3166.4
2016-04-13,ULTRACEMCO,EQ,3194.5,3314.9,3190.2,3273.7
2016-04-18,ULTRACEMCO,EQ,3276.9,3417.2,3235.0,3405.65
2016-04-20,ULTRACEMCO,EQ,3420.0,3454.9,3353.25,3366.55
2016-04-21,ULTRACEMCO,EQ,3385.0,3411.1,3244.0,3264.0
2016-04-22,ULTRACEMCO,EQ,3250.1,3319.8,3202.8,3271.1
2016-04-25,ULTRACEMCO,EQ,3288.0,3327.6,3256.85,3276.2
2016-04-26,ULTRACEMCO,EQ,3293.3,3298.45,3251.25,3266.05
2016-04-27,ULTRACEMCO,EQ,3251.1,3269.25,3185.35,3191.8
2016-04-28,ULTRACEMCO,EQ,3203.9,3228.15,3152.45,3169.25
2016-04-29,ULTRACEMCO,EQ,3185.0,3197.0,3150.0,3161.45
2016-05-02,ULTRACEMCO,EQ,3170.6,3197.0,3137.3,3176.1
2016-05-03,ULTRACEMCO,EQ,3195.0,3245.3,3182.2,3215.0
2016-05-04,ULTRACEMCO,EQ,3172.0,3205.0,3172.0,3183.65
2016-05-05,ULTRACEMCO,EQ,3199.7,3199.7,3108.0,3119.0
2016-05-06,ULTRACEMCO,EQ,3120.0,3131.95,3062.05,3099.9
2016-05-09,ULTRACEMCO,EQ,3100.0,3177.95,3100.0,3165.75
2016-05-10,ULTRACEMCO,EQ,3161.9,3187.45,3136.95,3165.75
2016-05-11,ULTRACEMCO,EQ,3151.0,3223.65,3116.35,3199.1
2016-05-12,ULTRACEMCO,EQ,3199.0,3232.9,3196.45,3227.6
2016-05-13,ULTRACEMCO,EQ,3201.0,3223.1,3135.0,3151.65
2016-05-16,ULTRACEMCO,EQ,3160.15,3180.0,3145.1,3171.7
2016-05-17,ULTRACEMCO,EQ,3180.25,3269.5,3180.25,3252.75
2016-05-18,ULTRACEMCO,EQ,3268.0,3268.0,3210.25,3223.6
2016-05-19,ULTRACEMCO,EQ,3218.0,3223.45,3176.0,3189.5
2016-05-20,ULTRACEMCO,EQ,3189.25,3203.05,3121.05,3134.0
2016-05-23,ULTRACEMCO,EQ,3136.4,3156.6,3110.1,3122.4
2016-05-24,ULTRACEMCO,EQ,3120.1,3181.45,3110.3,3174.45
2016-05-25,ULTRACEMCO,EQ,3195.1,3212.05,3181.25,3209.45
2016-05-26,ULTRACEMCO,EQ,3209.45,3229.0,3195.1,3213.65
2016-05-27,ULTRACEMCO,EQ,3216.0,3255.0,3216.0,3248.3
2016-05-30,ULTRACEMCO,EQ,3257.1,3257.1,3192.05,3212.2
2016-05-31,ULTRACEMCO,EQ,3222.0,3249.6,3206.75,3226.7
2016-06-01,ULTRACEMCO,EQ,3226.7,3259.75,3207.85,3228.25
2016-06-02,ULTRACEMCO,EQ,3230.0,3244.8,3206.5,3232.95
2016-06-03,ULTRACEMCO,EQ,3235.0,3254.65,3183.3,3189.25
2016-06-06,ULTRACEMCO,EQ,3189.5,3244.0,3189.5,3227.3
2016-06-07,ULTRACEMCO,EQ,3230.0,3341.7,3230.0,3334.95
2016-06-08,ULTRACEMCO,EQ,3348.7,3392.0,3345.0,3371.35
2016-06-09,ULTRACEMCO,EQ,3380.0,3400.0,3365.0,3379.7
2016-06-10,ULTRACEMCO,EQ,3365.0,3395.75,3327.75,3384.65
2016-06-13,ULTRACEMCO,EQ,3365.0,3405.9,3328.2,3397.9
2016-06-14,ULTRACEMCO,EQ,3401.45,3408.0,3311.1,3321.9
2016-06-15,ULTRACEMCO,EQ,3327.0,3374.0,3306.2,3363.75
2016-06-16,ULTRACEMCO,EQ,3343.3,3353.0,3261.0,3281.85
2016-06-17,ULTRACEMCO,EQ,3314.0,3323.9,3276.75,3303.05
2016-06-20,ULTRACEMCO,EQ,3283.45,3375.0,3270.5,3369.55
2016-06-21,ULTRACEMCO,EQ,3373.0,3373.0,3325.9,3357.6
2016-06-22,ULTRACEMCO,EQ,3369.95,3369.95,3300.05,3311.2
2016-06-23,ULTRACEMCO,EQ,3318.9,3349.4,3300.0,3337.95
2016-06-24,ULTRACEMCO,EQ,3270.0,3333.4,3200.0,3289.95
2016-06-27,ULTRACEMCO,EQ,3289.95,3404.65,3289.95,3396.0
2016-06-28,ULTRACEMCO,EQ,3410.0,3438.0,3390.0,3400.8
2016-06-29,ULTRACEMCO,EQ,3411.0,3419.95,3370.1,3395.25
2016-06-30,ULTRACEMCO,EQ,3410.0,3419.9,3390.0,3411.0
2016-07-01,ULTRACEMCO,EQ,3410.0,3485.0,3395.0,3424.1
2016-07-04,ULTRACEMCO,EQ,3430.0,3475.0,3402.2,3409.15
2016-07-05,ULTRACEMCO,EQ,3450.0,3465.0,3361.0,3375.15
2016-07-07,ULTRACEMCO,EQ,3366.1,3419.0,3346.35,3382.4
2016-07-08,ULTRACEMCO,EQ,3371.1,3409.9,3369.1,3400.05
2016-07-11,ULTRACEMCO,EQ,3425.25,3472.0,3419.1,3454.55
2016-07-12,ULTRACEMCO,EQ,3454.55,3499.95,3454.1,3487.3
2016-07-13,ULTRACEMCO,EQ,3487.0,3495.95,3425.0,3434.65
2016-07-14,ULTRACEMCO,EQ,3440.0,3511.0,3440.0,3500.6
2016-07-15,ULTRACEMCO,EQ,3507.0,3559.25,3507.0,3531.35
2016-07-18,ULTRACEMCO,EQ,3535.0,3548.0,3482.8,3498.45
2016-07-19,ULTRACEMCO,EQ,3525.0,3562.0,3474.1,3507.75
2016-07-20,ULTRACEMCO,EQ,3510.0,3570.0,3507.75,3559.85
2016-07-21,ULTRACEMCO,EQ,3575.0,3665.0,3559.0,3638.5
2016-07-22,ULTRACEMCO,EQ,3650.0,3652.05,3602.9,3639.7
2016-07-25,ULTRACEMCO,EQ,3630.0,3680.0,3612.0,3670.0
2016-07-26,ULTRACEMCO,EQ,3674.0,3697.4,3615.6,3628.3
2016-07-27,ULTRACEMCO,EQ,3642.15,3690.0,3637.15,3650.75
2016-07-28,ULTRACEMCO,EQ,3653.5,3714.9,3644.55,3678.75
2016-07-29,ULTRACEMCO,EQ,3681.1,3739.4,3669.85,3718.2
2016-08-01,ULTRACEMCO,EQ,3730.0,3769.95,3725.75,3755.7
2016-08-02,ULTRACEMCO,EQ,3745.1,3757.0,3660.0,3676.7
2016-08-03,ULTRACEMCO,EQ,3671.0,3699.9,3650.4,3667.7
2016-08-04,ULTRACEMCO,EQ,3677.1,3699.95,3636.75,3656.55
2016-08-05,ULTRACEMCO,EQ,3674.4,3843.0,3670.0,3806.9
2016-08-08,ULTRACEMCO,EQ,3833.7,3833.7,3750.0,3780.25
2016-08-09,ULTRACEMCO,EQ,3782.0,3838.0,3757.65,3801.95
2016-08-10,ULTRACEMCO,EQ,3808.0,3810.0,3712.6,3728.95
2016-08-11,ULTRACEMCO,EQ,3728.7,3783.5,3658.2,3706.65
2016-08-12,ULTRACEMCO,EQ,3738.4,3765.5,3661.3,3722.1
2016-08-16,ULTRACEMCO,EQ,3723.5,3762.65,3708.55,3739.45
2016-08-17,ULTRACEMCO,EQ,3720.0,3738.0,3672.0,3699.3
2016-08-18,ULTRACEMCO,EQ,3717.6,3888.0,3717.6,3874.35
2016-08-19,ULTRACEMCO,EQ,3890.0,3954.95,3881.15,3926.8
2016-08-22,ULTRACEMCO,EQ,3921.0,3926.95,3847.3,3865.4
2016-08-23,ULTRACEMCO,EQ,3889.0,3889.0,3770.65,3826.3
2016-08-24,ULTRACEMCO,EQ,3831.0,3850.0,3794.0,3812.3
2016-08-25,ULTRACEMCO,EQ,3810.1,3844.7,3756.0,3789.5
2016-08-26,ULTRACEMCO,EQ,3820.0,3850.0,3767.45,3803.45
