Date,Symbol,Series,Open,High,Low,Close
2016-03-23,UPL,EQ,443.95,458.6,442.95,456.35
2016-03-28,UPL,EQ,461.0,465.2,447.65,451.65
2016-03-29,UPL,EQ,451.6,462.4,449.25,451.35
2016-03-30,UPL,EQ,454.0,475.4,454.0,472.1
2016-03-31,UPL,EQ,470.15,483.0,466.15,477.7
2016-04-01,UPL,EQ,474.45,474.85,461.45,466.45
2016-04-04,UPL,EQ,471.0,471.55,460.5,467.5
2016-04-05,UPL,EQ,466.7,476.7,456.6,458.6
2016-04-06,UPL,EQ,458.05,464.0,448.55,458.0
2016-04-07,UPL,EQ,459.0,469.25,453.4,462.75
2016-04-08,UPL,EQ,466.8,468.7,457.6,460.0
2016-04-11,UPL,EQ,462.0,477.25,458.15,475.85
2016-04-12,UPL,EQ,478.0,499.6,477.0,493.65
2016-04-13,UPL,EQ,501.0,506.8,498.2,503.8
2016-04-18,UPL,EQ,505.0,512.45,502.2,507.25
2016-04-20,UPL,EQ,511.1,511.4,496.75,504.4
2016-04-21,UPL,EQ,506.0,518.0,506.0,514.2
2016-04-22,UPL,EQ,510.55,524.85,507.5,523.3
2016-04-25,UPL,EQ,523.05,526.8,514.5,524.6
2016-04-26,UPL,EQ,520.0,524.55,508.3,510.55
2016-04-27,UPL,EQ,507.1,518.35,505.5,514.95
2016-04-28,UPL,EQ,514.0,522.0,510.9,516.95
2016-04-29,UPL,EQ,518.0,542.0,517.9,537.9
2016-05-02,UPL,EQ,541.65,599.75,538.3,594.9
2016-05-03,UPL,EQ,595.0,603.4,576.25,579.45
2016-05-04,UPL,EQ,579.7,586.45,571.2,579.1
2016-05-05,UPL,EQ,582.5,606.9,577.55,592.45
2016-05-06,UPL,EQ,590.9,608.0,587.75,592.9
2016-05-09,UPL,EQ,596.05,596.05,582.2,587.2
2016-05-10,UPL,EQ,590.5,597.85,583.1,588.6
2016-05-11,UPL,EQ,582.0,599.5,577.8,593.55
2016-05-12,UPL,EQ,596.4,606.8,594.6,599.35
2016-05-13,UPL,EQ,601.55,612.95,572.9,583.75
2016-05-16,UPL,EQ,583.2,591.0,576.25,584.85
2016-05-17,UPL,EQ,588.0,593.4,577.3,580.2
2016-05-18,UPL,EQ,578.0,578.9,564.15,570.4
