Date,Symbol,Series,Open,High,Low,Close
2016-03-23,WIPRO,EQ,550.1,559.2,545.8,555.75
2016-03-28,WIPRO,EQ,558.55,563.6,549.3,556.15
2016-03-29,WIPRO,EQ,557.0,559.0,548.0,553.15
2016-03-30,WIPRO,EQ,552.7,563.65,551.25,561.95
2016-03-31,WIPRO,EQ,561.85,570.0,557.2,564.25
2016-04-01,WIPRO,EQ,567.0,572.5,557.2,562.15
2016-04-04,WIPRO,EQ,566.9,571.1,563.15,566.25
2016-04-05,WIPRO,EQ,566.25,566.6,557.25,559.0
2016-04-06,WIPRO,EQ,560.0,562.0,552.75,558.2
2016-04-07,WIPRO,EQ,558.0,560.0,550.35,551.8
2016-04-08,WIPRO,EQ,548.0,551.4,546.5,549.55
2016-04-11,WIPRO,EQ,549.0,568.6,542.2,565.75
2016-04-12,WIPRO,EQ,565.3,571.75,561.1,569.55
2016-04-13,WIPRO,EQ,583.0,591.9,580.55,584.9
2016-04-18,WIPRO,EQ,589.0,594.5,580.2,588.6
2016-04-20,WIPRO,EQ,598.0,607.0,589.6,601.25
2016-04-21,WIPRO,EQ,570.0,575.65,556.85,558.85
2016-04-22,WIPRO,EQ,560.0,562.65,555.1,557.95
2016-04-25,WIPRO,EQ,558.1,561.75,551.1,552.45
2016-04-26,WIPRO,EQ,552.4,558.0,550.2,554.45
2016-04-27,WIPRO,EQ,552.25,561.25,552.25,560.0
2016-04-28,WIPRO,EQ,559.5,564.0,551.0,553.1
2016-04-29,WIPRO,EQ,555.0,556.8,548.35,554.35
2016-05-02,WIPRO,EQ,551.0,552.95,545.3,548.5
2016-05-03,WIPRO,EQ,549.0,549.75,539.05,543.85
2016-05-04,WIPRO,EQ,542.5,543.4,537.0,540.0
2016-05-05,WIPRO,EQ,539.0,545.3,537.0,543.1
2016-05-06,WIPRO,EQ,546.7,546.7,531.6,533.1
2016-05-09,WIPRO,EQ,532.95,540.1,531.5,539.0
2016-05-10,WIPRO,EQ,538.75,542.1,534.45,538.65
2016-05-11,WIPRO,EQ,534.4,539.45,533.1,537.8
2016-05-12,WIPRO,EQ,538.0,543.25,535.7,542.3
2016-05-13,WIPRO,EQ,542.7,542.7,537.0,539.65
