Date,NIFTY50,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,IOC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SBILIFE,SHREECEM,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO
2016-03-23,7716.5,238.3,850,437.5,2356.4,6874.2,1724.8,868.5,358.2,2725.3,532.8,298,969.4,3047.9,18554.05,356.1,3781,817.7,1049.35,0,2871.4,91.3,873.6,1162.75,234.2,324.25,393.1,928.05,1207.8,1248.7,659.95,1242.55,1249.35,3736,127.35,5253.15,214.6,137.45,1029.2,0,12497.95,196.6,846.2,2473.8,377,317.2,479.9,352.7,456.35,3198.45,555.75
2016-03-28,7615.1,235.65,845.4,422.9,2357.35,6700.2,1684.85,873.6,349.8,2625.6,524.2,293.5,972.2,3035.65,18410.3,357.75,3786.5,810.65,1047.5,0,2848,83.25,863.65,1143.35,225.45,322.45,392,914.8,1204.9,1226.9,669.6,1206.35,1243.85,3638.95,129.15,5353.5,213.95,139.1,1020.4,0,12235.4,188.3,809.25,2473.4,363.3,299.15,474.7,327.4,451.65,3176.95,556.15
2016-03-29,7597,237.85,856.1,429.45,2351.95,6656.75,1666.9,874,354.5,2583.15,503.5,295.15,977,2941.3,18633.45,347.8,3767,806.8,1053.8,0,2856.85,84.4,861.15,1125.75,223.4,320,394.25,928.05,1197.25,1232.85,671.5,1193.95,1232.25,3729.95,127.3,5335.9,212.25,138.15,1036.25,0,12111.4,189.5,794.35,2469.4,372.45,303.85,467.6,329.75,451.35,3136.25,553.15
2016-03-30,7735.2,245.95,881.85,444.25,2422.45,6787.75,1696.55,901.15,353.8,2638.5,512.35,296.85,982.25,3015.65,18736.8,359.45,3838.65,820.6,1064.95,0,2923.8,88,861.65,1115.3,237.5,327.35,400,946.7,1205.95,1271.7,683.85,1228.05,1219.75,3727.45,129.9,5479.8,217.9,139.75,1047.05,0,12197.25,197.55,811.7,2489.5,388.6,324.3,472.85,338.25,472.1,3184.1,561.95
2016-03-31,7738.4,247.7,868.4,444.15,2405.95,6924.15,1711.1,904.3,350.8,2686.5,511.95,291.95,987.25,3035.2,19180.6,356.4,3844.15,814.1,1071.15,0,2945.7,87.95,869.5,1105.6,236.65,328.25,393.6,967.6,1218.3,1283.25,680.65,1216.7,1210.7,3716.3,128.85,5757.35,214.1,139.1,1045.2,0,12420.5,194.25,820,2520.3,386.6,319.7,474.95,339.1,477.7,3228.75,564.25
2016-04-01,7713.05,242.9,870,449.9,2419.85,6877.5,1746.75,887.25,335.45,2679.05,514.55,287,1008.55,2979.95,19254.05,347.7,3852.8,820.4,1064.45,0,2951.05,86.65,867.8,1113.4,238.3,336.05,393.05,961.3,1205.45,1262.65,679.9,1237.9,1195.2,3723.2,129.95,5638.2,208.8,138.3,1034.45,0,12252.45,195.65,815.1,2453.9,379.65,317.75,463.1,339.45,466.45,3203.7,562.15
2016-04-04,7758.8,242.55,886.15,444.75,2448.25,6869.7,1751.3,887,348.5,2659.2,514.3,285,1010.6,3011.75,19503.9,348.2,3878.2,839.85,1069.05,0,2983.7,89.1,872.2,1103.7,238.75,330.7,401.55,961.3,1243.7,1259.75,687.3,1235.85,1245.9,3683.25,131.1,5683.55,207.3,138.6,1035.05,0,12441.4,194.7,815.05,2471.25,388.4,320.35,470.55,344.55,467.5,3170.85,566.25
2016-04-05,7603.2,226.25,869.85,432.6,2394.85,6823.55,1748.8,890.4,330.5,2641.35,503,275.25,1013.35,2999.9,18735.5,339.55,3835.35,843.25,1057.45,0,2963.3,84.9,868.5,1103.45,225.6,326.45,402.15,951.3,1219.8,1259.45,668.75,1195.15,1215.7,3554.85,126.85,5738.95,205.5,139.05,1026.95,0,12147.1,184.35,800.8,2462.75,370.5,312.3,462.25,345.6,458.6,3100.4,559
2016-04-06,7614.35,224.35,863.3,424.65,2395.2,6947.55,1765.45,890.15,334.5,2707.2,504.95,275.6,995.15,3001.45,19179.85,341.4,3912.6,838.75,1061.5,0,2991.25,88.95,871.7,1102.05,222.55,325.9,410.7,955.4,1200.7,1292.7,668,1211.85,1220.35,3573.05,126.2,5724.15,206.1,139.7,1033.75,0,12408.45,183.85,809.55,2481.9,376.7,328.55,453,348.1,458,3188.6,558.2
2016-04-07,7546.45,216.8,858.25,426.65,2378.45,6982.6,1763.85,885.05,331.25,2701.15,506.4,281.25,1013.9,3035.75,18884.1,341.05,3909.9,828.45,1055.5,0,2968,87.3,860,1070.85,220.3,319.45,411.15,939.6,1181.5,1277.3,662.5,1182.9,1212.65,3471,126.55,5888.55,207.75,140.2,1037.25,0,12324.6,181.95,811.7,2470.8,375.2,323.7,444.45,339.3,462.75,3137.45,551.8
2016-04-08,7555.2,219.25,851.55,421.6,2389.45,7133.5,1749.9,899.65,334.6,2686.8,504.45,279.6,1013.45,3039.15,19181.2,347.35,3982.55,833.1,1059.35,0,2915.7,87.7,850.4,1079.55,221.25,321.2,412.65,937,1165.75,1273.4,665.35,1192.25,1232.25,3430.65,131.55,5975.65,206.15,140.9,1036.35,0,12231.1,183.1,811.75,2432.05,371.45,322.1,455.85,335.85,460,3158.85,549.55
2016-04-11,7671.4,229.05,860,429.8,2433.85,7193.2,1778,917.2,348.25,2656.95,502.15,280.45,1020.1,3029.25,19388.9,351.95,4006.95,839.3,1070.95,0,2976.55,92.2,864.3,1079.8,224.7,327.25,416,960.8,1183.9,1299.75,671.3,1213.35,1236,3478.65,134.6,5870.75,207.6,142.25,1040.3,0,12485.85,188.25,817.3,2506.65,386.65,331.15,469.6,344.55,475.85,3152.2,565.75
2016-04-12,7708.95,233.6,866.9,434.05,2459.7,7335.5,1778.55,920.85,350.1,2705.75,501.95,274.4,1021.9,3082.75,19557.85,366.35,4041.95,839.65,1063,0,3051.45,92,872.5,1090.5,228.75,322.4,414.95,968.95,1182.2,1297.7,677.35,1222.4,1239.95,3573.7,135.5,6147.8,211.35,143.15,1047.4,0,12500.05,187.8,823.6,2518.15,395.8,324.5,464.45,350.4,493.65,3166.4,569.55
2016-04-13,7850.45,233.55,874.35,440.5,2582.5,7430.4,1821.2,925.65,351.25,2761.1,511.9,277.45,1023.05,3099.5,19896.3,369.55,4073.55,837.55,1081.75,0,3148.05,96.3,897.7,1114.95,240.65,331.25,416.4,986.4,1172.7,1313.55,692.35,1234.9,1332.45,3731.6,137.15,6116.5,213.35,145,1066.05,0,12756.75,191.9,833.05,2526.2,408.75,332.85,471.4,352.85,503.8,3273.7,584.9
2016-04-18,7914.7,231.3,885.2,445.25,2544.45,7313.9,1871.6,969.9,359.4,2850.65,524.1,275.8,1039.05,3091.05,20268.35,359.45,4090.65,853.3,1087.8,0,3054.5,97.05,899.15,1132.4,237.15,335.4,429.1,988.3,1238.7,1334.25,683.35,1253,1340.65,3718.95,139.5,6134.6,207.55,145.95,1064.75,0,12956.6,186.75,837.8,2519.75,407.35,335.55,476.7,361.8,507.25,3405.65,588.6
2016-04-20,7914.75,233.5,885.8,459.1,2532.8,7213.4,1881.75,954.25,356.65,2845.3,527.2,278.65,1048.55,3108.75,20511.2,367.65,4093.05,841.2,1097.85,0,3039.1,101.8,904.1,1140,238.05,335.5,423.6,983.85,1243.6,1361.6,687.15,1265.95,1326.05,3670.05,141.3,6036,209.85,148,1037.3,0,13000.3,187.3,828.55,2450.35,404.1,357.45,483.55,373.8,504.4,3366.55,601.25
2016-04-21,7912.05,229.35,889.15,467.95,2496.45,6986.5,1846.4,970.75,357.25,2787.85,532,287.75,1091.05,3131.2,20328.8,369.4,4002.5,846.25,1091.15,0,2986.3,101.8,904.05,1150.1,253.05,329.95,424.95,972.1,1226.3,1349.6,686.7,1251.95,1308.65,3705.3,141.15,5966.85,212.95,146.15,1041.15,0,12797.2,194.35,832.9,2424.4,411.5,354.55,476.35,369.35,514.2,3264,558.85
2016-04-22,7899.3,230.1,871.55,475.85,2522.15,6971.15,1847.5,965.9,353.1,2822.6,531.35,287.8,1069.45,3141.95,20169.95,366.7,4013,845.15,1092.15,0,2997.05,101.1,884.2,1131.9,252,325.8,428.5,981.5,1211.25,1343.3,676.1,1265.1,1326,3816.05,143.65,5969.75,216.1,146.05,1038.95,0,12721.6,200.15,820.2,2417.05,417,353.65,479.9,371.65,523.3,3271.1,557.95
2016-04-25,7855.05,231.8,861.75,469.9,2543.75,6853.85,1841.15,978.3,358.95,2817.1,526.5,287.95,1059.95,3116.15,19945.4,360.15,4038.7,845.1,1093.25,0,2961.8,98.4,884.15,1112,252.95,320.95,428.95,982.35,1215.85,1345.2,680.45,1265.5,1326.5,3727.95,140.35,5881.65,212.3,143.8,1016.9,0,12668.25,197.05,808.85,2451.25,412.2,347.45,472,373.6,524.6,3276.2,552.45
2016-04-26,7962.65,229.1,876.9,480.2,2548.1,7004.35,1869,975.8,360.4,2837.3,540.5,288.3,1058.45,3120.25,20148.4,363,4087.3,849.8,1113.85,0,2931.85,103.15,885.75,1127.3,254.05,327.4,434.15,1021.4,1232.15,1367.95,700.85,1281,1353.85,3871.55,140.2,5830.65,214.3,145.15,1016.95,0,12537.3,200.95,814.4,2489.8,419.05,358.6,475.5,371.85,510.55,3266.05,554.45
2016-04-27,7979.9,241.25,889.85,465.5,2548.25,6945.65,1879.6,982.35,373.05,2861.4,540.2,290.9,1042.25,3130.75,20114.3,373.2,4131.4,837.55,1124.2,0,2949.9,101.75,892.2,1121.5,244.6,333.55,437.15,1040,1240.15,1362.6,712.5,1276.45,1384.75,3859.4,140.7,5885.85,221.8,144.35,1019.4,0,12726.05,196.15,813.95,2511.1,418.55,356.75,479.25,371.5,514.95,3191.8,560
2016-04-28,7847.25,235.45,873.1,468.05,2487.5,6967.1,1842.4,962.75,372.7,2825.55,528.25,285.05,1050.15,3083.35,20292.95,363.2,4117.7,799.9,1113.95,0,2899.65,96.9,876.25,1085.55,240.1,322.9,424,1035,1209.15,1368.45,701.45,1259.55,1344.5,3747.95,137.15,5908.05,216.85,141.85,996.7,0,12799.6,192.05,801.95,2527.75,411.35,347.6,480.15,369.55,516.95,3169.25,553.1
2016-04-29,7849.8,238.2,866.25,472.4,2491.95,6829.1,1875.35,978,363.6,2862.6,537,288.05,1051.1,3088.7,20035,360.35,4086.75,750.3,1132.35,0,2897.4,96.35,867.9,1088.45,236.95,324.95,433.25,1048.85,1208.1,1373.2,717.15,1254.6,1330.95,3794.65,139.3,5725.45,217.25,143.4,982.7,0,12693.9,189,811.3,2535.5,408.35,351.1,486.15,355.9,537.9,3161.45,554.35
2016-05-02,7805.9,232.95,864.8,471.8,2477.95,7053.75,1940.9,969.55,357.8,2858.4,540.65,288.65,1055.8,3011.8,19854.35,367.6,4070.75,742.2,1117.65,0,2904.35,98.65,863.95,1091.9,226.75,321.15,426.25,1045.05,1201.05,1364.8,718.2,1250.75,1336.55,3830.85,138.55,5754.25,217.75,142.85,986.95,0,12562.15,186,811.8,2526.7,407.7,346.95,477.2,367.65,594.9,3176.1,548.5
2016-05-03,7747,235.5,872,470.55,2462.85,6985.5,1947.8,953.9,368.35,2847.1,536.85,279.15,1040.15,2959.35,19981.5,364.3,4142.45,728.4,1118,0,2885.45,96.9,851,1099.6,221.1,316.05,419.7,1037.8,1177.8,1356.8,707.45,1251.4,1325.85,3819.95,136.55,5591.6,215.3,145.2,975.8,0,12424.75,184.05,798.25,2478.1,409.65,348.9,467.2,360.1,579.45,3215,543.85
2016-05-04,7706.55,208.25,873.6,462.45,2460.3,6954.2,1893.45,947.05,361.45,2817.75,533.2,279.95,1051,2933.3,19760.85,365.95,4144.2,737.1,1127.35,0,2894.45,91.15,853.4,1129.9,214.45,312.65,412.75,1042,1188.85,1321.7,712.65,1246.8,1321,3811.55,138.8,5542.25,210.65,142.75,978.1,0,12415.9,179.95,804.2,2478,381.8,328.75,466.95,360.05,579.1,3183.65,540
